,what,is,the,role,of,teachers,in,education,?
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.243671715259552,0.5696388483047485,0.2128150761127472,1.0,0.2654339671134949,0.20430970191955566
education,0.19940856099128723,0.18778188526630402,0.23982903361320496,0.20236307382583618,0.3015166223049164,0.5322820544242859,0.2654339671134949,1.0,0.18067774176597595
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.199491485953331,0.4946078956127167,0.28049156069755554,0.5201468467712402,0.2718683183193207,0.31091248989105225
teachers,0.2526462972164154,0.15701442956924438,0.22025763988494873,0.11980735510587692,0.27737662196159363,1.0,0.2128150761127472,0.5322820544242859,0.19522249698638916
facilitate,0.2072707712650299,0.17318834364414215,0.18542252480983734,0.14474497735500336,0.21052004396915436,0.1844533532857895,0.1947198212146759,0.33186590671539307,0.255449503660202
student,0.20548318326473236,0.18911804258823395,0.21259291470050812,0.17943726480007172,0.20310284197330475,0.5576453804969788,0.254856139421463,0.46045735478401184,0.13282090425491333
learning,0.29806870222091675,0.19600103795528412,0.2504628002643585,0.1573142409324646,0.23709416389465332,0.4589121639728546,0.2443799525499344,0.4757501184940338,0.25810256600379944
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.199491485953331,0.4946078956127167,0.28049156069755554,0.5201468467712402,0.2718683183193207,0.31091248989105225
often,0.3849453330039978,0.3856629431247711,0.38004449009895325,0.1561305671930313,0.3351972997188568,0.25887179374694824,0.3380797803401947,0.12748026847839355,0.23748154938220978
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.243671715259552,0.5696388483047485,0.2128150761127472,1.0,0.2654339671134949,0.20430970191955566
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.22880133986473083,0.5052502155303955,0.2509842813014984,0.539380669593811,0.21779850125312805,0.23916715383529663
school,0.18774057924747467,0.19488026201725006,0.22953221201896667,0.13374219834804535,0.2391800880432129,0.5544193387031555,0.26157811284065247,0.5861870050430298,0.15091250836849213
or,0.33867141604423523,0.41870999336242676,0.4174870550632477,0.15656788647174835,0.3792596757411957,0.2126750648021698,0.3586423695087433,0.14504022896289825,0.32389625906944275
academy,0.11844556778669357,0.20938169956207275,0.2649388611316681,0.26579636335372925,0.22185729444026947,0.3022880256175995,0.24646873772144318,0.3717256188392639,0.1340850442647934
or,0.33867141604423523,0.41870999336242676,0.4174870550632477,0.15656788647174835,0.3792596757411957,0.2126750648021698,0.3586423695087433,0.14504022896289825,0.32389625906944275
perhaps,0.45013323426246643,0.3232467472553253,0.35476016998291016,0.2838980257511139,0.3375486433506012,0.2150745987892151,0.2746174931526184,0.14066854119300842,0.4211712181568146
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.243671715259552,0.5696388483047485,0.2128150761127472,1.0,0.2654339671134949,0.20430970191955566
another,0.4190070629119873,0.41278526186943054,0.5019711852073669,0.1957184225320816,0.38147079944610596,0.1896795779466629,0.3397690951824188,0.15247420966625214,0.295511931180954
environment,0.213022843003273,0.2787531912326813,0.25819888710975647,0.1946423202753067,0.2659151554107666,0.15816527605056763,0.2854640781879425,0.3117225766181946,0.19478057324886322
such,0.23989605903625488,0.23545363545417786,0.3575236201286316,0.22270740568637848,0.3209529519081116,0.21735963225364685,0.2704046070575714,0.162428617477417,0.17851735651493073
as,0.31749409437179565,0.43216490745544434,0.48381632566452026,0.4036863148212433,0.3886612355709076,0.24171572923660278,0.3887844979763031,0.2414141446352005,0.27043893933296204
outdoors,0.2275121659040451,0.18879647552967072,0.23357263207435608,0.1287892460823059,0.19781285524368286,0.3002380430698395,0.25719359517097473,0.20460475981235504,0.15352579951286316
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.22067026793956757,0.5352458953857422,0.24628326296806335,0.5591574311256409,0.27047446370124817,0.4130953550338745
