,how,many,white,settlers,were,living,in,kenya,in,the,1950,'s,?
there,0.3328511416912079,0.4993700683116913,0.18012793362140656,0.26928913593292236,0.4359818994998932,0.37961074709892273,0.5361666083335876,0.20241674780845642,0.5361666083335876,0.47025805711746216,-0.14856858551502228,-0.04860968142747879,0.29405656456947327
were,0.2082374095916748,0.4804460406303406,0.20375953614711761,0.43016865849494934,1.0000001192092896,0.30441248416900635,0.3815755248069763,0.15519973635673523,0.3815755248069763,0.3906462490558624,-0.033678848296403885,0.007088581565767527,0.17890112102031708
"80,000",-0.00258127273991704,0.14646361768245697,-0.05429333075881004,-0.14625327289104462,-0.03108682483434677,-0.05639109015464783,-0.014375469647347927,-0.23900239169597626,-0.014375469647347927,0.00957481749355793,0.2662016749382019,-0.03487439826130867,-0.07242488861083984
white,0.22510305047035217,0.18459662795066833,1.0,0.24673354625701904,0.20375953614711761,0.22733385860919952,0.1821274310350418,0.1673387885093689,0.1821274310350418,0.25492873787879944,0.07443884015083313,0.024444883689284325,0.124679796397686
settlers,0.16177552938461304,0.27458223700523376,0.24673354625701904,1.0,0.43016865849494934,0.31899890303611755,0.2311645746231079,0.2042490690946579,0.2311645746231079,0.27202945947647095,-0.09771176427602768,-0.01573856733739376,0.1296290010213852
living,0.16140781342983246,0.3044293522834778,0.22733385860919952,0.31899890303611755,0.30441248416900635,1.0000001192092896,0.3253810405731201,0.2006685584783554,0.3253810405731201,0.3127744197845459,-0.05779368802905083,-0.012697799131274223,0.18362653255462646
in,0.2601168751716614,0.41474202275276184,0.1821274310350418,0.2311645746231079,0.3815755248069763,0.3253810405731201,1.0,0.23621977865695953,1.0,0.6662389636039734,-0.03321470692753792,-0.037580832839012146,0.20430970191955566
kenya,0.17591707408428192,0.21882791817188263,0.1673387885093689,0.2042490690946579,0.15519973635673523,0.2006685584783554,0.23621977865695953,1.0,0.23621977865695953,0.21657514572143555,-0.07098477333784103,-0.02908705547451973,0.17197901010513306
in,0.2601168751716614,0.41474202275276184,0.1821274310350418,0.2311645746231079,0.3815755248069763,0.3253810405731201,1.0,0.23621977865695953,1.0,0.6662389636039734,-0.03321470692753792,-0.037580832839012146,0.20430970191955566
the,0.33890387415885925,0.4335206151008606,0.25492873787879944,0.27202945947647095,0.3906462490558624,0.3127744197845459,0.6662389636039734,0.21657514572143555,0.6662389636039734,1.0,-0.046802785247564316,-0.01540423184633255,0.22068053483963013
1950s,0.3242218494415283,0.3566665053367615,0.20465119183063507,0.14627006649971008,0.25719285011291504,0.16171473264694214,0.26312577724456787,0.10518920421600342,0.26312577724456787,0.3424292504787445,0.43434226512908936,-0.019477833062410355,0.16557677090168
.,0.3287222981452942,0.3974229395389557,0.2806001901626587,0.21710044145584106,0.3378238379955292,0.27785244584083557,0.5591574311256409,0.24234211444854736,0.5591574311256409,0.5934505462646484,0.05352208390831947,-0.003708066651597619,0.4130953550338745
