,what,is,the,first,model,of,education,",",in,the,australian,system,?
generally,0.40614598989486694,0.4094115197658539,0.41466525197029114,0.22272272408008575,0.18705599009990692,0.3127037584781647,0.18290089070796967,0.29679131507873535,0.28190043568611145,0.41466525197029114,0.1807878464460373,0.275258332490921,0.23411904275417328
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.34503069519996643,0.244965597987175,0.4946078956127167,0.2718683183193207,1.0000001192092896,0.5201468467712402,0.4933079481124878,0.18606895208358765,0.18439900875091553,0.31091248989105225
education,0.19940856099128723,0.18778188526630402,0.23982903361320496,0.18416465818881989,0.1450279951095581,0.3015166223049164,1.0,0.2718683183193207,0.2654339671134949,0.23982903361320496,0.132046639919281,0.1948843002319336,0.18067774176597595
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.4127444326877594,0.2267826348543167,0.5696388483047485,0.2654339671134949,0.5201468467712402,1.0,0.6662389636039734,0.1796053647994995,0.21978288888931274,0.20430970191955566
australia,0.1913539320230484,0.1734699010848999,0.26828548312187195,0.31902679800987244,0.10450655221939087,0.2669609785079956,0.18532110750675201,0.22314006090164185,0.2697675824165344,0.26828548312187195,0.7325041890144348,0.16043460369110107,0.15702682733535767
follows,0.28637656569480896,0.3465309739112854,0.3630034327507019,0.20909085869789124,0.16014160215854645,0.28921809792518616,0.1532783806324005,0.25478267669677734,0.31313058733940125,0.3630034327507019,0.17773237824440002,0.24851275980472565,0.16897420585155487
the,0.42745697498321533,0.5823672413825989,1.0,0.49448907375335693,0.14028635621070862,0.733189046382904,0.23982903361320496,0.4933079481124878,0.6662389636039734,1.0,0.23527215421199799,0.3233085572719574,0.22068053483963013
three-tier,0.22210615873336792,0.22671997547149658,0.36937350034713745,0.30537867546081543,0.19425281882286072,0.3232107162475586,0.19161944091320038,0.3677138686180115,0.3408266007900238,0.36937350034713745,0.19471827149391174,0.19863712787628174,0.18743960559368134
model,0.2303347885608673,0.21612800657749176,0.14028635621070862,0.17939837276935577,1.0000001192092896,0.18271391093730927,0.1450279951095581,0.244965597987175,0.2267826348543167,0.14028635621070862,0.14523860812187195,0.1859636753797531,0.14843042194843292
which,0.5261979103088379,0.4457404911518097,0.6521818041801453,0.3828166127204895,0.22893153131008148,0.5011631846427917,0.1723235547542572,0.3658004403114319,0.4840516746044159,0.6521818041801453,0.21131077408790588,0.37390631437301636,0.25814583897590637
includes,0.17138352990150452,0.4033885896205902,0.3388250470161438,0.12643319368362427,0.1361733227968216,0.4359378218650818,0.14516983926296234,0.3228004276752472,0.32460328936576843,0.3388250470161438,0.19611766934394836,0.1603112369775772,0.14011523127555847
primary,0.2113915979862213,0.23824772238731384,0.25688621401786804,0.22635842859745026,0.1456436961889267,0.23414276540279388,0.3644731044769287,0.2565748989582062,0.21150650084018707,0.25688621401786804,0.12457224726676941,0.25969868898391724,0.16286636888980865
education,0.19940856099128723,0.18778188526630402,0.23982903361320496,0.18416465818881989,0.1450279951095581,0.3015166223049164,1.0,0.2718683183193207,0.2654339671134949,0.23982903361320496,0.132046639919281,0.1948843002319336,0.18067774176597595
(,0.2411840260028839,0.35393038392066956,0.33289089798927307,0.2450505793094635,0.15940167009830475,0.35032153129577637,0.1691931039094925,0.6363511681556702,0.3087427020072937,0.33289089798927307,0.19788014888763428,0.15626809000968933,0.40561532974243164
primary,0.2113915979862213,0.23824772238731384,0.25688621401786804,0.22635842859745026,0.1456436961889267,0.23414276540279388,0.3644731044769287,0.2565748989582062,0.21150650084018707,0.25688621401786804,0.12457224726676941,0.25969868898391724,0.16286636888980865
schools,0.1820785105228424,0.2022145688533783,0.22905772924423218,0.1705777496099472,0.08655571192502975,0.265506386756897,0.6035618185997009,0.2760516405105591,0.2632134258747101,0.22905772924423218,0.13071531057357788,0.22995531558990479,0.18349280953407288
),0.26259949803352356,0.37732169032096863,0.3456730246543884,0.27228695154190063,0.18309912085533142,0.3680361211299896,0.19257274270057678,0.63033527135849,0.3326910734176636,0.3456730246543884,0.19791001081466675,0.15207810699939728,0.42300865054130554
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.34503069519996643,0.244965597987175,0.4946078956127167,0.2718683183193207,1.0000001192092896,0.5201468467712402,0.4933079481124878,0.18606895208358765,0.18439900875091553,0.31091248989105225
followed,0.20169416069984436,0.19759002327919006,0.3567860722541809,0.3457415997982025,0.07569412142038345,0.3060508966445923,0.10948627442121506,0.3097211718559265,0.3307904005050659,0.3567860722541809,0.18772734701633453,0.1443028450012207,0.20567169785499573
by,0.2455483376979828,0.3899846076965332,0.4408751428127289,0.3877052962779999,0.12459231913089752,0.3646814823150635,0.18719787895679474,0.3680937886238098,0.370934396982193,0.4408751428127289,0.20652422308921814,0.23017624020576477,0.17966607213020325
secondary,0.20388361811637878,0.19772830605506897,0.21037471294403076,0.19768930971622467,0.13327573239803314,0.219074085354805,0.4472634196281433,0.2158004194498062,0.2103116512298584,0.21037471294403076,0.09732584655284882,0.20522193610668182,0.18118004500865936
education,0.19940856099128723,0.18778188526630402,0.23982903361320496,0.18416465818881989,0.1450279951095581,0.3015166223049164,1.0,0.2718683183193207,0.2654339671134949,0.23982903361320496,0.132046639919281,0.1948843002319336,0.18067774176597595
(,0.2411840260028839,0.35393038392066956,0.33289089798927307,0.2450505793094635,0.15940167009830475,0.35032153129577637,0.1691931039094925,0.6363511681556702,0.3087427020072937,0.33289089798927307,0.19788014888763428,0.15626809000968933,0.40561532974243164
secondary,0.20388361811637878,0.19772830605506897,0.21037471294403076,0.19768930971622467,0.13327573239803314,0.219074085354805,0.4472634196281433,0.2158004194498062,0.2103116512298584,0.21037471294403076,0.09732584655284882,0.20522193610668182,0.18118004500865936
schools/high,0.3400546610355377,0.2563009262084961,0.29610177874565125,0.24797922372817993,0.13681937754154205,0.3018496334552765,0.6028310656547546,0.3749336004257202,0.313646137714386,0.29610177874565125,0.2343352735042572,0.24052321910858154,0.36289680004119873
schools,0.1820785105228424,0.2022145688533783,0.22905772924423218,0.1705777496099472,0.08655571192502975,0.265506386756897,0.6035618185997009,0.2760516405105591,0.2632134258747101,0.22905772924423218,0.13071531057357788,0.22995531558990479,0.18349280953407288
),0.26259949803352356,0.37732169032096863,0.3456730246543884,0.27228695154190063,0.18309912085533142,0.3680361211299896,0.19257274270057678,0.63033527135849,0.3326910734176636,0.3456730246543884,0.19791001081466675,0.15207810699939728,0.42300865054130554
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.3167642652988434,0.22216768562793732,0.5116966962814331,0.308173805475235,0.6633074283599854,0.4954058527946472,0.5171257257461548,0.2769584059715271,0.231138214468956,0.20544172823429108
tertiary,0.2784169018268585,0.19000156223773956,0.24001607298851013,0.14070677757263184,0.12459491938352585,0.21779176592826843,0.3411751091480255,0.19413137435913086,0.22423051297664642,0.24001607298851013,0.12477658689022064,0.22683486342430115,0.2581363916397095
education,0.19940856099128723,0.18778188526630402,0.23982903361320496,0.18416465818881989,0.1450279951095581,0.3015166223049164,1.0,0.2718683183193207,0.2654339671134949,0.23982903361320496,0.132046639919281,0.1948843002319336,0.18067774176597595
(,0.2411840260028839,0.35393038392066956,0.33289089798927307,0.2450505793094635,0.15940167009830475,0.35032153129577637,0.1691931039094925,0.6363511681556702,0.3087427020072937,0.33289089798927307,0.19788014888763428,0.15626809000968933,0.40561532974243164
universities,0.1630716770887375,0.2421088069677353,0.2619408071041107,0.20648209750652313,0.15622007846832275,0.29948264360427856,0.4975728690624237,0.2774002254009247,0.2965206503868103,0.2619408071041107,0.05792582780122757,0.21234063804149628,0.16836881637573242
and/or,0.26439139246940613,0.1926940530538559,0.27840298414230347,0.14140412211418152,0.06865883618593216,0.2572663724422455,0.12578324973583221,0.22354047000408173,0.1723054200410843,0.27840298414230347,0.12550556659698486,0.30994999408721924,0.24081800878047943
tafe,0.16639594733715057,0.24837470054626465,0.25719982385635376,0.23361699283123016,0.1507108211517334,0.27156394720077515,0.41742679476737976,0.29898613691329956,0.2610507309436798,0.25719982385635376,0.28383204340934753,0.1972758024930954,0.17468518018722534
colleges,0.19657261669635773,0.20791567862033844,0.2200278788805008,0.21540819108486176,0.11666718125343323,0.31927260756492615,0.5139620900154114,0.2773089110851288,0.2712832987308502,0.2200278788805008,0.07494571059942245,0.2047538310289383,0.15586905181407928
),0.26259949803352356,0.37732169032096863,0.3456730246543884,0.27228695154190063,0.18309912085533142,0.3680361211299896,0.19257274270057678,0.63033527135849,0.3326910734176636,0.3456730246543884,0.19791001081466675,0.15207810699939728,0.42300865054130554
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.4345304071903229,0.1938832700252533,0.5352458953857422,0.27047446370124817,0.6812511086463928,0.5591574311256409,0.5934505462646484,0.2256850302219391,0.2277725487947464,0.4130953550338745
