,what,type,of,hypersensitivity,is,associated,with,allergies,?
they,0.4431931674480438,0.1953689455986023,0.3426007330417633,0.2920900583267212,0.330102801322937,0.2552686929702759,0.42091572284698486,0.35669073462486267,0.2753053903579712
are,0.29724663496017456,0.24155041575431824,0.39081433415412903,0.328281432390213,0.5330929756164551,0.28055059909820557,0.38996943831443787,0.384951651096344,0.24591213464736938
divided,0.2138991504907608,0.08480475097894669,0.37450557947158813,0.0769798532128334,0.2042115330696106,0.1810450702905655,0.1790952980518341,0.1142013743519783,0.10190024226903915
into,0.2180619090795517,0.14269600808620453,0.32255905866622925,0.11626264452934265,0.2619607150554657,0.1684948205947876,0.2912435233592987,0.15229636430740356,0.15662476420402527
four,0.18057085573673248,0.09843834489583969,0.36293646693229675,0.14161916077136993,0.22331103682518005,0.17755278944969177,0.32876577973365784,0.10536481440067291,0.14532537758350372
classes,0.20746955275535583,0.29090338945388794,0.19099700450897217,0.2670392692089081,0.13611210882663727,0.16556590795516968,0.19796571135520935,0.19836777448654175,0.14397528767585754
(,0.2411840260028839,0.1677488386631012,0.35032153129577637,0.17338092625141144,0.35393038392066956,0.22233878076076508,0.29503780603408813,0.15844754874706268,0.40561532974243164
type,0.2722663879394531,1.0000001192092896,0.18112817406654358,0.2836276888847351,0.3053323030471802,0.2562825381755829,0.1964726597070694,0.30930325388908386,0.17536182701587677
i,0.4411132335662842,0.08881277590990067,0.25849398970603943,0.1831563264131546,0.25362417101860046,0.12337972223758698,0.2640714943408966,0.14952483773231506,0.4695145785808563
–,0.13008765876293182,0.016650723293423653,0.2799985408782959,0.12285303324460983,0.1436920464038849,0.10949410498142242,0.18760459125041962,0.08137525618076324,0.2714554965496063
iv,0.1177578791975975,0.14169876277446747,0.21761731803417206,0.19898921251296997,0.17512375116348267,0.08844579011201859,0.23810821771621704,0.11191701889038086,0.16932271420955658
),0.26259949803352356,0.18612703680992126,0.3680361211299896,0.164016455411911,0.37732169032096863,0.22068600356578827,0.3069596290588379,0.1523677408695221,0.42300865054130554
based,0.274813175201416,0.19222953915596008,0.3033197224140167,0.12119190394878387,0.3248139023780823,0.18472294509410858,0.2607889473438263,0.1251128613948822,0.134929820895195
on,0.34226128458976746,0.2118636518716812,0.3966929316520691,0.14177832007408142,0.3635730445384979,0.17161807417869568,0.40749499201774597,0.1754012256860733,0.2714994251728058
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.20481128990650177,0.5823672413825989,0.2742886245250702,0.4223487675189972,0.18325528502464294,0.22068053483963013
mechanisms,0.23776228725910187,0.23148436844348907,0.22534649074077606,0.3880877196788788,0.17110702395439148,0.2130873203277588,0.23342907428741455,0.31687575578689575,0.20209980010986328
involved,0.2673480808734894,0.1725190430879593,0.30147984623908997,0.1833307147026062,0.1551186740398407,0.2983151972293854,0.30863359570503235,0.2661649286746979,0.20599231123924255
and,0.31309178471565247,0.16898801922798157,0.5116966962814331,0.2223968207836151,0.3859752118587494,0.30157923698425293,0.5477725267410278,0.22525349259376526,0.20544172823429108
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.20481128990650177,0.5823672413825989,0.2742886245250702,0.4223487675189972,0.18325528502464294,0.22068053483963013
time,0.36319252848625183,0.1723036915063858,0.35127586126327515,0.20228847861289978,0.25187405943870544,0.17621587216854095,0.31862112879753113,0.13258633017539978,0.27391523122787476
course,0.3412042260169983,0.19186174869537354,0.2579863667488098,0.1946592479944229,0.2551652491092682,0.11938855051994324,0.23763447999954224,0.1949923187494278,0.28826573491096497
of,0.33290785551071167,0.18112817406654358,1.0,0.21048949658870697,0.4854315221309662,0.3077163100242615,0.41827285289764404,0.1931903064250946,0.1826142966747284
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.20481128990650177,0.5823672413825989,0.2742886245250702,0.4223487675189972,0.18325528502464294,0.22068053483963013
hypersensitive,0.2850120961666107,0.29494497179985046,0.21087519824504852,0.9004456996917725,0.2567732632160187,0.36808598041534424,0.31740257143974304,0.5617088675498962,0.22263620793819427
reaction,0.304030179977417,0.2528596520423889,0.16853101551532745,0.4364204406738281,0.19925570487976074,0.21713955700397491,0.2043282389640808,0.37732404470443726,0.2138621062040329
.,0.3567904531955719,0.23195341229438782,0.5352458953857422,0.2137293815612793,0.4569662809371948,0.2184346318244934,0.4446153938770294,0.21545282006263733,0.4130953550338745
