,some,elements,of,the,brotherhood,directed,what,action,against,the,government,?
some,0.9999999403953552,0.30026090145111084,0.4300730526447296,0.4566698372364044,0.21373750269412994,0.09887675940990448,0.4491020441055298,0.21635806560516357,0.20105592906475067,0.4566698372364044,0.2568245828151703,0.2562315762042999
elements,0.30026090145111084,1.0000001192092896,0.23613712191581726,0.22297804057598114,0.2750958800315857,0.11215970665216446,0.2152351289987564,0.19486139714717865,0.09125611931085587,0.22297804057598114,0.14778903126716614,0.15222592651844025
of,0.4300730526447296,0.23613712191581726,1.0,0.733189046382904,0.2067413628101349,0.14901293814182281,0.33290785551071167,0.23570318520069122,0.2669808566570282,0.733189046382904,0.3475167155265808,0.1826142966747284
the,0.4566698372364044,0.22297804057598114,0.733189046382904,1.0,0.2368839830160141,0.21284286677837372,0.42745697498321533,0.28415048122406006,0.3090755045413971,1.0,0.31798112392425537,0.22068053483963013
brotherhood,0.21373750269412994,0.2750958800315857,0.2067413628101349,0.2368839830160141,0.9999998807907104,0.2200518697500229,0.168807253241539,0.1975063532590866,0.33252057433128357,0.2368839830160141,0.2734876871109009,0.1117945984005928
",",0.42400437593460083,0.2555456757545471,0.4946078956127167,0.4933079481124878,0.21324464678764343,0.2004583775997162,0.3087472915649414,0.22599565982818604,0.31168749928474426,0.4933079481124878,0.27344048023223877,0.31091248989105225
though,0.5170668363571167,0.28002047538757324,0.37307101488113403,0.38776206970214844,0.24424467980861664,0.16640855371952057,0.4089210331439972,0.23700372874736786,0.21668784320354462,0.38776206970214844,0.208840474486351,0.3188856542110443
perhaps,0.43132251501083374,0.20723742246627808,0.3375486433506012,0.35476016998291016,0.1649809181690216,0.08528909087181091,0.45013323426246643,0.23316241800785065,0.15513327717781067,0.35476016998291016,0.11300251632928848,0.4211712181568146
against,0.20105592906475067,0.09125611931085587,0.2669808566570282,0.3090755045413971,0.33252057433128357,0.199453204870224,0.24561616778373718,0.2129010707139969,1.0,0.3090755045413971,0.2628965973854065,0.18095137178897858
orders,0.18676355481147766,0.24928423762321472,0.2505633234977722,0.26927345991134644,0.22767211496829987,0.11397748440504074,0.1898462176322937,0.14556550979614258,0.15029530227184296,0.26927345991134644,0.2591840624809265,0.18005457520484924
",",0.42400437593460083,0.2555456757545471,0.4946078956127167,0.4933079481124878,0.21324464678764343,0.2004583775997162,0.3087472915649414,0.22599565982818604,0.31168749928474426,0.4933079481124878,0.27344048023223877,0.31091248989105225
did,0.42553430795669556,0.14570437371730804,0.2513895630836487,0.34736719727516174,0.1878286749124527,0.17765580117702484,0.4259131848812103,0.17849725484848022,0.22514554858207703,0.34736719727516174,0.2792121469974518,0.3023456633090973
engage,0.22033663094043732,0.07872457802295685,0.16617678105831146,0.2234465479850769,0.19311518967151642,0.15006402134895325,0.22919274866580963,0.3448461592197418,0.2726929187774658,0.2234465479850769,0.11393310874700546,0.1593245565891266
in,0.4010399878025055,0.18130259215831757,0.5696388483047485,0.6662389636039734,0.15295812487602234,0.1949853003025055,0.30808621644973755,0.22362500429153442,0.27273955941200256,0.6662389636039734,0.3066793978214264,0.20430970191955566
violence,0.2632371485233307,0.18027769029140472,0.21331627666950226,0.25465771555900574,0.3257770240306854,0.20221447944641113,0.24788525700569153,0.24795381724834442,0.38095101714134216,0.25465771555900574,0.3102180063724518,0.20634515583515167
