,what,did,luther,'s,area,and,tradition,believe,jews,to,be,guilty,of,?
luther,0.2134782373905182,0.23667675256729126,1.0,-0.009990512393414974,0.06279908865690231,0.20796556770801544,0.22723522782325745,0.21247079968452454,0.24326977133750916,0.18029534816741943,0.15299063920974731,0.2153511792421341,0.1719115972518921,0.1732746809720993
rarely,0.2806011736392975,0.27754759788513184,0.04867350682616234,0.0658126026391983,0.14500512182712555,0.29163622856140137,0.17411606013774872,0.2949222922325134,0.08041730523109436,0.3218698799610138,0.3985738754272461,0.14027197659015656,0.22155629098415375,0.23009803891181946
encountered,0.1966421753168106,0.24190115928649902,0.08376050740480423,0.015954209491610527,0.2199012190103531,0.28967782855033875,0.1643199771642685,0.2630101442337036,0.12935447692871094,0.2909393608570099,0.2807011008262634,0.14479024708271027,0.25009191036224365,0.12880854308605194
jews,0.22131574153900146,0.23080717027187347,0.24326977133750916,0.017030835151672363,0.26765772700309753,0.2555774748325348,0.3242560625076294,0.3158428370952606,1.0000001192092896,0.22399327158927917,0.20604680478572845,0.24410295486450195,0.2207300066947937,0.16730794310569763
during,0.24137552082538605,0.30679523944854736,0.18200165033340454,0.011294117197394371,0.2682478725910187,0.36462149024009705,0.21108359098434448,0.22019021213054657,0.20547662675380707,0.2828781306743622,0.24990400671958923,0.15140166878700256,0.3869180977344513,0.1325719803571701
his,0.26976513862609863,0.3546801507472992,0.27093374729156494,0.047556519508361816,0.12364412099123001,0.4234102666378021,0.3521461486816406,0.22664840519428253,0.19577133655548096,0.3715193271636963,0.21738691627979279,0.25597918033599854,0.38364991545677185,0.18075084686279297
life,0.24693015217781067,0.22298283874988556,0.20761863887310028,0.03983813151717186,0.05918777361512184,0.26095253229141235,0.2595260739326477,0.2703624665737152,0.16874279081821442,0.24560359120368958,0.23466241359710693,0.18743091821670532,0.2788603901863098,0.21677987277507782
",",0.3087472915649414,0.3015086054801941,0.23255878686904907,-0.0016132977325469255,0.2664283812046051,0.6633074283599854,0.21810978651046753,0.2459280639886856,0.27184903621673584,0.44245919585227966,0.39254459738731384,0.23272031545639038,0.4946078956127167,0.31091248989105225
but,0.5029441118240356,0.49033689498901367,0.20694120228290558,0.04136733338236809,0.2404622733592987,0.5762497186660767,0.25757110118865967,0.46961119771003723,0.23324500024318695,0.5542377829551697,0.5764366984367371,0.23882481455802917,0.39942997694015503,0.27921953797340393
his,0.26976513862609863,0.3546801507472992,0.27093374729156494,0.047556519508361816,0.12364412099123001,0.4234102666378021,0.3521461486816406,0.22664840519428253,0.19577133655548096,0.3715193271636963,0.21738691627979279,0.25597918033599854,0.38364991545677185,0.18075084686279297
attitudes,0.3611566722393036,0.30308398604393005,0.16113288700580597,0.03796529769897461,0.185163676738739,0.30728209018707275,0.31471917033195496,0.32795146107673645,0.2777177691459656,0.29361692070961,0.3028741180896759,0.10873264074325562,0.24135416746139526,0.19942916929721832
reflected,0.2521127760410309,0.2140272557735443,0.11699678003787994,-0.035999491810798645,0.1464109718799591,0.2680339217185974,0.2864934802055359,0.25325387716293335,0.1877681165933609,0.23165373504161835,0.28441280126571655,0.12109265476465225,0.2816413640975952,0.12829364836215973
a,0.3320399522781372,0.2552328109741211,0.17967689037322998,0.04866964742541313,0.2782127559185028,0.3739250600337982,0.23827894032001495,0.2732302248477936,0.17522315680980682,0.45503583550453186,0.39883795380592346,0.18984173238277435,0.5052502155303955,0.23916715383529663
theological,0.3036796450614929,0.1656060516834259,0.38423416018486023,0.021053219214081764,0.15316301584243774,0.24736182391643524,0.3745153248310089,0.30399659276008606,0.29811325669288635,0.2281150072813034,0.1557305008172989,0.2216041535139084,0.32424458861351013,0.13711953163146973
and,0.31309178471565247,0.34479495882987976,0.20796556770801544,0.06895173341035843,0.3044000566005707,1.0,0.2593945562839508,0.29652947187423706,0.2555774748325348,0.48971283435821533,0.41766801476478577,0.15852567553520203,0.5116966962814331,0.20544172823429108
cultural,0.18198847770690918,0.08231881260871887,0.21182869374752045,-0.06630771607160568,0.24234889447689056,0.28489047288894653,0.3259114623069763,0.22972780466079712,0.21743036806583405,0.19840334355831146,0.13894595205783844,0.10397333651781082,0.29898300766944885,0.09798457473516464
tradition,0.24046438932418823,0.1859186738729477,0.22723522782325745,0.06495670974254608,0.13467395305633545,0.2593945562839508,0.9999998807907104,0.3219432532787323,0.3242560625076294,0.2571658790111542,0.22142919898033142,0.10327507555484772,0.2663337290287018,0.15717756748199463
which,0.5261979103088379,0.2750149369239807,0.17501473426818848,0.03856118768453598,0.3276861011981964,0.506277859210968,0.276109516620636,0.3117353618144989,0.16569830477237701,0.5345056653022766,0.476310670375824,0.11692937463521957,0.5011631846427917,0.25814583897590637
saw,0.24788837134838104,0.4446955919265747,0.13097959756851196,0.04767860472202301,0.1815112829208374,0.2664891481399536,0.18841297924518585,0.3250690698623657,0.2447802871465683,0.2710057497024536,0.23833581805229187,0.2203199416399002,0.28204935789108276,0.14690998196601868
jews,0.22131574153900146,0.23080717027187347,0.24326977133750916,0.017030835151672363,0.26765772700309753,0.2555774748325348,0.3242560625076294,0.3158428370952606,1.0000001192092896,0.22399327158927917,0.20604680478572845,0.24410295486450195,0.2207300066947937,0.16730794310569763
as,0.31749409437179565,0.3596470057964325,0.20242992043495178,-0.05775856226682663,0.2407972663640976,0.49487000703811646,0.23947101831436157,0.26277852058410645,0.18277226388454437,0.42092081904411316,0.5230465531349182,0.1756596863269806,0.3886612355709076,0.27043893933296204
a,0.3320399522781372,0.2552328109741211,0.17967689037322998,0.04866964742541313,0.2782127559185028,0.3739250600337982,0.23827894032001495,0.2732302248477936,0.17522315680980682,0.45503583550453186,0.39883795380592346,0.18984173238277435,0.5052502155303955,0.23916715383529663
rejected,0.2521476447582245,0.3544847071170807,0.21717029809951782,-0.04478023573756218,0.08808133006095886,0.2457340955734253,0.31511062383651733,0.3391933739185333,0.23265841603279114,0.24757765233516693,0.20434190332889557,0.30397236347198486,0.27805227041244507,0.20434792339801788
people,0.32444337010383606,0.26765021681785583,0.14102250337600708,0.023582622408866882,0.37957796454429626,0.3016039729118347,0.22741758823394775,0.31042686104774475,0.4313947558403015,0.37275731563568115,0.2593584358692169,0.19334197044372559,0.3251037895679474,0.23739641904830933
