,what,was,the,name,of,france,'s,primary,colony,in,the,new,world,?
the,0.42745697498321533,0.48711544275283813,1.0,0.3171212375164032,0.733189046382904,0.35517507791519165,-0.01540423184633255,0.25688621401786804,0.2740810811519623,0.6662389636039734,1.0,0.3845241069793701,0.33604270219802856,0.22068053483963013
french,0.17393042147159576,0.2523815333843231,0.2555147111415863,0.18910211324691772,0.19450366497039795,0.5492131114006042,0.0634014755487442,0.1368570327758789,0.2202957570552826,0.22093388438224792,0.2555147111415863,0.1977054476737976,0.18726977705955505,0.1386883556842804
crown,0.11934377253055573,0.2366449236869812,0.2646690607070923,0.18401354551315308,0.2964670956134796,0.20247939229011536,-0.02359621599316597,0.09038989245891571,0.326382040977478,0.2139754444360733,0.2646690607070923,0.20869264006614685,0.18147458136081696,0.09979621320962906
's,0.02692362666130066,0.008974763564765453,-0.01540423184633255,0.08507627248764038,-0.03817026689648628,0.024341266602277756,0.9999999403953552,-0.06354844570159912,-0.004119953140616417,-0.037580832839012146,-0.01540423184633255,-0.008355522528290749,0.11877062171697617,-0.023395681753754616
refusal,0.3242574632167816,0.21255949139595032,0.29118961095809937,0.09350574016571045,0.27877381443977356,0.16640445590019226,-0.04520120099186897,0.18790823221206665,0.1590082198381424,0.2398064285516739,0.29118961095809937,0.2024824470281601,0.12891940772533417,0.21465960144996643
to,0.455847829580307,0.3636345863342285,0.535392165184021,0.27806994318962097,0.41548454761505127,0.2670897841453552,0.03782717138528824,0.27388349175453186,0.27651169896125793,0.45010748505592346,0.535392165184021,0.33159172534942627,0.26213452219963074,0.29463258385658264
allow,0.2883041203022003,0.17550189793109894,0.27822166681289673,0.11134516447782516,0.28057926893234253,0.12368252873420715,0.02137329988181591,0.20876599848270416,0.18162135779857635,0.21222905814647675,0.27822166681289673,0.24657940864562988,0.13703590631484985,0.2042745053768158
non-catholics,0.2802995443344116,0.24566636979579926,0.2727198302745819,0.1470930129289627,0.32354453206062317,0.2415783554315567,0.09478126466274261,0.22399869561195374,0.28752413392066956,0.20886072516441345,0.2727198302745819,0.20734085142612457,0.19900691509246826,0.22818295657634735
to,0.455847829580307,0.3636345863342285,0.535392165184021,0.27806994318962097,0.41548454761505127,0.2670897841453552,0.03782717138528824,0.27388349175453186,0.27651169896125793,0.45010748505592346,0.535392165184021,0.33159172534942627,0.26213452219963074,0.29463258385658264
settle,0.3276752829551697,0.20535625517368317,0.2943725883960724,0.11281923949718475,0.2614152729511261,0.0967794880270958,-0.03139068931341171,0.06907743215560913,0.4820087254047394,0.2407265156507492,0.2943725883960724,0.26252198219299316,0.1047615110874176,0.19976577162742615
in,0.30808621644973755,0.45514053106307983,0.6662389636039734,0.2459065467119217,0.5696388483047485,0.3812309503555298,-0.037580832839012146,0.21150650084018707,0.25087448954582214,1.0,0.6662389636039734,0.3758552670478821,0.3038199245929718,0.20430970191955566
new,0.2130378633737564,0.2748313844203949,0.3845241069793701,0.19623230397701263,0.343457967042923,0.2269197404384613,-0.008355522528290749,0.18274739384651184,0.29187142848968506,0.3758552670478821,0.3845241069793701,0.9999999403953552,0.22683997452259064,0.14782847464084625
