,what,does,teaching,on,an,island,result,in,?
holding,0.2065298706293106,0.21290183067321777,0.2609565854072571,0.26245012879371643,0.17883144319057465,0.15142318606376648,0.17790137231349945,0.23142732679843903,0.17956523597240448
the,0.42745697498321533,0.35928019881248474,0.2182690054178238,0.5107308030128479,0.4207492768764496,0.2837921977043152,0.27778977155685425,0.6662389636039734,0.22068053483963013
position,0.22031237185001373,0.21100744605064392,0.20467650890350342,0.22749492526054382,0.17940422892570496,0.10677605867385864,0.22690828144550323,0.20453733205795288,0.15529610216617584
of,0.33290785551071167,0.3119818866252899,0.2911611497402191,0.3966929316520691,0.32280945777893066,0.24887794256210327,0.231380432844162,0.5696388483047485,0.1826142966747284
principal,0.1582305133342743,0.21075046062469482,0.23393964767456055,0.11698145419359207,0.15226773917675018,0.08404384553432465,0.11477676779031754,0.2094544768333435,0.10016445070505142
",",0.3087472915649414,0.28617382049560547,0.2547089457511902,0.49057599902153015,0.3581022024154663,0.2801448106765747,0.23341737687587738,0.5201468467712402,0.31091248989105225
deputy,0.20033134520053864,0.09205363690853119,0.1535000503063202,0.15420305728912354,0.13642708957195282,0.15997815132141113,0.07124938815832138,0.21997958421707153,0.08738585561513901
principal,0.1582305133342743,0.21075046062469482,0.23393964767456055,0.11698145419359207,0.15226773917675018,0.08404384553432465,0.11477676779031754,0.2094544768333435,0.10016445070505142
or,0.33867141604423523,0.4248845875263214,0.15916350483894348,0.2897229492664337,0.3096676766872406,0.16319388151168823,0.3831445574760437,0.3586423695087433,0.32389625906944275
assistant,0.13693960011005402,0.030629705637693405,0.28080105781555176,0.10388898849487305,0.12112150341272354,0.10444927215576172,0.03257842734456062,0.17016103863716125,0.08149340003728867
principal,0.1582305133342743,0.21075046062469482,0.23393964767456055,0.11698145419359207,0.15226773917675018,0.08404384553432465,0.11477676779031754,0.2094544768333435,0.10016445070505142
),0.26259949803352356,0.2575884759426117,0.14468708634376526,0.29937487840652466,0.2873353958129883,0.16802865266799927,0.22005009651184082,0.3326910734176636,0.42300865054130554
",",0.3087472915649414,0.28617382049560547,0.2547089457511902,0.49057599902153015,0.3581022024154663,0.2801448106765747,0.23341737687587738,0.5201468467712402,0.31091248989105225
experience,0.3894727826118469,0.2676136791706085,0.3476559817790985,0.26401418447494507,0.2728060483932495,0.13866138458251953,0.21364650130271912,0.19806437194347382,0.25203612446784973
and,0.31309178471565247,0.3461615741252899,0.2573738694190979,0.4077630043029785,0.2838519215583801,0.25724759697914124,0.27436327934265137,0.4954058527946472,0.20544172823429108
qualifications,0.23890161514282227,0.29431119561195374,0.3580287992954254,0.22042205929756165,0.18381811678409576,0.09623748809099197,0.24586200714111328,0.2192680537700653,0.21778790652751923
.,0.3567904531955719,0.3022993505001068,0.26479530334472656,0.49257001280784607,0.3581749200820923,0.2574456036090851,0.31092435121536255,0.5591574311256409,0.4130953550338745
