,who,found,that,a,culture,had,developed,where,few,commissioners,had,any,sense,of,responsibility,?
by,0.39727845788002014,0.17248263955116272,0.37496164441108704,0.32094135880470276,0.19387008249759674,0.37294110655784607,0.2796236276626587,0.2641284465789795,0.24547836184501648,0.2800271511077881,0.37294110655784607,0.2681882679462433,0.14194129407405853,0.3646814823150635,0.21357901394367218,0.17966607213020325
contrast,0.16949069499969482,0.21079136431217194,0.31651821732521057,0.29432156682014465,0.21269045770168304,0.18358390033245087,0.26323986053466797,0.19464364647865295,0.2097255140542984,0.14391207695007324,0.18358390033245087,0.3472241163253784,0.33378708362579346,0.3046875298023224,0.23108720779418945,0.15469981729984283
to,0.42656609416007996,0.25225648283958435,0.5436353087425232,0.45503583550453186,0.1957503855228424,0.37984350323677063,0.19491806626319885,0.47735077142715454,0.36415213346481323,0.27257397770881653,0.37984350323677063,0.46410247683525085,0.29030367732048035,0.41548454761505127,0.27145519852638245,0.29463258385658264
the,0.3733934462070465,0.3452354073524475,0.5473989248275757,0.5829201340675354,0.27157285809516907,0.3875846862792969,0.24490751326084137,0.5003893971443176,0.34660017490386963,0.30569928884506226,0.3875846862792969,0.4525727927684784,0.23180550336837769,0.733189046382904,0.3036732077598572,0.22068053483963013
ecj,0.1555674523115158,0.11529187113046646,0.17690235376358032,0.1464676707983017,0.16948644816875458,0.10987114161252975,0.06043427437543869,0.14258594810962677,0.10805132240056992,0.24343664944171906,0.10987114161252975,0.271722674369812,0.19366426765918732,0.2910654544830322,0.28002917766571045,0.22849227488040924
's,0.05599616840481758,0.005866709165275097,0.04397977516055107,0.04866964742541313,-0.02915232628583908,-0.004401352722197771,0.04590931162238121,0.0007701900321990252,0.06408512592315674,0.026411619037389755,-0.004401352722197771,0.09017360955476761,0.020905928686261177,-0.03817026689648628,-0.007710610516369343,-0.023395681753754616
relaxed,0.19093039631843567,0.13451528549194336,0.33092644810676575,0.23551808297634125,0.2605709731578827,0.20575600862503052,0.20242664217948914,0.22019992768764496,0.18340788781642914,0.13126185536384583,0.20575600862503052,0.2651183307170868,0.3346066176891327,0.143231600522995,0.2329925298690796,0.11707999557256699
approach,0.11279846727848053,0.10706497728824615,0.24670064449310303,0.2336270660161972,0.16367952525615692,0.15235157310962677,0.24146611988544464,0.14784935116767883,0.15497007966041565,0.10803904384374619,0.15235157310962677,0.16489088535308838,0.22750212252140045,0.20773443579673767,0.2557261884212494,0.181949645280838
",",0.3365725874900818,0.27385151386260986,0.4137537479400635,0.427140474319458,0.23807421326637268,0.35487717390060425,0.24565434455871582,0.3149496018886566,0.32531002163887024,0.24960196018218994,0.35487717390060425,0.3237466514110565,0.27551719546318054,0.4946078956127167,0.22008010745048523,0.31091248989105225
a,0.36608949303627014,0.2869448959827423,0.47537946701049805,1.0,0.23602306842803955,0.34897568821907043,0.286296546459198,0.40997210144996643,0.2765968441963196,0.218472421169281,0.34897568821907043,0.45031747221946716,0.27587276697158813,0.5052502155303955,0.22730666399002075,0.23916715383529663
