,what,is,the,festival,of,food,and,drink,known,as,?
the,0.42745697498321533,0.5823672413825989,1.0,0.20982226729393005,0.733189046382904,0.3025728166103363,0.5171257257461548,0.21800640225410461,0.3624623417854309,0.48381632566452026,0.22068053483963013
north,0.18673177063465118,0.2993389368057251,0.36298373341560364,0.20499204099178314,0.3604778051376343,0.16089190542697906,0.2776443064212799,0.11461137980222702,0.1970449835062027,0.22670356929302216,0.11829731613397598
east,0.19840149581432343,0.2596127688884735,0.3383176326751709,0.18793387711048126,0.314786434173584,0.14266012609004974,0.27633291482925415,0.14518384635448456,0.21003270149230957,0.19617025554180145,0.10070597380399704
art,0.19292277097702026,0.17386884987354279,0.20297785103321075,0.250935822725296,0.22648051381111145,0.15345799922943115,0.2631918787956238,0.1570294201374054,0.15160098671913147,0.19598303735256195,0.138971745967865
expo,0.13131991028785706,0.19691221415996552,0.21362322568893433,0.3459744155406952,0.15775366127490997,0.17080816626548767,0.1819080263376236,0.1471632421016693,0.16575203835964203,0.17793221771717072,0.12218751758337021
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.25094273686408997,0.4946078956127167,0.2870374023914337,0.6633074283599854,0.1923743039369583,0.3604377806186676,0.48816442489624023,0.31091248989105225
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.16281212866306305,0.5052502155303955,0.24320901930332184,0.3739250600337982,0.2273007333278656,0.30882248282432556,0.39550232887268066,0.23916715383529663
festival,0.15385980904102325,0.1853252649307251,0.20982226729393005,0.9999999403953552,0.17007394134998322,0.16119804978370667,0.19459347426891327,0.22086602449417114,0.17092925310134888,0.11274521797895432,0.17767390608787537
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.17007394134998322,1.0,0.2602803111076355,0.5116966962814331,0.18839411437511444,0.35814476013183594,0.3886612355709076,0.1826142966747284
art,0.19292277097702026,0.17386884987354279,0.20297785103321075,0.250935822725296,0.22648051381111145,0.15345799922943115,0.2631918787956238,0.1570294201374054,0.15160098671913147,0.19598303735256195,0.138971745967865
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.19459347426891327,0.5116966962814331,0.31356173753738403,1.0,0.22298143804073334,0.3468935489654541,0.49487000703811646,0.20544172823429108
design,0.23893405497074127,0.18976035714149475,0.27913451194763184,0.10533132404088974,0.2522938847541809,0.13816986978054047,0.21815341711044312,0.10727039724588394,0.14586901664733887,0.21253643929958344,0.16351860761642456
from,0.2737620174884796,0.27355384826660156,0.40150508284568787,0.15214519202709198,0.4249346852302551,0.17272236943244934,0.3601827025413513,0.1714162528514862,0.18996182084083557,0.3251767158508301,0.19969791173934937
the,0.42745697498321533,0.5823672413825989,1.0,0.20982226729393005,0.733189046382904,0.3025728166103363,0.5171257257461548,0.21800640225410461,0.3624623417854309,0.48381632566452026,0.22068053483963013
regions,0.22129066288471222,0.28507089614868164,0.36158451437950134,0.11622434109449387,0.3694140613079071,0.2062884271144867,0.30318012833595276,0.15195153653621674,0.1583780199289322,0.1956164389848709,0.11608363687992096
professional,0.20202119648456573,0.2246137410402298,0.1869824379682541,0.15788641571998596,0.21265500783920288,0.12163222581148148,0.2247244119644165,0.09113098680973053,0.31307026743888855,0.2478996217250824,0.13074518740177155
artists,0.19783541560173035,0.15003371238708496,0.2150506228208542,0.21213388442993164,0.18416832387447357,0.15544405579566956,0.22698481380939484,0.19458118081092834,0.16312150657176971,0.20597897469997406,0.1482434719800949
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.25094273686408997,0.4946078956127167,0.2870374023914337,0.6633074283599854,0.1923743039369583,0.3604377806186676,0.48816442489624023,0.31091248989105225
is,0.28837618231773376,1.0,0.5823672413825989,0.1853252649307251,0.4854315221309662,0.20563258230686188,0.3859752118587494,0.2250533550977707,0.41921812295913696,0.43216490745544434,0.22961433231830597
held,0.0974166989326477,0.19884860515594482,0.32185450196266174,0.3763343393802643,0.28960686922073364,0.14634312689304352,0.22757986187934875,0.12191912531852722,0.22108618915081024,0.16727563738822937,0.14103956520557404
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.27311140298843384,0.5696388483047485,0.21391697227954865,0.4954058527946472,0.22487081587314606,0.32641831040382385,0.3887844979763031,0.20430970191955566
late,0.1576872020959854,0.20186106860637665,0.31481194496154785,0.17790944874286652,0.21690747141838074,0.16912822425365448,0.3247620165348053,0.16848516464233398,0.25082725286483765,0.2612197697162628,0.11339222639799118
may,0.25739946961402893,0.322792649269104,0.2694292366504669,0.13351868093013763,0.26447007060050964,0.21585549414157867,0.34598252177238464,0.1890335977077484,0.2072170078754425,0.32133710384368896,0.2768254578113556
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.16963402926921844,0.5352458953857422,0.27541688084602356,0.588965117931366,0.2385786920785904,0.283290296792984,0.515582263469696,0.4130953550338745
