,what,is,the,translation,of,siebengebirge,?
this,0.5489566326141357,0.480927973985672,0.6274310946464539,0.30652913451194763,0.45148900151252747,0.24728278815746307,0.3155723512172699
``,0.008517155423760414,0.058766357600688934,0.029072100296616554,-0.02818385139107704,0.06780257821083069,0.06521210074424744,0.0685480609536171
germanic,0.23222655057907104,0.2013675570487976,0.3006645441055298,0.26595041155815125,0.27129584550857544,0.43242210149765015,0.18380945920944214
heroic,0.19843003153800964,0.13494174182415009,0.24516884982585907,0.25094884634017944,0.2508719861507416,0.1915437877178192,0.20906680822372437
age,0.1895245760679245,0.17962174117565155,0.24711290001869202,-0.010560689494013786,0.2372717410326004,0.17845292389392853,0.16859300434589386
'',0.08143015950918198,0.0793738141655922,0.041273195296525955,0.07195914536714554,0.13035868108272552,-0.056405894458293915,0.018684765323996544
is,0.28837618231773376,1.0,0.5823672413825989,0.24474994838237762,0.4854315221309662,0.26564347743988037,0.22961433231830597
reflected,0.2521127760410309,0.1734040081501007,0.3111802637577057,0.26555880904197693,0.2816413640975952,0.1258363425731659,0.12829364836215973
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.1721324771642685,0.5696388483047485,0.3376985490322113,0.20430970191955566
medieval,0.2230893075466156,0.22781160473823547,0.28617456555366516,0.20171448588371277,0.31686919927597046,0.31672725081443787,0.15571735799312592
legend,0.1718679517507553,0.1762775480747223,0.19108377397060394,0.13189969956874847,0.22387516498565674,0.23260734975337982,0.1287047564983368
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.2429160475730896,0.4946078956127167,0.3467433750629425,0.31091248989105225
such,0.23989605903625488,0.23545363545417786,0.3575236201286316,0.1887187957763672,0.3209529519081116,0.13647563755512238,0.17851735651493073
as,0.31749409437179565,0.43216490745544434,0.48381632566452026,0.20053249597549438,0.3886612355709076,0.20734429359436035,0.27043893933296204
the,0.42745697498321533,0.5823672413825989,1.0,0.26402729749679565,0.733189046382904,0.31897008419036865,0.22068053483963013
nibelungenlied,0.28843218088150024,0.266268789768219,0.39141249656677246,0.3464195132255554,0.33419927954673767,0.5139879584312439,0.1500171571969986
which,0.5261979103088379,0.4457404911518097,0.6521818041801453,0.2684275209903717,0.5011631846427917,0.29023829102516174,0.25814583897590637
tells,0.39625248312950134,0.2967565357685089,0.28859055042266846,0.22943390905857086,0.28254079818725586,0.15791161358356476,0.20469747483730316
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.18704865872859955,1.0,0.29888707399368286,0.1826142966747284
the,0.42745697498321533,0.5823672413825989,1.0,0.26402729749679565,0.733189046382904,0.31897008419036865,0.22068053483963013
hero,0.19322191178798676,0.17476734519004822,0.19534069299697876,0.133126899600029,0.20685459673404694,0.1880069524049759,0.141077920794487
siegfried,0.2725374698638916,0.15042954683303833,0.2753113806247711,0.18186639249324799,0.17563951015472412,0.49662548303604126,0.20512576401233673
killing,0.1910286396741867,0.23006494343280792,0.2688891291618347,0.13842467963695526,0.29287010431289673,0.22867140173912048,0.13008421659469604
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.21946357190608978,0.5052502155303955,0.24325422942638397,0.23916715383529663
dragon,0.11695480346679688,0.228524312376976,0.2850968539714813,0.20289060473442078,0.17682741582393646,0.25715872645378113,0.1974911391735077
on,0.34226128458976746,0.3635730445384979,0.5107308030128479,0.13263548910617828,0.3966929316520691,0.22751373052597046,0.2714994251728058
the,0.42745697498321533,0.5823672413825989,1.0,0.26402729749679565,0.733189046382904,0.31897008419036865,0.22068053483963013
drachenfels,0.2534433603286743,0.3311617970466614,0.39601391553878784,0.23857633769512177,0.3707074224948883,0.6445955634117126,0.23901787400245667
(,0.2411840260028839,0.35393038392066956,0.33289089798927307,0.2620614171028137,0.35032153129577637,0.3023037016391754,0.40561532974243164
siebengebirge,0.2346854954957962,0.26564347743988037,0.31897008419036865,0.23048000037670135,0.29888707399368286,1.0,0.20031411945819855
),0.26259949803352356,0.37732169032096863,0.3456730246543884,0.2564658224582672,0.3680361211299896,0.3165287375450134,0.42300865054130554
(,0.2411840260028839,0.35393038392066956,0.33289089798927307,0.2620614171028137,0.35032153129577637,0.3023037016391754,0.40561532974243164
