,what,is,the,term,of,office,for,each,house,member,?
the,0.42745697498321533,0.5823672413825989,1.0,0.2740369141101837,0.733189046382904,0.27314993739128113,0.4739971458911896,0.470844566822052,0.2847244441509247,0.2806392312049866,0.22068053483963013
total,0.19850242137908936,0.18159881234169006,0.27068960666656494,0.13866248726844788,0.29045331478118896,0.13145264983177185,0.18924455344676971,0.32807454466819763,0.051323965191841125,0.1175188198685646,0.14396025240421295
number,0.23046229779720306,0.22390379011631012,0.35145696997642517,0.16280588507652283,0.2778518795967102,0.15351784229278564,0.2861633002758026,0.3657607138156891,0.1848890632390976,0.20533400774002075,0.19256845116615295
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.26047757267951965,1.0,0.24605777859687805,0.4185989499092102,0.38460010290145874,0.285114049911499,0.2701796889305115,0.1826142966747284
upper,0.1592642068862915,0.2177516371011734,0.35289278626441956,0.11012937873601913,0.25818127393722534,0.10080765187740326,0.12166716158390045,0.23866258561611176,0.27867934107780457,0.14915384352207184,0.051342256367206573
house,0.200801283121109,0.2084006369113922,0.2847244441509247,0.16486485302448273,0.285114049911499,0.3055565059185028,0.20432360470294952,0.14050611853599548,0.9999998807907104,0.32381269335746765,0.13736455142498016
members,0.16873176395893097,0.1897467076778412,0.3321719169616699,0.15077292919158936,0.28120753169059753,0.1585986167192459,0.2612179219722748,0.269004225730896,0.33999237418174744,0.7046385407447815,0.10212311148643494
was,0.22111038863658905,0.5810302495956421,0.48711544275283813,0.21378034353256226,0.4069072902202606,0.3002835810184479,0.3863949179649353,0.14424845576286316,0.28759756684303284,0.31559354066848755,0.18412111699581146
reduced,0.11519023776054382,0.17229968309402466,0.2897622883319855,0.23042215406894684,0.30275818705558777,0.11585181206464767,0.2299892157316208,0.29224902391433716,0.11587803065776825,0.013098654337227345,0.10234767943620682
from,0.2737620174884796,0.27355384826660156,0.40150508284568787,0.25269290804862976,0.4249346852302551,0.23025791347026825,0.314039945602417,0.22863267362117767,0.21994347870349884,0.24533385038375854,0.19969791173934937
44,0.1607796847820282,0.17039629817008972,0.28236207365989685,0.20457850396633148,0.2199704796075821,0.040484026074409485,0.17092502117156982,0.14178135991096497,0.11141742765903473,0.13680586218833923,0.03696782514452934
to,0.455847829580307,0.42745086550712585,0.535392165184021,0.3310292959213257,0.41548454761505127,0.20860034227371216,0.4451248347759247,0.3941934108734131,0.23688754439353943,0.19456195831298828,0.29463258385658264
40,-0.05768606811761856,0.020139267668128014,-0.09923846274614334,0.022792931646108627,-0.03308193385601044,-0.06057488173246384,-0.02182970941066742,-0.07829791307449341,0.021004334092140198,-0.007800096645951271,0.010195288807153702
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.22272127866744995,0.5116966962814331,0.22517526149749756,0.5064792633056641,0.2984027564525604,0.2552875876426697,0.28606608510017395,0.20544172823429108
