,who,had,the,idea,of,a,natural,state,for,objects,at,rest,?
galileo,0.20970220863819122,0.1999967396259308,0.21531248092651367,0.2870751619338989,0.20429757237434387,0.1346738189458847,0.12376882135868073,0.11033987253904343,0.17925311625003815,0.36588457226753235,0.203263521194458,0.19644995033740997,0.1773405522108078
realized,0.34042346477508545,0.4782308042049408,0.27818870544433594,0.34615129232406616,0.2313692569732666,0.2289418876171112,0.15671312808990479,0.1208665668964386,0.21789492666721344,0.19876432418823242,0.2496010959148407,0.22622859477996826,0.15594157576560974
that,0.45444270968437195,0.4407361149787903,0.5473989248275757,0.49277663230895996,0.41498205065727234,0.47537946701049805,0.23673862218856812,0.24252457916736603,0.4137635827064514,0.33961281180381775,0.3183255195617676,0.3498731553554535,0.32716336846351624
simple,0.26573318243026733,0.2113422453403473,0.24738673865795135,0.4336892366409302,0.23205730319023132,0.34160614013671875,0.19009822607040405,0.13083255290985107,0.32954689860343933,0.2590053379535675,0.21276067197322845,0.21619370579719543,0.4614735543727875
velocity,0.11243568360805511,0.14948385953903198,0.22094543278217316,0.22027051448822021,0.15038157999515533,0.2071385234594345,0.21516911685466766,0.13775326311588287,0.18387487530708313,0.3547598123550415,0.20071503520011902,0.15683963894844055,0.20807628333568573
addition,0.20351898670196533,0.3111904263496399,0.32955414056777954,0.2309953272342682,0.27503931522369385,0.2617819607257843,0.21901839971542358,0.16617824137210846,0.39286839962005615,0.23678158223628998,0.2062952220439911,0.187941312789917,0.19187232851982117
demands,0.25087907910346985,0.2633991241455078,0.3082757890224457,0.23388713598251343,0.28625205159187317,0.23722945153713226,0.11674739420413971,0.16372306644916534,0.3068086802959442,0.21712492406368256,0.18021252751350403,0.23195414245128632,0.11488337814807892
that,0.45444270968437195,0.4407361149787903,0.5473989248275757,0.49277663230895996,0.41498205065727234,0.47537946701049805,0.23673862218856812,0.24252457916736603,0.4137635827064514,0.33961281180381775,0.3183255195617676,0.3498731553554535,0.32716336846351624
the,0.3733934462070465,0.3875846862792969,1.0,0.2839161455631256,0.733189046382904,0.5829201340675354,0.2291368842124939,0.3097178041934967,0.4739971458911896,0.24716724455356598,0.457212895154953,0.41330549120903015,0.22068053483963013
concept,0.2084418535232544,0.19648578763008118,0.2355310022830963,0.5623390674591064,0.24082158505916595,0.29586365818977356,0.2370392382144928,0.1725332885980606,0.24192313849925995,0.32524287700653076,0.12958785891532898,0.1480751782655716,0.17160645127296448
of,0.2827862501144409,0.37755560874938965,0.733189046382904,0.2342950403690338,1.0,0.5052502155303955,0.2963479459285736,0.34253445267677307,0.4185989499092102,0.23814009130001068,0.42558613419532776,0.33621829748153687,0.1826142966747284
an,0.2848317325115204,0.22327841818332672,0.4207492768764496,0.1786234825849533,0.32280945777893066,0.44552403688430786,0.17104031145572662,0.2181641161441803,0.3236706852912903,0.1756676435470581,0.2446778565645218,0.16733460128307343,0.19793890416622162
``,0.02397952415049076,0.0518546998500824,0.029072100296616554,0.08469878882169724,0.06780257821083069,0.07272057235240936,0.051031120121479034,0.041566602885723114,0.01270448137074709,-0.006110888905823231,-0.07642947137355804,0.10483333468437195,0.0685480609536171
