,how,much,of,the,lake,connecting,with,the,rhine,can,you,see,from,the,german,islands,?
depending,0.4327453076839447,0.3201812207698822,0.3065048158168793,0.3423977494239807,0.11003405600786209,0.2506087124347687,0.3409535884857178,0.3423977494239807,0.15143832564353943,0.5650255084037781,0.37373220920562744,0.364012211561203,0.21672186255455017,0.3423977494239807,0.14756940305233002,0.17278622090816498,0.21704205870628357
on,0.32655060291290283,0.2834896147251129,0.3966929316520691,0.5107308030128479,0.18818998336791992,0.2897907793521881,0.40749499201774597,0.5107308030128479,0.20067645609378815,0.2772369682788849,0.28820139169692993,0.2895292341709137,0.36926645040512085,0.5107308030128479,0.191445454955101,0.21517622470855713,0.2714994251728058
the,0.33890387415885925,0.35023224353790283,0.733189046382904,1.0,0.24325428903102875,0.36355212330818176,0.4223487675189972,1.0,0.30735138058662415,0.312528520822525,0.30037742853164673,0.3770301640033722,0.40150508284568787,1.0,0.256483793258667,0.27959951758384705,0.22068053483963013
water,0.19594718515872955,0.2890187203884125,0.2741255462169647,0.297396719455719,0.40283486247062683,0.2329355925321579,0.20542247593402863,0.297396719455719,0.18943050503730774,0.33822447061538696,0.22229517996311188,0.22724933922290802,0.197988361120224,0.297396719455719,0.09318304061889648,0.2132791429758072,0.14731885492801666
level,0.27169108390808105,0.2299954742193222,0.23504668474197388,0.31442487239837646,0.18344920873641968,0.2733485996723175,0.23348768055438995,0.31442487239837646,0.17357029020786285,0.28241869807243347,0.2270316183567047,0.20043091475963593,0.20225347578525543,0.31442487239837646,0.14312998950481415,0.1628626137971878,0.20528386533260345
",",0.22659391164779663,0.36182254552841187,0.4946078956127167,0.4933079481124878,0.2802521586418152,0.2644299864768982,0.4120737314224243,0.4933079481124878,0.167837992310524,0.3139454126358032,0.3199685513973236,0.35306161642074585,0.39760664105415344,0.4933079481124878,0.2478695809841156,0.2641065716743469,0.31091248989105225
this,0.45272302627563477,0.5015546083450317,0.45148900151252747,0.6274310946464539,0.1804429590702057,0.2505134642124176,0.36358317732810974,0.6274310946464539,0.16867555677890778,0.4006461203098297,0.45211222767829895,0.45724403858184814,0.3469814360141754,0.6274310946464539,0.18710628151893616,0.1938164383172989,0.3155723512172699
flow,0.21408434212207794,0.2529391050338745,0.2407451719045639,0.314039409160614,0.283983439207077,0.34755417704582214,0.08951380848884583,0.314039409160614,0.20253489911556244,0.2780390679836273,0.23295658826828003,0.25755149126052856,0.21963053941726685,0.314039409160614,0.14232219755649567,0.13781459629535675,0.10458291321992874
of,0.2480744868516922,0.2671096920967102,1.0,0.733189046382904,0.23993153870105743,0.3161858916282654,0.41827285289764404,0.733189046382904,0.2548927664756775,0.2603091299533844,0.1774725764989853,0.33962661027908325,0.4249346852302551,0.733189046382904,0.2122138887643814,0.277767539024353,0.1826142966747284
the,0.33890387415885925,0.35023224353790283,0.733189046382904,1.0,0.24325428903102875,0.36355212330818176,0.4223487675189972,1.0,0.30735138058662415,0.312528520822525,0.30037742853164673,0.3770301640033722,0.40150508284568787,1.0,0.256483793258667,0.27959951758384705,0.22068053483963013
rhine,0.09285783767700195,0.11189084500074387,0.2548927664756775,0.30735138058662415,0.22246339917182922,0.2158898562192917,0.18184249103069305,0.30735138058662415,1.0,0.09961956739425659,0.12457721680402756,0.1303877830505371,0.2181936800479889,0.30735138058662415,0.49305370450019836,0.20279084146022797,0.13754533231258392
water,0.19594718515872955,0.2890187203884125,0.2741255462169647,0.297396719455719,0.40283486247062683,0.2329355925321579,0.20542247593402863,0.297396719455719,0.18943050503730774,0.33822447061538696,0.22229517996311188,0.22724933922290802,0.197988361120224,0.297396719455719,0.09318304061889648,0.2132791429758072,0.14731885492801666
is,0.22544461488723755,0.3156087100505829,0.4854315221309662,0.5823672413825989,0.22300897538661957,0.2947237491607666,0.3250955045223236,0.5823672413825989,0.15617261826992035,0.44256699085235596,0.27113574743270874,0.30759111046791077,0.27355384826660156,0.5823672413825989,0.19231973588466644,0.18837878108024597,0.22961433231830597
clearly,0.4623611569404602,0.4030260443687439,0.2792348265647888,0.37195420265197754,0.17098303139209747,0.16942057013511658,0.31566503643989563,0.37195420265197754,0.1782616674900055,0.3719388544559479,0.44331541657447815,0.4617054760456085,0.24877740442752838,0.37195420265197754,0.157197967171669,0.12958750128746033,0.40760257840156555
visible,0.23024031519889832,0.3526683449745178,0.27322983741760254,0.3234308958053589,0.12839770317077637,0.2584312856197357,0.20152629911899567,0.3234308958053589,0.07999181002378464,0.3255341649055481,0.249472513794899,0.4309479296207428,0.22766214609146118,0.3234308958053589,0.03821904957294464,0.10967441648244858,0.16810297966003418
along,0.2501010298728943,0.23069867491722107,0.34889817237854004,0.39495137333869934,0.190248042345047,0.37150999903678894,0.47997185587882996,0.39495137333869934,0.24867600202560425,0.17559465765953064,0.17760850489139557,0.17702703177928925,0.279703289270401,0.39495137333869934,0.10913059860467911,0.23352943360805511,0.17134909331798553
the,0.33890387415885925,0.35023224353790283,0.733189046382904,1.0,0.24325428903102875,0.36355212330818176,0.4223487675189972,1.0,0.30735138058662415,0.312528520822525,0.30037742853164673,0.3770301640033722,0.40150508284568787,1.0,0.256483793258667,0.27959951758384705,0.22068053483963013
entire,0.2951267957687378,0.3815971314907074,0.3766143023967743,0.4870373010635376,0.19432520866394043,0.23573440313339233,0.27352437376976013,0.4870373010635376,0.09420374780893326,0.22104480862617493,0.22034187614917755,0.23334574699401855,0.21206918358802795,0.4870373010635376,0.18368104100227356,0.20611712336540222,0.17068447172641754
length,0.1936909705400467,0.22158002853393555,0.22847424447536469,0.26581600308418274,0.14617255330085754,0.20781123638153076,0.1592123806476593,0.26581600308418274,0.20094704627990723,0.22775670886039734,0.16649259626865387,0.16861946880817413,0.19659951329231262,0.26581600308418274,0.08317441493272781,0.07549002021551132,0.16668567061424255
of,0.2480744868516922,0.2671096920967102,1.0,0.733189046382904,0.23993153870105743,0.3161858916282654,0.41827285289764404,0.733189046382904,0.2548927664756775,0.2603091299533844,0.1774725764989853,0.33962661027908325,0.4249346852302551,0.733189046382904,0.2122138887643814,0.277767539024353,0.1826142966747284
the,0.33890387415885925,0.35023224353790283,0.733189046382904,1.0,0.24325428903102875,0.36355212330818176,0.4223487675189972,1.0,0.30735138058662415,0.312528520822525,0.30037742853164673,0.3770301640033722,0.40150508284568787,1.0,0.256483793258667,0.27959951758384705,0.22068053483963013
lake,0.10057038813829422,0.16241015493869781,0.23993153870105743,0.24325428903102875,1.0000001192092896,0.1874820739030838,0.1871964931488037,0.24325428903102875,0.22246339917182922,0.11123177409172058,0.16248847544193268,0.10741432011127472,0.1707027703523636,0.24325428903102875,0.12599600851535797,0.18313588201999664,0.07226386666297913
.,0.3287222981452942,0.3374604284763336,0.5352458953857422,0.5934505462646484,0.18603695929050446,0.24344070255756378,0.4446153938770294,0.5934505462646484,0.2089352011680603,0.35783761739730835,0.31283900141716003,0.3851161599159241,0.41536515951156616,0.5934505462646484,0.2407633364200592,0.26146334409713745,0.4130953550338745
