,what,group,did,luther,want,to,understand,his,works,?
he,0.3114890456199646,0.22512191534042358,0.3292143940925598,0.2454872578382492,0.2257036566734314,0.385390967130661,0.2591211795806885,0.7171558737754822,0.2879762649536133,0.2089974731206894
intended,0.32450535893440247,0.1561719924211502,0.3671674132347107,0.123398557305336,0.4139973223209381,0.48327770829200745,0.3027503192424774,0.23193079233169556,0.2256276160478592,0.21823447942733765
his,0.26976513862609863,0.16220685839653015,0.3546801507472992,0.27093374729156494,0.20445500314235687,0.3715193271636963,0.20628796517848969,0.9999998807907104,0.32648009061813354,0.18075084686279297
vigorous,0.2523565888404846,0.22629107534885406,0.17048287391662598,0.077043317258358,0.1627352237701416,0.2891698181629181,0.3049837052822113,0.29576531052589417,0.20978708565235138,0.1403348594903946
",",0.3087472915649414,0.2809832692146301,0.3015086054801941,0.23255878686904907,0.30747702717781067,0.44245919585227966,0.2897718548774719,0.3378419280052185,0.29211118817329407,0.31091248989105225
direct,0.26271191239356995,0.1786428689956665,0.25516921281814575,0.08945387601852417,0.2441847324371338,0.3420579433441162,0.23409339785575867,0.205237478017807,0.15107811987400055,0.18476411700248718
language,0.28220435976982117,0.20964579284191132,0.1788339912891388,0.12746912240982056,0.21569061279296875,0.2763397693634033,0.4404468238353729,0.16114097833633423,0.17499521374702454,0.25349316000938416
to,0.455847829580307,0.2672896385192871,0.4452643394470215,0.18029534816741943,0.4966742694377899,1.0,0.40101751685142517,0.3715193271636963,0.22564561665058136,0.29463258385658264
make,0.3792211413383484,0.22072963416576385,0.3602050840854645,0.19892162084579468,0.45181071758270264,0.497876912355423,0.48417744040489197,0.24823373556137085,0.26551371812820435,0.28314751386642456
the,0.42745697498321533,0.30795547366142273,0.34736719727516174,0.1759674996137619,0.3003826439380646,0.535392165184021,0.2701992988586426,0.4394008219242096,0.26337864995002747,0.22068053483963013
bible,0.33710888028144836,0.12880992889404297,0.24923516809940338,0.3825412392616272,0.2340477555990219,0.22778454422950745,0.3434586226940155,0.22367943823337555,0.23107486963272095,0.22667601704597473
