,what,costumes,collection,did,the,v,&,a,acquired,in,2002,?
in,0.30808621644973755,0.20392239093780518,0.23004686832427979,0.2593238651752472,0.6662389636039734,0.15216681361198425,0.1358654648065567,0.539380669593811,0.20108897984027863,1.0,-0.15852214395999908,0.20430970191955566
2002,0.02542238123714924,0.05440502241253853,0.04641743749380112,-0.009445956908166409,-0.07970229536294937,-0.16531959176063538,0.06901837140321732,-0.04267120361328125,-0.09385805577039719,-0.15852214395999908,0.9999999403953552,0.045828185975551605
",",0.3087472915649414,0.23070135712623596,0.2277175933122635,0.3015086054801941,0.4933079481124878,0.22053663432598114,0.2516871392726898,0.427140474319458,0.19564154744148254,0.5201468467712402,-0.08979252725839615,0.31091248989105225
the,0.42745697498321533,0.2165670096874237,0.25281965732574463,0.34736719727516174,1.0,0.18580520153045654,0.14992168545722961,0.5829201340675354,0.22202405333518982,0.6662389636039734,-0.07970229536294937,0.22068053483963013
museum,0.1771627515554428,0.1978643387556076,0.4441815912723541,0.14870306849479675,0.24861779808998108,0.07561434060335159,0.18110838532447815,0.14725451171398163,0.23013935983181,0.2407650351524353,-0.16475194692611694,0.14128351211547852
acquired,0.15010768175125122,0.07529144734144211,0.29006797075271606,0.13529880344867706,0.22202405333518982,0.06319800764322281,0.09193792939186096,0.16495825350284576,1.0,0.20108897984027863,-0.09385805577039719,0.09366346150636673
the,0.42745697498321533,0.2165670096874237,0.25281965732574463,0.34736719727516174,1.0,0.18580520153045654,0.14992168545722961,0.5829201340675354,0.22202405333518982,0.6662389636039734,-0.07970229536294937,0.22068053483963013
costiff,0.27087998390197754,0.40469294786453247,0.24927334487438202,0.2589191496372223,0.2323952615261078,0.15196795761585236,0.14182087779045105,0.29975077509880066,0.2437012642621994,0.21570788323879242,-0.15864765644073486,0.22294071316719055
collection,0.215459942817688,0.2637207508087158,0.9999998807907104,0.13477008044719696,0.25281965732574463,0.11078842729330063,0.18749947845935822,0.24716788530349731,0.29006797075271606,0.23004686832427979,0.04641743749380112,0.20069393515586853
of,0.33290785551071167,0.2081592082977295,0.2915455996990204,0.2513895630836487,0.733189046382904,0.1655031144618988,0.19900451600551605,0.5052502155303955,0.20385384559631348,0.5696388483047485,-0.05071645230054855,0.1826142966747284
178,0.20723964273929596,0.24118541181087494,0.06212025508284569,0.16158254444599152,0.07313534617424011,0.007146182470023632,0.027146698907017708,0.025826366618275642,0.14673909544944763,0.05238906666636467,-0.09498860687017441,0.1777212917804718
vivienne,0.09596389532089233,0.24242529273033142,0.18269143998622894,0.10667907446622849,0.23282523453235626,0.14176174998283386,0.19525469839572906,0.17607006430625916,0.18828025460243225,0.24524268507957458,-0.07601243257522583,0.1402239203453064
westwood,0.13306690752506256,0.13058631122112274,0.14090955257415771,0.14362391829490662,0.289829283952713,0.05859444662928581,0.17215731739997864,0.2102794200181961,0.16357608139514923,0.22285649180412292,-0.1157611683011055,0.17119714617729187
costumes,0.22966621816158295,1.0,0.2637207508087158,0.24208544194698334,0.2165670096874237,0.12391691654920578,0.08678845316171646,0.16726036369800568,0.07529144734144211,0.20392239093780518,0.05440502241253853,0.1693248301744461
.,0.3567904531955719,0.20573796331882477,0.2516246736049652,0.35288307070732117,0.5934505462646484,0.2973858416080475,0.16452857851982117,0.50484299659729,0.17389816045761108,0.5591574311256409,-0.10442857444286346,0.4130953550338745
