,how,many,times,did,the,broncos,cause,turnovers,in,the,game,?
newton,0.2514588236808777,0.1828424632549286,0.19109323620796204,0.23863376677036285,0.1876603662967682,0.2398018091917038,0.11655517667531967,0.18114374577999115,0.23639483749866486,0.1876603662967682,0.19938594102859497,0.09645649790763855
was,0.16678167879581451,0.260356068611145,0.2859917879104614,0.41399896144866943,0.48711544275283813,0.23574475944042206,0.1555917114019394,0.2156830132007599,0.45514053106307983,0.48711544275283813,0.2568269371986389,0.18412111699581146
limited,0.2116495817899704,0.2817049026489258,0.13311107456684113,0.2072332352399826,0.2757521867752075,0.16614718735218048,0.26433828473091125,0.282033234834671,0.23956921696662903,0.2757521867752075,0.17320950329303741,0.09444807469844818
by,0.34370526671409607,0.3409687578678131,0.18494531512260437,0.18574509024620056,0.4408751428127289,0.11333504319190979,0.20837076008319855,0.27554643154144287,0.370934396982193,0.4408751428127289,0.21372540295124054,0.17966607213020325
denver,0.15631112456321716,0.18606427311897278,0.1485476791858673,0.16413381695747375,0.2052404284477234,0.5774994492530823,0.08476139605045319,0.21867410838603973,0.2221570909023285,0.2052404284477234,0.18653830885887146,0.1520889848470688
's,-0.026164190843701363,0.01698932610452175,-0.048017483204603195,0.05069678649306297,-0.01540423184633255,-0.037254199385643005,-0.04770376905798912,0.0264132022857666,-0.037580832839012146,-0.01540423184633255,0.07448072731494904,-0.023395681753754616
defense,0.14550013840198517,0.1536635160446167,0.21282894909381866,0.14361093938350677,0.2604767382144928,0.29830923676490784,0.16810375452041626,0.1747168004512787,0.20235490798950195,0.2604767382144928,0.2452038824558258,0.21935760974884033
",",0.22659391164779663,0.40610817074775696,0.2897866368293762,0.3015086054801941,0.4933079481124878,0.2558487057685852,0.2546827793121338,0.2863239049911499,0.5201468467712402,0.4933079481124878,0.2653886377811432,0.31091248989105225
which,0.4852597713470459,0.5168171525001526,0.29070794582366943,0.2750149369239807,0.6521818041801453,0.22873279452323914,0.35877716541290283,0.30041050910949707,0.4840516746044159,0.6521818041801453,0.23652023077011108,0.25814583897590637
sacked,0.09018589556217194,0.1555364578962326,0.23362751305103302,0.2887319028377533,0.23815631866455078,0.25410908460617065,0.06310097873210907,0.29592078924179077,0.2192855328321457,0.23815631866455078,0.1757897138595581,0.07766196876764297
him,0.3545486629009247,0.30194568634033203,0.25585779547691345,0.4290095865726471,0.39213326573371887,0.20305071771144867,0.17786438763141632,0.25321653485298157,0.2284061461687088,0.39213326573371887,0.25263139605522156,0.23943768441677094
seven,0.20032188296318054,0.28098854422569275,0.18999098241329193,0.11491922289133072,0.28151169419288635,0.18732549250125885,0.14055348932743073,0.20500734448432922,0.24717609584331512,0.28151169419288635,0.2320161759853363,0.1732930988073349
times,0.2685738503932953,0.303416907787323,1.0,0.23068773746490479,0.29093852639198303,0.1636822521686554,0.17154589295387268,0.22217626869678497,0.2427823841571808,0.29093852639198303,0.17801880836486816,0.18880689144134521
and,0.33647966384887695,0.5296266674995422,0.2611900568008423,0.34479495882987976,0.5171257257461548,0.20959050953388214,0.2858448028564453,0.3234790563583374,0.4954058527946472,0.5171257257461548,0.25192898511886597,0.20544172823429108
forced,0.23831938207149506,0.2377408891916275,0.11285103857517242,0.36753809452056885,0.2571122944355011,0.2065102458000183,0.24353134632110596,0.25558292865753174,0.2043643444776535,0.2571122944355011,0.12346784770488739,0.17547516524791718
him,0.3545486629009247,0.30194568634033203,0.25585779547691345,0.4290095865726471,0.39213326573371887,0.20305071771144867,0.17786438763141632,0.25321653485298157,0.2284061461687088,0.39213326573371887,0.25263139605522156,0.23943768441677094
into,0.2303972691297531,0.2618265151977539,0.16451820731163025,0.14888085424900055,0.39493247866630554,0.21681775152683258,0.25272825360298157,0.24014829099178314,0.38021373748779297,0.39493247866630554,0.16276466846466064,0.15662476420402527
three,0.23807744681835175,0.4501400589942932,0.3240858018398285,0.2043166607618332,0.43452659249305725,0.23654358088970184,0.159719318151474,0.21524465084075928,0.34828072786331177,0.43452659249305725,0.24410177767276764,0.20928427577018738
turnovers,0.2714545726776123,0.24598953127861023,0.22217626869678497,0.1935662180185318,0.2887553572654724,0.3573375642299652,0.2970999479293823,0.9999998807907104,0.20580574870109558,0.2887553572654724,0.27393272519111633,0.19236040115356445
",",0.22659391164779663,0.40610817074775696,0.2897866368293762,0.3015086054801941,0.4933079481124878,0.2558487057685852,0.2546827793121338,0.2863239049911499,0.5201468467712402,0.4933079481124878,0.2653886377811432,0.31091248989105225
