,what,did,the,government,and,civil,society,organisations,start,after,the,riots,?
since,0.29783400893211365,0.27613121271133423,0.4054957628250122,0.27127185463905334,0.3515571057796478,0.1963212639093399,0.16931399703025818,0.26888275146484375,0.248488649725914,0.3303494453430176,0.4054957628250122,0.11745893955230713,0.2876587212085724
the,0.42745697498321533,0.34736719727516174,1.0,0.31798112392425537,0.5171257257461548,0.2477465271949768,0.2789285480976105,0.30271175503730774,0.3656389117240906,0.4565047025680542,1.0,0.1932310312986374,0.22068053483963013
election,0.2325795590877533,0.21878118813037872,0.22873377799987793,0.44361358880996704,0.19142299890518188,0.22541417181491852,0.2118341624736786,0.22377121448516846,0.18434861302375793,0.28415748476982117,0.22873377799987793,0.2792055904865265,0.23105260729789734
riots,0.12367268651723862,0.1213005930185318,0.1932310312986374,0.2827261984348297,0.17274077236652374,0.2258983552455902,0.16184267401695251,0.19812968373298645,0.2452029585838318,0.24966813623905182,0.1932310312986374,1.0000001192092896,0.1438814401626587
",",0.3087472915649414,0.3015086054801941,0.4933079481124878,0.27344048023223877,0.6633074283599854,0.24795588850975037,0.20629194378852844,0.22184783220291138,0.2934366464614868,0.38860568404197693,0.4933079481124878,0.28226491808891296,0.31091248989105225
the,0.42745697498321533,0.34736719727516174,1.0,0.31798112392425537,0.5171257257461548,0.2477465271949768,0.2789285480976105,0.30271175503730774,0.3656389117240906,0.4565047025680542,1.0,0.1932310312986374,0.22068053483963013
government,0.28074538707733154,0.2792121469974518,0.31798112392425537,1.0000001192092896,0.2859337627887726,0.30626749992370605,0.3291187882423401,0.4297129511833191,0.20619621872901917,0.26047283411026,0.31798112392425537,0.2827261984348297,0.18851417303085327
and,0.31309178471565247,0.34479495882987976,0.5171257257461548,0.2859337627887726,1.0,0.25259146094322205,0.24110737442970276,0.3168276846408844,0.2890162169933319,0.3765919506549835,0.5171257257461548,0.17274077236652374,0.20544172823429108
civil,0.15091551840305328,0.17288750410079956,0.2477465271949768,0.30626749992370605,0.25259146094322205,1.0,0.22966893017292023,0.2277417629957199,0.2079993337392807,0.22187629342079163,0.2477465271949768,0.2258983552455902,0.1494513899087906
society,0.23231269419193268,0.18197309970855713,0.2789285480976105,0.3291187882423401,0.24110737442970276,0.22966893017292023,0.9999998807907104,0.4158228039741516,0.12415055185556412,0.12518109381198883,0.2789285480976105,0.16184267401695251,0.1373005360364914
organisations,0.23530930280685425,0.21042275428771973,0.30271175503730774,0.4297129511833191,0.3168276846408844,0.2277417629957199,0.4158228039741516,0.9999998807907104,0.18658019602298737,0.14171816408634186,0.30271175503730774,0.19812968373298645,0.1916545331478119
started,0.21609699726104736,0.3904789686203003,0.3222070634365082,0.1845606565475464,0.2649672031402588,0.24400177597999573,0.22371551394462585,0.2550645172595978,0.5619677901268005,0.443480521440506,0.3222070634365082,0.20638412237167358,0.19447724521160126
programmes,0.22633221745491028,0.1713329702615738,0.24291597306728363,0.23751209676265717,0.3021523952484131,0.150484099984169,0.23973649740219116,0.42204272747039795,0.10150641947984695,0.15863588452339172,0.24291597306728363,0.16471071541309357,0.20130415260791779
to,0.455847829580307,0.4452643394470215,0.535392165184021,0.28343796730041504,0.48971283435821533,0.2019355595111847,0.20199917256832123,0.2653813064098358,0.33345553278923035,0.37890323996543884,0.535392165184021,0.10668874531984329,0.29463258385658264
avoid,0.2615243196487427,0.2150208204984665,0.24833035469055176,0.19739718735218048,0.2800402045249939,0.17754149436950684,0.1579187661409378,0.1666993349790573,0.2946898341178894,0.3005705177783966,0.24833035469055176,0.1640557050704956,0.26885488629341125
similar,0.30608364939689636,0.29411372542381287,0.2963123023509979,0.1967698484659195,0.3316260874271393,0.12747608125209808,0.17542070150375366,0.24323219060897827,0.19550180435180664,0.17379364371299744,0.2963123023509979,0.0725540816783905,0.23309361934661865
disasters,0.26324886083602905,0.20368145406246185,0.27290815114974976,0.25309646129608154,0.17718666791915894,0.24840976297855377,0.22484321892261505,0.3283860385417938,0.20467409491539001,0.2427603155374527,0.27290815114974976,0.26553815603256226,0.22316484153270721
in,0.30808621644973755,0.2593238651752472,0.6662389636039734,0.3066793978214264,0.4954058527946472,0.26466667652130127,0.21229879558086395,0.2615109384059906,0.29979339241981506,0.44050168991088867,0.6662389636039734,0.2871037423610687,0.20430970191955566
the,0.42745697498321533,0.34736719727516174,1.0,0.31798112392425537,0.5171257257461548,0.2477465271949768,0.2789285480976105,0.30271175503730774,0.3656389117240906,0.4565047025680542,1.0,0.1932310312986374,0.22068053483963013
future,0.29700374603271484,0.23607341945171356,0.2337762415409088,0.17113322019577026,0.28619977831840515,0.12211371958255768,0.20084820687770844,0.2181936651468277,0.24193638563156128,0.19101321697235107,0.2337762415409088,0.13558357954025269,0.3367180824279785
