,since,luther,believed,that,the,turks,were,sent,by,god,",",what,was,their,purpose,?
he,0.33463752269744873,0.2454872578382492,0.2578808665275574,0.36068853735923767,0.4571082592010498,0.16183754801750183,0.31267037987709045,0.3213239014148712,0.2485479861497879,0.24452278017997742,0.40251094102859497,0.3114890456199646,0.5410010814666748,0.3267501890659332,0.17171922326087952,0.2089974731206894
saw,0.2547609210014343,0.13097959756851196,0.38641130924224854,0.35339242219924927,0.318278044462204,0.19924084842205048,0.4311434328556061,0.25118744373321533,0.26498138904571533,0.19574281573295593,0.2245745062828064,0.24788837134838104,0.42132335901260376,0.2526436150074005,0.16408513486385345,0.14690998196601868
the,0.4054957628250122,0.1759674996137619,0.324635773897171,0.5473989248275757,1.0,0.25820091366767883,0.3906462490558624,0.3010627329349518,0.4408751428127289,0.24689088761806488,0.4933079481124878,0.42745697498321533,0.48711544275283813,0.516537070274353,0.3061215281486511,0.22068053483963013
turks,0.16540513932704926,0.17542731761932373,0.1220751628279686,0.17650504410266876,0.25820091366767883,0.9999999403953552,0.28528133034706116,0.23218569159507751,0.2066512107849121,0.17340610921382904,0.23273320496082306,0.2076534628868103,0.181900754570961,0.21841411292552948,0.07859181612730026,0.1953624188899994
as,0.36245352029800415,0.20242992043495178,0.21480624377727509,0.4735107421875,0.48381632566452026,0.15202166140079498,0.3025437891483307,0.22528579831123352,0.3815547823905945,0.20248441398143768,0.48816442489624023,0.31749409437179565,0.3677520453929901,0.29218852519989014,0.3096271753311157,0.27043893933296204
a,0.3303585946559906,0.17967689037322998,0.2603382170200348,0.47537946701049805,0.5829201340675354,0.13034214079380035,0.17203083634376526,0.24201522767543793,0.32094135880470276,0.18792781233787537,0.427140474319458,0.3320399522781372,0.4508470594882965,0.29698723554611206,0.2899824380874634,0.23916715383529663
scourge,0.1219024509191513,0.24936635792255402,0.20990128815174103,0.21506431698799133,0.24120070040225983,0.19965322315692902,0.1020626351237297,0.04657065495848656,0.17068792879581451,0.32761621475219727,0.22916750609874725,0.2399693727493286,0.15779176354408264,0.152279332280159,0.19509561359882355,0.1880749613046646
sent,0.18568937480449677,0.16650304198265076,0.26981788873672485,0.2519396245479584,0.3010627329349518,0.23218569159507751,0.33482781052589417,1.0,0.2626555263996124,0.1635074019432068,0.2487054318189621,0.19595611095428467,0.3192673325538635,0.2221849113702774,0.2053341120481491,0.10903520882129669
to,0.3733763098716736,0.18029534816741943,0.35322412848472595,0.5436353087425232,0.535392165184021,0.1928449124097824,0.31913647055625916,0.34694167971611023,0.33534231781959534,0.2408517301082611,0.44245919585227966,0.455847829580307,0.3636345863342285,0.44619059562683105,0.38124558329582214,0.29463258385658264
punish,0.114452064037323,0.1786191165447235,0.27833402156829834,0.30002129077911377,0.1862790733575821,0.24008728563785553,0.23375597596168518,0.32069259881973267,0.17643019556999207,0.31437599658966064,0.1907842457294464,0.34964239597320557,0.15436358749866486,0.23888318240642548,0.2823169231414795,0.23481756448745728
christians,0.21021448075771332,0.30765244364738464,0.3696378171443939,0.306755006313324,0.24734680354595184,0.3986973166465759,0.26973530650138855,0.180842787027359,0.2433931976556778,0.4300692677497864,0.255241334438324,0.302469938993454,0.20866592228412628,0.23908165097236633,0.22464591264724731,0.20289786159992218
by,0.32704517245292664,0.15382802486419678,0.3129139244556427,0.37496164441108704,0.4408751428127289,0.2066512107849121,0.4406847059726715,0.2626555263996124,1.0000001192092896,0.15825335681438446,0.3680937886238098,0.2455483376979828,0.4752357602119446,0.3242124021053314,0.2327440232038498,0.17966607213020325
