,policies,which,reduce,the,inequality,associated,effects,of,unemployment,support,what,type,of,growth,?
policies,0.9999998807907104,0.23623785376548767,0.27617430686950684,0.22566401958465576,0.4452800154685974,0.19758737087249756,0.24723058938980103,0.210641011595726,0.3988690972328186,0.40628618001937866,0.37312451004981995,0.08862347155809402,0.210641011595726,0.2949559688568115,0.2969106435775757
aiming,0.33341050148010254,0.3714107871055603,0.27623382210731506,0.3134841024875641,0.3053399622440338,0.22582848370075226,0.2959337830543518,0.23444435000419617,0.2147863656282425,0.33264678716659546,0.3648797571659088,0.14779026806354523,0.23444435000419617,0.2619262635707855,0.276167094707489
at,0.1588076800107956,0.3286694884300232,0.18923968076705933,0.457212895154953,0.09589436650276184,0.17534279823303223,0.11516885459423065,0.42558613419532776,0.21182619035243988,0.17800305783748627,0.2838611304759979,0.15147243440151215,0.42558613419532776,0.1545177549123764,0.21978627145290375
controlling,0.3151543140411377,0.38284772634506226,0.363126277923584,0.34660032391548157,0.29658272862434387,0.27654245495796204,0.34595125913619995,0.3143649697303772,0.24887049198150635,0.2606869041919708,0.3202577531337738,0.18107877671718597,0.3143649697303772,0.2929590940475464,0.1598898321390152
unemployment,0.3988690972328186,0.1988108605146408,0.36972683668136597,0.20659612119197845,0.5337590575218201,0.15774773061275482,0.2536725401878357,0.2186087667942047,0.9999999403953552,0.2519013583660126,0.1712515503168106,0.07574860006570816,0.2186087667942047,0.4337153732776642,0.20707537233829498
and,0.2788451910018921,0.506277859210968,0.2456025630235672,0.5171257257461548,0.2590520679950714,0.30157923698425293,0.26666516065597534,0.5116966962814331,0.2652346193790436,0.25609129667282104,0.31309178471565247,0.16898801922798157,0.5116966962814331,0.2731747627258301,0.20544172823429108
in,0.12669669091701508,0.4840516746044159,0.22053970396518707,0.6662389636039734,0.19402410089969635,0.23328746855258942,0.18867923319339752,0.5696388483047485,0.24091598391532898,0.17618270218372345,0.30808621644973755,0.20604541897773743,0.5696388483047485,0.2819603681564331,0.20430970191955566
particular,0.2773149311542511,0.5626340508460999,0.33060163259506226,0.4066357910633087,0.2872660458087921,0.37670525908470154,0.3180296719074249,0.3490585684776306,0.2325233668088913,0.2591612637042999,0.4548671245574951,0.3430236876010895,0.3490585684776306,0.23518908023834229,0.2741454839706421
at,0.1588076800107956,0.3286694884300232,0.18923968076705933,0.457212895154953,0.09589436650276184,0.17534279823303223,0.11516885459423065,0.42558613419532776,0.21182619035243988,0.17800305783748627,0.2838611304759979,0.15147243440151215,0.42558613419532776,0.1545177549123764,0.21978627145290375
reducing,0.27342942357063293,0.3306034505367279,0.735232949256897,0.2389497607946396,0.3032391369342804,0.20630887150764465,0.38272401690483093,0.23143820464611053,0.3409002721309662,0.26197361946105957,0.16407831013202667,0.1901097148656845,0.23143820464611053,0.3192529082298279,0.1068432405591011
its,0.16681824624538422,0.5154205560684204,0.23881718516349792,0.559237003326416,0.20042453706264496,0.22643549740314484,0.2481754571199417,0.48690423369407654,0.17084743082523346,0.19462807476520538,0.30393704771995544,0.11677329987287521,0.48690423369407654,0.33330482244491577,0.15103481709957123
inequality-associated,0.42868492007255554,0.3509456217288971,0.34613364934921265,0.3290597200393677,0.7862675189971924,0.7125803232192993,0.37680867314338684,0.38001272082328796,0.4659939110279083,0.2890976071357727,0.29650136828422546,0.24932272732257843,0.38001272082328796,0.33350345492362976,0.26184698939323425
effects,0.24723058938980103,0.2828926146030426,0.3823302984237671,0.25316479802131653,0.29619550704956055,0.26187774538993835,1.0000001192092896,0.21244898438453674,0.2536725401878357,0.1889803409576416,0.22572848200798035,0.2290719896554947,0.21244898438453674,0.2771943509578705,0.16749060153961182
support,0.40628618001937866,0.21665282547473907,0.28856441378593445,0.22984638810157776,0.28824248909950256,0.1298949271440506,0.1889803409576416,0.2307697981595993,0.2519013583660126,1.0000001192092896,0.2797985076904297,0.16123466193675995,0.2307697981595993,0.20986337959766388,0.22626608610153198
economic,0.3956981301307678,0.2570582926273346,0.29510366916656494,0.282455176115036,0.4401332437992096,0.17999763786792755,0.25325119495391846,0.3030148148536682,0.5093812346458435,0.2207997441291809,0.18082544207572937,0.06928404420614243,0.3030148148536682,0.4732155203819275,0.1206481084227562
growth,0.2949559688568115,0.32359230518341064,0.31566423177719116,0.2912366986274719,0.3248327970504761,0.1900806576013565,0.2771943509578705,0.2679378092288971,0.4337153732776642,0.20986337959766388,0.1739405393600464,0.1453375667333603,0.2679378092288971,1.0000001192092896,0.07547862827777863
.,0.226143017411232,0.45942068099975586,0.2184620201587677,0.5934505462646484,0.22563500702381134,0.2184346318244934,0.21454407274723053,0.5352458953857422,0.23137354850769043,0.2751289904117584,0.3567904531955719,0.23195341229438782,0.5352458953857422,0.2825547754764557,0.4130953550338745
