,what,type,of,commutative,ring,does,the,lasker–noether,theorem,express,every,ideal,as,an,intersection,of,primary,ideals,in,?
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.17799828946590424,0.2354331910610199,0.35928019881248474,1.0,0.31901615858078003,0.18430666625499725,0.19177916646003723,0.4023689329624176,0.25375595688819885,0.48381632566452026,0.4207492768764496,0.2907157242298126,0.733189046382904,0.25688621401786804,0.3200533390045166,0.6662389636039734,0.22068053483963013
prime,0.15586113929748535,0.09346602857112885,0.23935265839099884,0.24575275182724,0.1277114599943161,0.19604897499084473,0.19960100948810577,0.17658965289592743,0.3795034885406494,0.07298903912305832,0.14591187238693237,0.09945301711559296,0.17482610046863556,0.08209051191806793,0.1822441965341568,0.23935265839099884,0.1590781956911087,0.11902778595685959,0.18097394704818726,0.11276303976774216
ideals,0.28476682305336,0.11580982059240341,0.3695777654647827,0.27032381296157837,0.16379612684249878,0.21892738342285156,0.3200533390045166,0.36937057971954346,0.26174986362457275,0.24260355532169342,0.20523196458816528,0.6696335077285767,0.2605260908603668,0.20246995985507965,0.20371030271053314,0.3695777654647827,0.13382336497306824,1.0,0.2416277676820755,0.05933374539017677
of,0.33290785551071167,0.18112817406654358,1.0,0.25614190101623535,0.20323021709918976,0.3119818866252899,0.733189046382904,0.2926178276538849,0.18068012595176697,0.1764339953660965,0.3414052724838257,0.2763390839099884,0.3886612355709076,0.32280945777893066,0.25112292170524597,1.0,0.23414276540279388,0.3695777654647827,0.5696388483047485,0.1826142966747284
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.17799828946590424,0.2354331910610199,0.35928019881248474,1.0,0.31901615858078003,0.18430666625499725,0.19177916646003723,0.4023689329624176,0.25375595688819885,0.48381632566452026,0.4207492768764496,0.2907157242298126,0.733189046382904,0.25688621401786804,0.3200533390045166,0.6662389636039734,0.22068053483963013
ring,0.19784773886203766,0.12507514655590057,0.20323021709918976,0.36749058961868286,0.9999999403953552,0.1262059509754181,0.2354331910610199,0.27510347962379456,0.212384894490242,0.0785585567355156,0.17294959723949432,0.18958741426467896,0.183648481965065,0.15591934323310852,0.25108984112739563,0.20323021709918976,0.11655448377132416,0.16379612684249878,0.1902257651090622,0.054174330085515976
of,0.33290785551071167,0.18112817406654358,1.0,0.25614190101623535,0.20323021709918976,0.3119818866252899,0.733189046382904,0.2926178276538849,0.18068012595176697,0.1764339953660965,0.3414052724838257,0.2763390839099884,0.3886612355709076,0.32280945777893066,0.25112292170524597,1.0,0.23414276540279388,0.3695777654647827,0.5696388483047485,0.1826142966747284
integers,0.2691354751586914,0.17399626970291138,0.20153668522834778,0.6061800122261047,0.24739786982536316,0.2733370065689087,0.179725781083107,0.30523353815078735,0.5183406472206116,0.15600721538066864,0.29434463381767273,0.2888847291469574,0.20550194382667542,0.17268124222755432,0.42863601446151733,0.20153668522834778,0.11765877902507782,0.23197324573993683,0.1772688925266266,0.2591196596622467
are,0.29724663496017456,0.24155041575431824,0.39081433415412903,0.22659838199615479,0.15643514692783356,0.3126322329044342,0.40399202704429626,0.27274274826049805,0.16171972453594208,0.16000790894031525,0.3086106479167938,0.22620883584022522,0.3826591968536377,0.1556541919708252,0.2791420817375183,0.39081433415412903,0.24237659573554993,0.21367430686950684,0.3841303884983063,0.24591213464736938
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.17799828946590424,0.2354331910610199,0.35928019881248474,1.0,0.31901615858078003,0.18430666625499725,0.19177916646003723,0.4023689329624176,0.25375595688819885,0.48381632566452026,0.4207492768764496,0.2907157242298126,0.733189046382904,0.25688621401786804,0.3200533390045166,0.6662389636039734,0.22068053483963013
ideals,0.28476682305336,0.11580982059240341,0.3695777654647827,0.27032381296157837,0.16379612684249878,0.21892738342285156,0.3200533390045166,0.36937057971954346,0.26174986362457275,0.24260355532169342,0.20523196458816528,0.6696335077285767,0.2605260908603668,0.20246995985507965,0.20371030271053314,0.3695777654647827,0.13382336497306824,1.0,0.2416277676820755,0.05933374539017677
(,0.2411840260028839,0.1677488386631012,0.35032153129577637,0.22093281149864197,0.1739046573638916,0.2728188931941986,0.33289089798927307,0.2513144016265869,0.16467396914958954,0.1587621420621872,0.17220409214496613,0.14840134978294373,0.32029855251312256,0.286407470703125,0.21200600266456604,0.35032153129577637,0.21913397312164307,0.1211702823638916,0.3087427020072937,0.40561532974243164
0,0.05378047749400139,0.10420086979866028,0.0813891589641571,0.07250896096229553,0.07374504208564758,-0.035647839307785034,0.06647186726331711,-0.02844524011015892,-0.0023445908445864916,0.03379329666495323,-0.006858832202851772,-0.02162611111998558,0.13124288618564606,0.0044882879592478275,-0.014908366836607456,0.0813891589641571,0.06072277948260307,0.0728544220328331,0.0413811095058918,0.0436553880572319
),0.26259949803352356,0.18612703680992126,0.3680361211299896,0.1994064301252365,0.17909680306911469,0.2575884759426117,0.3456730246543884,0.27573302388191223,0.16883030533790588,0.15717096626758575,0.18115901947021484,0.16477736830711365,0.32161882519721985,0.2873353958129883,0.2148376703262329,0.3680361211299896,0.19666743278503418,0.14674639701843262,0.3326910734176636,0.42300865054130554
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.23422667384147644,0.19084720313549042,0.28617382049560547,0.4933079481124878,0.3656880259513855,0.16003508865833282,0.22139392793178558,0.25988471508026123,0.18452070653438568,0.48816442489624023,0.3581022024154663,0.2779577374458313,0.4946078956127167,0.2565748989582062,0.19077056646347046,0.5201468467712402,0.31091248989105225
(,0.2411840260028839,0.1677488386631012,0.35032153129577637,0.22093281149864197,0.1739046573638916,0.2728188931941986,0.33289089798927307,0.2513144016265869,0.16467396914958954,0.1587621420621872,0.17220409214496613,0.14840134978294373,0.32029855251312256,0.286407470703125,0.21200600266456604,0.35032153129577637,0.21913397312164307,0.1211702823638916,0.3087427020072937,0.40561532974243164
