,the,sunday,service,of,the,methodists,in,north,america,was,a,revised,version,of,what,book,?
when,0.5091903209686279,0.19998310506343842,0.23540960252285004,0.3757161796092987,0.5091903209686279,0.18112710118293762,0.4431333839893341,0.21003669500350952,0.21924224495887756,0.37326499819755554,0.44397395849227905,0.09354240447282791,0.20694629848003387,0.3757161796092987,0.4700249433517456,0.22583149373531342,0.22841128706932068
the,1.0,0.21692955493927002,0.22661015391349792,0.733189046382904,1.0,0.25832629203796387,0.6662389636039734,0.36298373341560364,0.37090015411376953,0.48711544275283813,0.5829201340675354,0.2513941526412964,0.27268242835998535,0.733189046382904,0.42745697498321533,0.2652374505996704,0.22068053483963013
methodists,0.25832629203796387,0.28262436389923096,0.19099533557891846,0.3035426437854767,0.25832629203796387,1.0,0.24642148613929749,0.2122488170862198,0.2618968188762665,0.226683109998703,0.23617979884147644,0.21522365510463715,0.1350763440132141,0.3035426437854767,0.2476986199617386,0.16192014515399933,0.1608453392982483
in,0.6662389636039734,0.20307813584804535,0.1740635335445404,0.5696388483047485,0.6662389636039734,0.24642148613929749,1.0,0.39050599932670593,0.3098583221435547,0.45514053106307983,0.539380669593811,0.19535814225673676,0.19599339365959167,0.5696388483047485,0.30808621644973755,0.2527170181274414,0.20430970191955566
america,0.37090015411376953,0.23313388228416443,0.19479824602603912,0.28803038597106934,0.37090015411376953,0.2618968188762665,0.3098583221435547,0.4837384521961212,0.9999998807907104,0.2850865423679352,0.22012436389923096,0.15376989543437958,0.17900756001472473,0.28803038597106934,0.2517423629760742,0.20473574101924896,0.19333907961845398
were,0.3906462490558624,0.1750638335943222,0.15802285075187683,0.34038281440734863,0.3906462490558624,0.307946115732193,0.3815755248069763,0.22497540712356567,0.22683310508728027,0.590133786201477,0.17203083634376526,0.2145790159702301,0.19237180054187775,0.34038281440734863,0.22298263013362885,0.17265428602695465,0.17890112102031708
separated,0.27899038791656494,0.10814720392227173,0.12571056187152863,0.27533861994743347,0.27899038791656494,0.196328803896904,0.26304155588150024,0.2119845300912857,0.1520683467388153,0.187358558177948,0.20032064616680145,0.12712521851062775,0.050688665360212326,0.27533861994743347,0.18778635561466217,0.1099480614066124,0.0923643484711647
from,0.40150508284568787,0.12042787671089172,0.17239798605442047,0.4249346852302551,0.40150508284568787,0.21399511396884918,0.4274188280105591,0.3180590271949768,0.1968681514263153,0.31171464920043945,0.322764128446579,0.10490268468856812,0.22506564855575562,0.4249346852302551,0.2737620174884796,0.1578967273235321,0.19969791173934937
the,1.0,0.21692955493927002,0.22661015391349792,0.733189046382904,1.0,0.25832629203796387,0.6662389636039734,0.36298373341560364,0.37090015411376953,0.48711544275283813,0.5829201340675354,0.2513941526412964,0.27268242835998535,0.733189046382904,0.42745697498321533,0.2652374505996704,0.22068053483963013
church,0.23846197128295898,0.27323415875434875,0.22230948507785797,0.3079429268836975,0.23846197128295898,0.5860596895217896,0.2493300437927246,0.18564473092556,0.12548880279064178,0.24960921704769135,0.19588641822338104,0.12183801084756851,0.1306430846452713,0.3079429268836975,0.1944202184677124,0.21005752682685852,0.18081501126289368
of,0.733189046382904,0.13926826417446136,0.18425606191158295,1.0,0.733189046382904,0.3035426437854767,0.5696388483047485,0.3604778051376343,0.28803038597106934,0.4069072902202606,0.5052502155303955,0.2270628809928894,0.14166875183582306,1.0,0.33290785551071167,0.22602593898773193,0.1826142966747284
