,which,part,of,london,was,sir,paul,pindar,'s,house,",",whose,façade,now,resides,in,the,v,&,a,collection,",",located,?
as,0.41006597876548767,0.2563304007053375,0.3886612355709076,0.20291660726070404,0.3677520453929901,0.2030664086341858,0.18547500669956207,0.22720590233802795,-0.05775856226682663,0.18534636497497559,0.48816442489624023,0.3202406167984009,0.17631953954696655,0.3483183979988098,0.25579020380973816,0.3887844979763031,0.48381632566452026,0.10349564254283905,0.22134603559970856,0.39550232887268066,0.23568034172058105,0.48816442489624023,0.20928777754306793,0.27043893933296204
well,0.42522135376930237,0.3181922435760498,0.3343164324760437,0.18581923842430115,0.3130364418029785,0.17738978564739227,0.20308183133602142,0.1723097860813141,-0.0049502006731927395,0.14615775644779205,0.4331948161125183,0.2772355079650879,0.2587137222290039,0.39471113681793213,0.2600947618484497,0.36612698435783386,0.42630070447921753,0.10357192158699036,0.16517320275306702,0.320642352104187,0.22726348042488098,0.4331948161125183,0.18824397027492523,0.24815571308135986
as,0.41006597876548767,0.2563304007053375,0.3886612355709076,0.20291660726070404,0.3677520453929901,0.2030664086341858,0.18547500669956207,0.22720590233802795,-0.05775856226682663,0.18534636497497559,0.48816442489624023,0.3202406167984009,0.17631953954696655,0.3483183979988098,0.25579020380973816,0.3887844979763031,0.48381632566452026,0.10349564254283905,0.22134603559970856,0.39550232887268066,0.23568034172058105,0.48816442489624023,0.20928777754306793,0.27043893933296204
period,0.31679004430770874,0.16313885152339935,0.2698146104812622,0.15744802355766296,0.2820133864879608,0.08063259720802307,0.09990130364894867,0.08959909528493881,-0.05741342157125473,0.11852633208036423,0.25030651688575745,0.16607114672660828,0.21698510646820068,0.23492592573165894,0.0850459635257721,0.23051127791404724,0.3125074505805969,0.04659586772322655,0.004337700083851814,0.25205814838409424,0.2219470590353012,0.25030651688575745,0.12054086476564407,0.18706195056438446
rooms,0.23977339267730713,0.17632371187210083,0.1625567078590393,0.2222825139760971,0.18118077516555786,0.1452837437391281,0.135323166847229,0.11318113654851913,0.003845387138426304,0.34960293769836426,0.1444050520658493,0.13395938277244568,0.3211413025856018,0.20743657648563385,0.26793965697288513,0.1868988424539566,0.18837939202785492,0.04954607039690018,0.09189171344041824,0.18207795917987823,0.25325682759284973,0.1444050520658493,0.2595886290073395,0.11765021830797195
",",0.3658004403114319,0.3376222252845764,0.4946078956127167,0.2571207880973816,0.45456063747406006,0.2283722162246704,0.3070785701274872,0.29386651515960693,-0.0016132977325469255,0.28236111998558044,1.0000001192092896,0.25601375102996826,0.19444413483142853,0.43216821551322937,0.31865453720092773,0.5201468467712402,0.4933079481124878,0.22053663432598114,0.2516871392726898,0.427140474319458,0.2277175933122635,1.0000001192092896,0.2678719460964203,0.31091248989105225
the,0.6521818041801453,0.527681291103363,0.733189046382904,0.27034124732017517,0.48711544275283813,0.20237073302268982,0.19191958010196686,0.29652535915374756,-0.01540423184633255,0.2847244441509247,0.4933079481124878,0.38253846764564514,0.33251336216926575,0.38266420364379883,0.2959880232810974,0.6662389636039734,1.0,0.18580520153045654,0.14992168545722961,0.5829201340675354,0.25281965732574463,0.4933079481124878,0.407527357339859,0.22068053483963013
collection,0.30199134349823,0.27268850803375244,0.2915455996990204,0.21261358261108398,0.1743653565645218,0.14995771646499634,0.1638609915971756,0.10248863697052002,0.003388406243175268,0.19367435574531555,0.2277175933122635,0.14954999089241028,0.3003844916820526,0.19349665939807892,0.17719915509223938,0.23004686832427979,0.25281965732574463,0.11078842729330063,0.18749947845935822,0.24716788530349731,0.9999998807907104,0.2277175933122635,0.17308607697486877,0.20069393515586853
includes,0.36315640807151794,0.38102373480796814,0.4359378218650818,0.18896345794200897,0.2100689858198166,0.10105688124895096,0.16402271389961243,0.13144542276859283,-0.0293574221432209,0.09813174605369568,0.3228004276752472,0.19269804656505585,0.21041792631149292,0.25439339876174927,0.2810208797454834,0.32460328936576843,0.3388250470161438,0.036025527864694595,0.27284300327301025,0.25086286664009094,0.3749653398990631,0.3228004276752472,0.298879474401474,0.14011523127555847
parts,0.402177631855011,0.6307799220085144,0.3379773199558258,0.0998254045844078,0.239912748336792,0.05356721952557564,-0.0034202251117676497,0.16352775692939758,0.060162968933582306,0.236271470785141,0.2964099943637848,0.19750425219535828,0.20123368501663208,0.31745707988739014,0.21726447343826294,0.3282690644264221,0.4042440354824066,0.19310541450977325,0.11952509731054306,0.2777566909790039,0.17975075542926788,0.2964099943637848,0.21752141416072845,0.12310896813869476
