,the,mitchell,tower,is,designed,to,look,like,what,oxford,tower,?
(,0.33289089798927307,0.26530393958091736,0.19051307439804077,0.35393038392066956,0.1161717101931572,0.30882009863853455,0.17542746663093567,0.2465965300798416,0.2411840260028839,0.15228334069252014,0.19051307439804077,0.40561532974243164
mitchell,0.20794978737831116,0.9999998807907104,0.14911238849163055,0.2033885270357132,0.12845765054225922,0.17504076659679413,0.1536891907453537,0.1430962234735489,0.1843697875738144,0.18791528046131134,0.14911238849163055,0.14715193212032318
tower,0.2398453801870346,0.14911238849163055,1.0,0.1400395631790161,0.25995245575904846,0.16907963156700134,0.16574808955192566,0.10990140587091446,0.12919922173023224,0.18556678295135498,1.0,0.10395228117704391
",",0.4933079481124878,0.3051708936691284,0.20524810254573822,0.4691906273365021,0.201692596077919,0.44245919585227966,0.3016788363456726,0.4085598886013031,0.3087472915649414,0.2568497061729431,0.20524810254573822,0.31091248989105225
for,0.4739971458911896,0.19479870796203613,0.13139645755290985,0.43268078565597534,0.22817277908325195,0.4451248347759247,0.2501380443572998,0.35140180587768555,0.3017193675041199,0.21304237842559814,0.13139645755290985,0.264628142118454
example,0.3755223751068115,0.13739866018295288,0.163714200258255,0.36737263202667236,0.21611829102039337,0.3451666533946991,0.3598153591156006,0.5283538699150085,0.3456268310546875,0.22891020774841309,0.163714200258255,0.30374911427497864
",",0.4933079481124878,0.3051708936691284,0.20524810254573822,0.4691906273365021,0.201692596077919,0.44245919585227966,0.3016788363456726,0.4085598886013031,0.3087472915649414,0.2568497061729431,0.20524810254573822,0.31091248989105225
is,0.5823672413825989,0.2033885270357132,0.1400395631790161,1.0,0.18406619131565094,0.42745086550712585,0.19945533573627472,0.29710376262664795,0.28837618231773376,0.15880683064460754,0.1400395631790161,0.22961433231830597
modeled,0.23828719556331635,0.1702672839164734,0.16341786086559296,0.18803809583187103,0.3986014127731323,0.17938095331192017,0.25569066405296326,0.29242944717407227,0.1949741691350937,0.1676638126373291,0.16341786086559296,0.11213120818138123
after,0.4565047025680542,0.19514136016368866,0.1414790153503418,0.2835143506526947,0.11683481931686401,0.37890323996543884,0.16110657155513763,0.26750901341438293,0.21973377466201782,0.21788395941257477,0.1414790153503418,0.16608688235282898
oxford,0.24588388204574585,0.18791528046131134,0.18556678295135498,0.15880683064460754,0.07763179391622543,0.2172040492296219,0.19749440252780914,0.1578168123960495,0.17534328997135162,1.0,0.18556678295135498,0.14411403238773346
