,who,dates,rocks,",",precisely,",",within,the,stratigraphic,section,?
these,0.34544891119003296,0.2548116445541382,0.3329205811023712,0.37613096833229065,0.36513155698776245,0.37613096833229065,0.3548310101032257,0.49086877703666687,0.3162793517112732,0.25824031233787537,0.2571668326854706
fossils,0.14742760360240936,0.29927095770835876,0.5277665257453918,0.21695511043071747,0.24191585183143616,0.21695511043071747,0.22954724729061127,0.2495197057723999,0.4491811990737915,0.135613813996315,0.1504307985305786
help,0.3826322555541992,0.1502794623374939,0.13865485787391663,0.2855570912361145,0.18498016893863678,0.2855570912361145,0.18959568440914154,0.30064165592193604,0.06669731438159943,0.18352442979812622,0.28403452038764954
scientists,0.2545245885848999,0.1440822333097458,0.28557735681533813,0.25785407423973083,0.2020498812198639,0.25785407423973083,0.19256669282913208,0.25988271832466125,0.2557220160961151,0.133460134267807,0.16597221791744232
to,0.42656609416007996,0.2791856825351715,0.23520028591156006,0.44245919585227966,0.3777070641517639,0.44245919585227966,0.34980177879333496,0.535392165184021,0.20134103298187256,0.28596532344818115,0.29463258385658264
date,0.13548210263252258,0.7372534275054932,0.20581649243831635,0.2279704213142395,0.2589677572250366,0.2279704213142395,0.18756133317947388,0.25333094596862793,0.268695205450058,0.14299868047237396,0.2698357403278351
the,0.3733934462070465,0.3088380992412567,0.24413059651851654,0.4933079481124878,0.3390568196773529,0.4933079481124878,0.39827480912208557,1.0,0.3194960653781891,0.3365345895290375,0.22068053483963013
core,0.10595224052667618,0.14973045885562897,0.2838631868362427,0.22361785173416138,0.2305271029472351,0.22361785173416138,0.30509811639785767,0.21890558302402496,0.2641873359680176,0.16570062935352325,0.20309162139892578
and,0.41279885172843933,0.1938803791999817,0.29739323258399963,0.6633074283599854,0.25873884558677673,0.6633074283599854,0.35049548745155334,0.5171257257461548,0.24237629771232605,0.262373685836792,0.20544172823429108
to,0.42656609416007996,0.2791856825351715,0.23520028591156006,0.44245919585227966,0.3777070641517639,0.44245919585227966,0.34980177879333496,0.535392165184021,0.20134103298187256,0.28596532344818115,0.29463258385658264
understand,0.33860915899276733,0.13476578891277313,0.21350231766700745,0.2897718548774719,0.4270554780960083,0.2897718548774719,0.22181165218353271,0.2701992988586426,0.24061319231987,0.20602469146251678,0.390200674533844
the,0.3733934462070465,0.3088380992412567,0.24413059651851654,0.4933079481124878,0.3390568196773529,0.4933079481124878,0.39827480912208557,1.0,0.3194960653781891,0.3365345895290375,0.22068053483963013
depositional,0.15128128230571747,0.23987208306789398,0.42913317680358887,0.21925665438175201,0.27866071462631226,0.21925665438175201,0.31873711943626404,0.3219546377658844,0.538867175579071,0.18906603753566742,0.16624850034713745
environment,0.14066772162914276,0.0620046928524971,0.27595657110214233,0.2742449939250946,0.20324276387691498,0.2742449939250946,0.2965182662010193,0.25819888710975647,0.286751925945282,0.16155654191970825,0.19478057324886322
in,0.2792111933231354,0.2340383380651474,0.23642492294311523,0.5201468467712402,0.23201987147331238,0.5201468467712402,0.40576374530792236,0.6662389636039734,0.26945239305496216,0.22227555513381958,0.20430970191955566
which,0.3688730001449585,0.22954420745372772,0.307253897190094,0.3658004403114319,0.40495026111602783,0.3658004403114319,0.43539655208587646,0.6521818041801453,0.3455890119075775,0.3383568823337555,0.25814583897590637
the,0.3733934462070465,0.3088380992412567,0.24413059651851654,0.4933079481124878,0.3390568196773529,0.4933079481124878,0.39827480912208557,1.0,0.3194960653781891,0.3365345895290375,0.22068053483963013
rock,0.1515379399061203,0.16159214079380035,0.5946089029312134,0.2775712311267853,0.22828446328639984,0.2775712311267853,0.19510747492313385,0.23786304891109467,0.2781538665294647,0.11619796603918076,0.13172835111618042
units,0.12362533062696457,0.15011781454086304,0.16363149881362915,0.20803093910217285,0.2762537896633148,0.20803093910217285,0.3089343011379242,0.2691343426704407,0.2891218960285187,0.09887249767780304,0.089388407766819
formed,0.12868277728557587,0.1208098977804184,0.28656163811683655,0.2636634409427643,0.11742305010557175,0.2636634409427643,0.25284543633461,0.28813210129737854,0.27089056372642517,0.16152366995811462,0.09686966985464096
.,0.3541337847709656,0.2070004940032959,0.26481303572654724,0.6812511086463928,0.21873106062412262,0.6812511086463928,0.2984525263309479,0.5934505462646484,0.25224223732948303,0.26206159591674805,0.4130953550338745
