,which,basin,does,the,dust,falls,over,into,?
nasa,0.1350456178188324,0.2162281721830368,0.14068706333637238,0.19786997139453888,0.3085649311542511,0.07671134173870087,0.14846761524677277,0.10662796348333359,0.1809994876384735
's,0.03856118768453598,0.04280134662985802,-0.02895052544772625,-0.01540423184633255,-0.038515426218509674,-0.060951314866542816,0.016215575858950615,0.00961404386907816,-0.023395681753754616
calipso,0.25656116008758545,0.2117220163345337,0.2590221166610718,0.31254130601882935,0.25767600536346436,0.21229445934295654,0.21706998348236084,0.16874021291732788,0.2649646997451782
satellite,0.22284777462482452,0.2144104689359665,0.0950787216424942,0.22563834488391876,0.29698875546455383,0.09535422176122665,0.19734211266040802,0.2684553265571594,0.13568443059921265
has,0.4350704550743103,0.18059469759464264,0.42885294556617737,0.4177538752555847,0.14267772436141968,0.1847171038389206,0.370955228805542,0.29681676626205444,0.15994466841220856
measured,0.29708045721054077,0.24656406044960022,0.18513734638690948,0.279002845287323,0.23971869051456451,0.15183322131633759,0.30557629466056824,0.1615571826696396,0.17351430654525757
the,0.6521818041801453,0.24553915858268738,0.35928019881248474,1.0,0.2346910536289215,0.2708098292350769,0.39856547117233276,0.39493247866630554,0.22068053483963013
amount,0.38932931423187256,0.19711507856845856,0.2951430082321167,0.3336862325668335,0.2806089520454407,0.162252739071846,0.3027430474758148,0.2708504796028137,0.17984020709991455
of,0.5011631846427917,0.2557278275489807,0.3119818866252899,0.733189046382904,0.25486329197883606,0.23047612607479095,0.36136594414711,0.32255905866622925,0.1826142966747284
dust,0.2574789524078369,0.27528029680252075,0.19225914776325226,0.2346910536289215,1.0,0.22196342051029205,0.22320112586021423,0.200248584151268,0.15803812444210052
transported,0.2901206314563751,0.14891646802425385,0.17162704467773438,0.2550795376300812,0.21931618452072144,0.2005632519721985,0.2658388316631317,0.2689315974712372,0.1354173868894577
by,0.40543368458747864,0.19840280711650848,0.143477201461792,0.4408751428127289,0.1268737018108368,0.11552786827087402,0.29360154271125793,0.30473223328590393,0.17966607213020325
wind,0.2282751500606537,0.17376138269901276,0.1671968549489975,0.2338196188211441,0.36152732372283936,0.18655084073543549,0.25731027126312256,0.1451694667339325,0.17669273912906647
from,0.38755592703819275,0.19501222670078278,0.1777622550725937,0.40150508284568787,0.21349763870239258,0.23195196688175201,0.37539660930633545,0.3410196900367737,0.19969791173934937
the,0.6521818041801453,0.24553915858268738,0.35928019881248474,1.0,0.2346910536289215,0.2708098292350769,0.39856547117233276,0.39493247866630554,0.22068053483963013
sahara,0.22814254462718964,0.313738614320755,0.17778298258781433,0.23516924679279327,0.28134268522262573,0.18480613827705383,0.24398937821388245,0.1959436684846878,0.17314527928829193
to,0.5345056653022766,0.1498844176530838,0.4391997456550598,0.535392165184021,0.26756495237350464,0.15835121273994446,0.38635820150375366,0.38810545206069946,0.29463258385658264
the,0.6521818041801453,0.24553915858268738,0.35928019881248474,1.0,0.2346910536289215,0.2708098292350769,0.39856547117233276,0.39493247866630554,0.22068053483963013
amazon,0.1877625584602356,0.41143864393234253,0.2086499184370041,0.260541707277298,0.13802170753479004,0.21120955049991608,0.18121705949306488,0.13842037320137024,0.18144656717777252
:,-0.11049769818782806,-0.045445751398801804,-0.11934193223714828,-0.03403344005346298,-0.13309550285339355,-0.06574197113513947,-0.04765736311674118,-0.047708455473184586,-0.07156077772378922
an,0.3611921966075897,0.15437369048595428,0.29477936029434204,0.4207492768764496,0.17542733252048492,0.15426620841026306,0.22070914506912231,0.2105669528245926,0.19793890416622162
average,0.2536912262439728,0.25510573387145996,0.17787541449069977,0.27058175206184387,0.16783887147903442,0.12144472450017929,0.23075373470783234,0.1593252271413803,0.21764592826366425
182,0.04123725742101669,0.0702102780342102,0.0660979300737381,0.03700842335820198,-0.0033743770327419043,0.054163917899131775,-0.05512688681483269,0.023624444380402565,-0.048216577619314194
million,0.30525195598602295,0.2530444860458374,0.10680846869945526,0.277012437582016,0.19205474853515625,0.11322208493947983,0.3791847825050354,0.1496591717004776,0.23092924058437347
tons,0.2678031623363495,0.1811322271823883,0.12219647318124771,0.20730508863925934,0.2439376562833786,0.1570405662059784,0.31234797835350037,0.20920464396476746,0.19717051088809967
of,0.5011631846427917,0.2557278275489807,0.3119818866252899,0.733189046382904,0.25486329197883606,0.23047612607479095,0.36136594414711,0.32255905866622925,0.1826142966747284
dust,0.2574789524078369,0.27528029680252075,0.19225914776325226,0.2346910536289215,1.0,0.22196342051029205,0.22320112586021423,0.200248584151268,0.15803812444210052
are,0.42922598123550415,0.13584861159324646,0.3126322329044342,0.40399202704429626,0.2122032791376114,0.1267699897289276,0.2778770923614502,0.2930682599544525,0.24591213464736938
