,whose,work,corrected,aristotle,'s,physics,in,the,seventeenth,century,?
the,0.38253846764564514,0.2704800069332123,0.25981056690216064,0.1415858268737793,-0.01540423184633255,0.17952929437160492,0.6662389636039734,1.0,0.3698950707912445,0.3617299497127533,0.22068053483963013
shortcomings,0.20820796489715576,0.35608378052711487,0.3670891523361206,0.2014898806810379,0.02833632193505764,0.2742612361907959,0.22104503214359283,0.31983426213264465,0.19995005428791046,0.1647455096244812,0.41145098209381104
of,0.37058958411216736,0.23473061621189117,0.20527777075767517,0.22867590188980103,-0.03817026689648628,0.2395489662885666,0.5696388483047485,0.733189046382904,0.2962169647216797,0.2826060354709625,0.1826142966747284
aristotelian,0.30770882964134216,0.29369401931762695,0.22967778146266937,0.7973302602767944,0.04208330810070038,0.36659109592437744,0.21734513342380524,0.19423235952854156,0.36669662594795227,0.3758203983306885,0.15906864404678345
physics,0.10685072839260101,0.26866111159324646,0.2471403181552887,0.35750266909599304,-0.04777942970395088,0.9999999403953552,0.2189493626356125,0.17952929437160492,0.13099084794521332,0.17321856319904327,0.1470423936843872
would,0.2750743329524994,0.3312954604625702,0.33666789531707764,0.19811014831066132,0.036968596279621124,0.19596807658672333,0.30461156368255615,0.4133751392364502,0.21391929686069489,0.15851861238479614,0.37178951501846313
not,0.36739736795425415,0.3568844795227051,0.3250877261161804,0.2035527378320694,0.002583299996331334,0.17235754430294037,0.3403114080429077,0.4310511648654938,0.1987088918685913,0.17249023914337158,0.41942933201789856
be,0.26299139857292175,0.34449198842048645,0.3326002061367035,0.21624554693698883,0.025217169895768166,0.1683432161808014,0.3481820821762085,0.4248143136501312,0.20939210057258606,0.20315609872341156,0.3324260413646698
fully,0.1577848196029663,0.18725569546222687,0.24812620878219604,0.1606544852256775,0.050212256610393524,0.22131076455116272,0.18126852810382843,0.2750830352306366,0.15257294476032257,0.14408963918685913,0.2089291661977768
corrected,0.13122248649597168,0.309574156999588,1.0,0.22643260657787323,-0.06885437667369843,0.2471403181552887,0.24417230486869812,0.25981056690216064,0.15096774697303772,0.21565377712249756,0.32021793723106384
until,0.1400892734527588,0.23580248653888702,0.1992845982313156,0.08282201737165451,0.02445155940949917,0.107676662504673,0.38338494300842285,0.37191009521484375,0.20705212652683258,0.3046443462371826,0.20304496586322784
the,0.38253846764564514,0.2704800069332123,0.25981056690216064,0.1415858268737793,-0.01540423184633255,0.17952929437160492,0.6662389636039734,1.0,0.3698950707912445,0.3617299497127533,0.22068053483963013
17th,0.11958494782447815,0.08174324780702591,0.15305177867412567,0.060530200600624084,0.12547391653060913,0.11523708701133728,0.17784206569194794,0.2679309546947479,0.3330751359462738,0.22269536554813385,0.096589595079422
century,0.22092249989509583,0.20945213735103607,0.21565377712249756,0.3311103582382202,-0.0005286295781843364,0.17321856319904327,0.3174034655094147,0.3617299497127533,0.5387290716171265,1.0,0.1026201918721199
