,what,is,the,process,of,constructing,a,building,or,infrastructure,?
construction,0.20329850912094116,0.2135658711194992,0.2671978175640106,0.28506913781166077,0.2815735340118408,0.8675917983055115,0.25036895275115967,0.5609999895095825,0.20974527299404144,0.5223988890647888,0.13494056463241577
is,0.28837618231773376,1.0,0.5823672413825989,0.21762968599796295,0.4854315221309662,0.17538687586784363,0.658733606338501,0.20087163150310516,0.41870999336242676,0.20160584151744843,0.22961433231830597
the,0.42745697498321533,0.5823672413825989,1.0,0.264274537563324,0.733189046382904,0.2565261423587799,0.5829201340675354,0.3159640431404114,0.4174870550632477,0.255354642868042,0.22068053483963013
process,0.3466717302799225,0.21762968599796295,0.264274537563324,0.9999998807907104,0.23962904512882233,0.25499486923217773,0.2601566016674042,0.21353070437908173,0.33829233050346375,0.2775714695453644,0.2460896074771881
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.23962904512882233,1.0,0.2646171748638153,0.5052502155303955,0.26200541853904724,0.3792596757411957,0.27721908688545227,0.1826142966747284
constructing,0.27425262331962585,0.17538687586784363,0.2565261423587799,0.25499486923217773,0.2646171748638153,1.0000001192092896,0.24801573157310486,0.5191375613212585,0.2174043506383896,0.4278366267681122,0.1620766967535019
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.2601566016674042,0.5052502155303955,0.24801573157310486,1.0,0.2576078176498413,0.48853766918182373,0.2307283729314804,0.23916715383529663
building,0.23529528081417084,0.20087163150310516,0.3159640431404114,0.21353070437908173,0.26200541853904724,0.5191375613212585,0.2576078176498413,0.9999998807907104,0.21519747376441956,0.4038139581680298,0.13549931347370148
or,0.33867141604423523,0.41870999336242676,0.4174870550632477,0.33829233050346375,0.3792596757411957,0.2174043506383896,0.48853766918182373,0.21519747376441956,1.0000001192092896,0.2437850683927536,0.32389625906944275
infrastructure,0.23299327492713928,0.20160584151744843,0.255354642868042,0.2775714695453644,0.27721908688545227,0.4278366267681122,0.2307283729314804,0.4038139581680298,0.2437850683927536,1.0,0.15828795731067657
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.23766504228115082,0.5352458953857422,0.23431140184402466,0.50484299659729,0.275610089302063,0.36683785915374756,0.25300246477127075,0.4130953550338745
