,which,bound,of,time,is,more,difficult,to,establish,?
to,0.5345056653022766,0.29917120933532715,0.41548454761505127,0.3679993152618408,0.42745086550712585,0.47084665298461914,0.4417358338832855,1.0,0.32019129395484924,0.29463258385658264
classify,0.2947772443294525,0.16590093076229095,0.20344245433807373,0.17420372366905212,0.2113753855228424,0.2870752513408661,0.3441615700721741,0.3082689046859741,0.2693014442920685,0.23573969304561615
the,0.6521818041801453,0.27465125918388367,0.733189046382904,0.43061500787734985,0.5823672413825989,0.39758381247520447,0.277450829744339,0.535392165184021,0.31343501806259155,0.22068053483963013
computation,0.3008195757865906,0.1611282378435135,0.2480347454547882,0.301578551530838,0.2451949268579483,0.31574547290802,0.3399180471897125,0.2395508885383606,0.22232641279697418,0.2260068953037262
time,0.325231671333313,0.1835833042860031,0.35127586126327515,0.9999998807907104,0.25187405943870544,0.32185816764831543,0.2930917739868164,0.3679993152618408,0.17856010794639587,0.27391523122787476
(,0.2589828372001648,0.21133311092853546,0.35032153129577637,0.28391751646995544,0.35393038392066956,0.20831379294395447,0.12829184532165527,0.30882009863853455,0.19776324927806854,0.40561532974243164
or,0.5105096101760864,0.24731865525245667,0.3792596757411957,0.2774261236190796,0.41870999336242676,0.41612157225608826,0.3306672275066376,0.38921234011650085,0.22640174627304077,0.32389625906944275
similar,0.4783022403717041,0.2025444060564041,0.2911645472049713,0.18560491502285004,0.28929588198661804,0.2835853397846222,0.33897507190704346,0.2888135313987732,0.20772257447242737,0.23309361934661865
resources,0.276274174451828,0.17376355826854706,0.2746381163597107,0.27837085723876953,0.23539847135543823,0.3226233124732971,0.2552037537097931,0.3263809382915497,0.27843332290649414,0.26047492027282715
",",0.3658004403114319,0.2750377655029297,0.4946078956127167,0.3029961884021759,0.4691906273365021,0.3696524500846863,0.24675612151622772,0.44245919585227966,0.19669954478740692,0.31091248989105225
