,when,was,the,duchy,of,normandy,founded,?
the,0.5091903209686279,0.48711544275283813,1.0,0.2944258749485016,0.733189046382904,0.30340051651000977,0.2840350568294525,0.22068053483963013
duchy,0.21672841906547546,0.27581292390823364,0.2944258749485016,0.9999998807907104,0.3249194324016571,0.41520246863365173,0.2338188886642456,0.06671437621116638
of,0.3757161796092987,0.4069072902202606,0.733189046382904,0.3249194324016571,1.0,0.23562048375606537,0.24571022391319275,0.1826142966747284
normandy,0.256206750869751,0.22792497277259827,0.30340051651000977,0.41520246863365173,0.23562048375606537,0.9999999403953552,0.14968189597129822,0.1584552675485611
",",0.36674630641937256,0.45456063747406006,0.4933079481124878,0.28778398036956787,0.4946078956127167,0.215127632021904,0.24976085126399994,0.31091248989105225
which,0.572554349899292,0.2830964922904968,0.6521818041801453,0.21655945479869843,0.5011631846427917,0.1862322986125946,0.2052733600139618,0.25814583897590637
began,0.25673019886016846,0.4683617055416107,0.3059147596359253,0.14363592863082886,0.2330763041973114,0.2132664918899536,0.3463219404220581,0.1370266228914261
in,0.4431333839893341,0.45514053106307983,0.6662389636039734,0.27166545391082764,0.5696388483047485,0.24138042330741882,0.24877111613750458,0.20430970191955566
911,-0.00940072163939476,0.155565083026886,-0.02758265659213066,0.08020707964897156,0.0006557477172464132,0.07265173643827438,0.12025067210197449,-0.042436037212610245
as,0.4437963366508484,0.3677520453929901,0.48381632566452026,0.17383942008018494,0.3886612355709076,0.21117207407951355,0.2213044911623001,0.27043893933296204
a,0.44397395849227905,0.4508470594882965,0.5829201340675354,0.1895398646593094,0.5052502155303955,0.2073124796152115,0.1686933934688568,0.23916715383529663
fiefdom,0.369888573884964,0.36271336674690247,0.4801616072654724,0.5378672480583191,0.4512862265110016,0.40762534737586975,0.2804693281650543,0.22406715154647827
",",0.36674630641937256,0.45456063747406006,0.4933079481124878,0.28778398036956787,0.4946078956127167,0.215127632021904,0.24976085126399994,0.31091248989105225
was,0.37326499819755554,1.0000001192092896,0.48711544275283813,0.27581292390823364,0.4069072902202606,0.22792497277259827,0.36917948722839355,0.18412111699581146
established,0.18169470131397247,0.26515325903892517,0.33092597126960754,0.20597727596759796,0.2735237777233124,0.19100740551948547,0.5303963422775269,0.15917523205280304
by,0.4376842677593231,0.4752357602119446,0.4408751428127289,0.15097442269325256,0.3646814823150635,0.19027581810951233,0.264241099357605,0.17966607213020325
the,0.5091903209686279,0.48711544275283813,1.0,0.2944258749485016,0.733189046382904,0.30340051651000977,0.2840350568294525,0.22068053483963013
treaty,0.15431849658489227,0.2409621626138687,0.2690109610557556,0.3239375352859497,0.2602092921733856,0.23162630200386047,0.22218424081802368,0.1174844279885292
of,0.3757161796092987,0.4069072902202606,0.733189046382904,0.3249194324016571,1.0,0.23562048375606537,0.24571022391319275,0.1826142966747284
saint-clair-sur-epte,0.23377062380313873,0.3370159864425659,0.3720186650753021,0.39023134112358093,0.378733366727829,0.4399043321609497,0.3106156289577484,0.2697376310825348
between,0.38258615136146545,0.24048170447349548,0.39067012071609497,0.14615672826766968,0.3737983703613281,0.14742690324783325,0.1778712421655655,0.12887074053287506
king,0.18628188967704773,0.27377256751060486,0.25887003540992737,0.29041215777397156,0.2938710153102875,0.35212138295173645,0.2379162609577179,0.19130074977874756
