,who,played,the,master,in,the,1996,tv,movie,?
the,0.3733934462070465,0.2603478729724884,1.0,0.19769129157066345,0.6662389636039734,1.0,0.10029517859220505,0.20034731924533844,0.2636405825614929,0.22068053483963013
master,0.3010654151439667,0.20841579139232635,0.19769129157066345,0.9999999403953552,0.17882928252220154,0.19769129157066345,0.11197327077388763,0.0939640998840332,0.15854495763778687,0.11915034055709839
returned,0.23187772929668427,0.3000847101211548,0.32857778668403625,0.17710493505001068,0.341925710439682,0.32857778668403625,0.1632450520992279,0.1923585832118988,0.12829291820526123,0.07695316523313522
in,0.2792111933231354,0.27605336904525757,0.6662389636039734,0.17882928252220154,1.0,0.6662389636039734,0.07233931124210358,0.17989183962345123,0.2507663369178772,0.20430970191955566
the,0.3733934462070465,0.2603478729724884,1.0,0.19769129157066345,0.6662389636039734,1.0,0.10029517859220505,0.20034731924533844,0.2636405825614929,0.22068053483963013
1996,0.23735210299491882,0.03216676414012909,0.10029517859220505,0.11197327077388763,0.07233931124210358,0.10029517859220505,1.0,-0.013183982111513615,0.01153593510389328,0.18022380769252777
television,0.2515988349914551,0.32837966084480286,0.24569597840309143,0.17237815260887146,0.2689782977104187,0.24569597840309143,0.010741958394646645,0.7039412260055542,0.5471143126487732,0.16825827956199646
movie,0.2578212320804596,0.346552312374115,0.2636405825614929,0.15854495763778687,0.2507663369178772,0.2636405825614929,0.01153593510389328,0.42833423614501953,1.0,0.18408656120300293
of,0.2827862501144409,0.21120788156986237,0.733189046382904,0.17072871327400208,0.5696388483047485,0.733189046382904,0.08521515130996704,0.19364769756793976,0.2027330845594406,0.1826142966747284
doctor,0.3504868149757385,0.20600740611553192,0.2820442318916321,0.2937511205673218,0.25567495822906494,0.2820442318916321,0.09654296189546585,0.23672568798065186,0.2817206084728241,0.1462511420249939
who,0.9999998807907104,0.26104769110679626,0.3733934462070465,0.3010654151439667,0.2792111933231354,0.3733934462070465,0.23735210299491882,0.20096197724342346,0.2578212320804596,0.26220351457595825
",",0.3365725874900818,0.2987361550331116,0.4933079481124878,0.21451058983802795,0.5201468467712402,0.4933079481124878,0.20095814764499664,0.2778550088405609,0.2886425256729126,0.31091248989105225
and,0.41279885172843933,0.268975168466568,0.5171257257461548,0.19895130395889282,0.4954058527946472,0.5171257257461548,0.062450964003801346,0.2652006149291992,0.27676329016685486,0.20544172823429108
was,0.3318818509578705,0.3139837682247162,0.48711544275283813,0.20155122876167297,0.45514053106307983,0.48711544275283813,0.16684161126613617,0.1889979988336563,0.3245687186717987,0.18412111699581146
played,0.26104769110679626,1.0,0.2603478729724884,0.20841579139232635,0.27605336904525757,0.2603478729724884,0.03216676414012909,0.2672402262687683,0.346552312374115,0.14096300303936005
by,0.39727845788002014,0.1480340212583542,0.4408751428127289,0.21067877113819122,0.370934396982193,0.4408751428127289,0.04583617299795151,0.11470241099596024,0.2365020364522934,0.17966607213020325
american,0.3093835413455963,0.24365146458148956,0.24562937021255493,0.11210500448942184,0.22871561348438263,0.24562937021255493,0.0265326090157032,0.19269995391368866,0.3497736155986786,0.18877598643302917
actor,0.24853737652301788,0.2923223674297333,0.1662968546152115,0.16704681515693665,0.1778985857963562,0.1662968546152115,0.12406283617019653,0.3817778527736664,0.5089381337165833,0.16922013461589813
eric,0.2717808485031128,0.20006634294986725,0.19322122633457184,0.08118624985218048,0.20329992473125458,0.19322122633457184,-0.003342389827594161,0.2110402137041092,0.19654741883277893,0.19776561856269836
roberts,0.31390053033828735,0.30004769563674927,0.2579696774482727,0.21900881826877594,0.26282280683517456,0.2579696774482727,-0.06691030412912369,0.28058695793151855,0.29289451241493225,0.13542312383651733
.,0.3541337847709656,0.2876244783401489,0.5934505462646484,0.16851933300495148,0.5591574311256409,0.5934505462646484,0.12802715599536896,0.27196308970451355,0.25674229860305786,0.4130953550338745
