,what,happens,to,the,packet,at,the,destination
at,0.2838611304759979,0.2582438886165619,0.36524343490600586,0.457212895154953,0.12178932875394821,1.0,0.457212895154953,0.19741296768188477
the,0.42745697498321533,0.32930514216423035,0.535392165184021,1.0,0.18130622804164886,0.457212895154953,1.0,0.3243162930011749
destination,0.18326914310455322,0.19155485928058624,0.28636589646339417,0.3243162930011749,0.23998384177684784,0.19741296768188477,0.3243162930011749,0.9999998807907104
",",0.3087472915649414,0.24968470633029938,0.44245919585227966,0.4933079481124878,0.12501740455627441,0.38314947485923767,0.4933079481124878,0.22128739953041077
the,0.42745697498321533,0.32930514216423035,0.535392165184021,1.0,0.18130622804164886,0.457212895154953,1.0,0.3243162930011749
original,0.24651947617530823,0.0869918093085289,0.30182456970214844,0.4037000238895416,0.18128493428230286,0.15838190913200378,0.4037000238895416,0.11762457340955734
message/data,0.3855419158935547,0.2324337661266327,0.32647520303726196,0.26593321561813354,0.39315345883369446,0.2149798572063446,0.26593321561813354,0.30287840962409973
is,0.28837618231773376,0.3918035626411438,0.42745086550712585,0.5823672413825989,0.21452254056930542,0.25906258821487427,0.5823672413825989,0.2743035852909088
reassembled,0.25707101821899414,0.20746776461601257,0.240640789270401,0.34563907980918884,0.22445042431354523,0.2421095222234726,0.34563907980918884,0.10877518355846405
in,0.30808621644973755,0.2737985849380493,0.45010748505592346,0.6662389636039734,0.1529032289981842,0.4374977946281433,0.6662389636039734,0.2689290940761566
the,0.42745697498321533,0.32930514216423035,0.535392165184021,1.0,0.18130622804164886,0.457212895154953,1.0,0.3243162930011749
correct,0.43571773171424866,0.32379183173179626,0.339966356754303,0.3107529580593109,0.2792954444885254,0.23780132830142975,0.3107529580593109,0.1814650595188141
order,0.16634008288383484,0.1024443656206131,0.35544881224632263,0.3284194767475128,0.1566675752401352,0.10929936915636063,0.3284194767475128,0.11978118866682053
",",0.3087472915649414,0.24968470633029938,0.44245919585227966,0.4933079481124878,0.12501740455627441,0.38314947485923767,0.4933079481124878,0.22128739953041077
based,0.274813175201416,0.20437827706336975,0.19629007577896118,0.29860720038414,0.18021129071712494,0.17453226447105408,0.29860720038414,0.2134893387556076
on,0.34226128458976746,0.2789331078529358,0.41031414270401,0.5107308030128479,0.1683392971754074,0.4806317389011383,0.5107308030128479,0.21718867123126984
the,0.42745697498321533,0.32930514216423035,0.535392165184021,1.0,0.18130622804164886,0.457212895154953,1.0,0.3243162930011749
packet,0.2392171323299408,0.2500191628932953,0.271213173866272,0.18130622804164886,1.0000001192092896,0.12178932875394821,0.18130622804164886,0.23998384177684784
sequence,0.19736266136169434,0.2496858537197113,0.21427768468856812,0.2635619342327118,0.25449228286743164,0.11187132447957993,0.2635619342327118,0.18576066195964813
number,0.23046229779720306,0.17053885757923126,0.2706126868724823,0.35145696997642517,0.2548500895500183,0.20500339567661285,0.35145696997642517,0.26224443316459656
.,0.3567904531955719,0.24076157808303833,0.4645031690597534,0.5934505462646484,0.1900589019060135,0.4549728035926819,0.5934505462646484,0.2400459349155426
