,what,style,of,sensing,do,scientist,like,to,use,to,measure,global,radiance,?
some,0.4491020441055298,0.26889872550964355,0.4300730526447296,0.2924765944480896,0.4725562036037445,0.21771860122680664,0.6206092238426208,0.4636894166469574,0.4820891320705414,0.4636894166469574,0.26004448533058167,0.16024108231067657,0.18382135033607483,0.2562315762042999
remote,0.2261817455291748,0.21015726029872894,0.1915879100561142,0.34253227710723877,0.206806018948555,0.14329013228416443,0.22994154691696167,0.2702028155326843,0.2831389605998993,0.2702028155326843,0.26449522376060486,0.086695097386837,0.2190200537443161,0.10927822440862656
sensing,0.30590078234672546,0.12329645454883575,0.2063247114419937,0.9999998807907104,0.20461297035217285,0.14283150434494019,0.30547672510147095,0.2729046642780304,0.3146388828754425,0.2729046642780304,0.3281240165233612,0.11723491549491882,0.31485646963119507,0.17403143644332886
scientists,0.30003565549850464,0.03080994263291359,0.20474955439567566,0.20664945244789124,0.2658487558364868,0.7084514498710632,0.24875235557556152,0.27814680337905884,0.2512502074241638,0.27814680337905884,0.30554455518722534,0.16521330177783966,0.2088284194469452,0.16597221791744232
have,0.39808809757232666,0.24198369681835175,0.3802283704280853,0.32148972153663635,0.49831271171569824,0.17433859407901764,0.5579352974891663,0.4544740617275238,0.4805850088596344,0.4544740617275238,0.3115697503089905,0.20687803626060486,0.16790227591991425,0.32991164922714233
proposed,0.22754324972629547,0.1354517787694931,0.26188141107559204,0.17454417049884796,0.15986062586307526,0.2031332105398178,0.285845011472702,0.28162798285484314,0.1869741827249527,0.28162798285484314,0.1977839469909668,0.22166575491428375,0.12348860502243042,0.24553193151950836
using,0.27984681725502014,0.28101712465286255,0.24298200011253357,0.34460973739624023,0.31007856130599976,0.19761663675308228,0.38114291429519653,0.3678804934024811,0.7256444692611694,0.3678804934024811,0.3568316698074341,0.15651842951774597,0.21496537327766418,0.2804589569568634
the,0.42745697498321533,0.2331719547510147,0.733189046382904,0.2812829315662384,0.30239659547805786,0.16244260966777802,0.32912567257881165,0.535392165184021,0.34342584013938904,0.535392165184021,0.2528008222579956,0.17898012697696686,0.22292201220989227,0.22068053483963013
measurement,0.29204270243644714,0.18574729561805725,0.26198503375053406,0.3456157147884369,0.1947580873966217,0.30854445695877075,0.2220483422279358,0.2653844356536865,0.3963319957256317,0.2653844356536865,0.795183539390564,0.20157256722450256,0.4267963469028473,0.18654219806194305
of,0.33290785551071167,0.23203764855861664,1.0,0.2063247114419937,0.26150479912757874,0.14620181918144226,0.3244853615760803,0.41548454761505127,0.2750902473926544,0.41548454761505127,0.22469913959503174,0.19114547967910767,0.24797312915325165,0.1826142966747284
the,0.42745697498321533,0.2331719547510147,0.733189046382904,0.2812829315662384,0.30239659547805786,0.16244260966777802,0.32912567257881165,0.535392165184021,0.34342584013938904,0.535392165184021,0.2528008222579956,0.17898012697696686,0.22292201220989227,0.22068053483963013
radiance,0.2590772807598114,0.22942060232162476,0.24797312915325165,0.31485646963119507,0.12491870671510696,0.17155207693576813,0.15311436355113983,0.17390373349189758,0.2747020721435547,0.17390373349189758,0.37322384119033813,0.08752425014972687,1.0,0.14681309461593628
coming,0.42659226059913635,0.06613964587450027,0.31330832839012146,0.3131214678287506,0.2833968698978424,0.1285037100315094,0.2873063087463379,0.37835928797721863,0.2686096131801605,0.37835928797721863,0.17670346796512604,0.16115328669548035,0.22347889840602875,0.2504907250404358
from,0.2737620174884796,0.19759854674339294,0.4249346852302551,0.18627706170082092,0.20424067974090576,0.1665131002664566,0.28165748715400696,0.4069952368736267,0.28012022376060486,0.4069952368736267,0.16865527629852295,0.1645282357931137,0.16086143255233765,0.19969791173934937
vegetation,0.2184489667415619,0.14354369044303894,0.2547335922718048,0.23577608168125153,0.22297170758247375,0.08586789667606354,0.1860094964504242,0.2658894658088684,0.2161346971988678,0.2658894658088684,0.17259672284126282,0.14676296710968018,0.23580557107925415,0.10736152529716492
canopies,0.18283481895923615,0.20726355910301208,0.24937228858470917,0.2759673297405243,0.22838659584522247,0.0712028220295906,0.28975433111190796,0.2363101691007614,0.22553730010986328,0.2363101691007614,0.198160320520401,0.13776972889900208,0.20688079297542572,0.1496153026819229
in,0.30808621644973755,0.21896705031394958,0.5696388483047485,0.19379767775535583,0.23402775824069977,0.16458964347839355,0.31010183691978455,0.45010748505592346,0.2715643048286438,0.45010748505592346,0.17892111837863922,0.10151144117116928,0.12317242473363876,0.20430970191955566
those,0.44466671347618103,0.19589179754257202,0.37935635447502136,0.246718168258667,0.43052518367767334,0.15718188881874084,0.4643431603908539,0.47350940108299255,0.4002944827079773,0.47350940108299255,0.24110683798789978,0.18177761137485504,0.18018773198127747,0.3328189253807068
bands,0.1525251418352127,0.21682095527648926,0.238398939371109,0.1613391488790512,0.18591547012329102,0.09128520637750626,0.26410922408103943,0.19970019161701202,0.23850037157535553,0.19970019161701202,0.2276446670293808,0.09728658199310303,0.19256635010242462,0.13013741374015808
to,0.455847829580307,0.2404285967350006,0.41548454761505127,0.2729046642780304,0.38876664638519287,0.1818641871213913,0.35482415556907654,1.0,0.47261837124824524,1.0,0.2774736285209656,0.21649709343910217,0.17390373349189758,0.29463258385658264
characterize,0.2828413248062134,0.3276481330394745,0.3080417215824127,0.27461421489715576,0.2427772432565689,0.2055961936712265,0.32412123680114746,0.28348425030708313,0.2983025014400482,0.28348425030708313,0.3418872058391571,0.11149799078702927,0.30255410075187683,0.11441174894571304
plant,0.23371253907680511,0.14956678450107574,0.26645857095718384,0.18767686188220978,0.19011136889457703,0.24130487442016602,0.20407535135746002,0.20493197441101074,0.22639167308807373,0.20493197441101074,0.16222286224365234,0.16504141688346863,0.22380384802818298,0.16613075137138367
health,0.21460163593292236,0.13318589329719543,0.28076469898223877,0.30475133657455444,0.1685679703950882,0.20923925936222076,0.17509593069553375,0.29985085129737854,0.2242458164691925,0.29985085129737854,0.22569093108177185,0.19053199887275696,0.1772831827402115,0.16094304621219635
status,0.1975356787443161,0.14833316206932068,0.20139996707439423,0.12697991728782654,0.20816563069820404,0.06330575048923492,0.15420088171958923,0.268886923789978,0.15211254358291626,0.268886923789978,0.12535186111927032,0.20958834886550903,0.18006092309951782,0.16403266787528992
from,0.2737620174884796,0.19759854674339294,0.4249346852302551,0.18627706170082092,0.20424067974090576,0.1665131002664566,0.28165748715400696,0.4069952368736267,0.28012022376060486,0.4069952368736267,0.16865527629852295,0.1645282357931137,0.16086143255233765,0.19969791173934937
a,0.3320399522781372,0.23984776437282562,0.5052502155303955,0.23021738231182098,0.26237669587135315,0.2334214746952057,0.38655611872673035,0.45503583550453186,0.30793872475624084,0.45503583550453186,0.2953258156776428,0.1549941897392273,0.20997868478298187,0.23916715383529663
satellite,0.17739586532115936,0.06077521666884422,0.1683834195137024,0.30013614892959595,0.11859256774187088,0.22607198357582092,0.14229664206504822,0.19631412625312805,0.16220034658908844,0.19631412625312805,0.2330635040998459,0.26049911975860596,0.19795560836791992,0.13568443059921265
platform,0.14918605983257294,0.21914871037006378,0.12829063832759857,0.1451631784439087,0.1337994933128357,0.12661437690258026,0.19667336344718933,0.20954805612564087,0.16168545186519623,0.20954805612564087,0.09966243803501129,0.16781291365623474,0.20315887033939362,0.12602278590202332
.,0.3567904531955719,0.30291756987571716,0.5352458953857422,0.22196149826049805,0.3613996207714081,0.1925404816865921,0.393751323223114,0.4645031690597534,0.3711656630039215,0.4645031690597534,0.23919615149497986,0.23260977864265442,0.16191405057907104,0.4130953550338745
