,how,many,metric,tons,of,carbon,are,believed,to,be,stored,in,the,amazon,forest,?
amazonian,0.16961370408535004,0.2162078469991684,0.18985366821289062,0.18188802897930145,0.25810134410858154,0.25673964619636536,0.22548480331897736,0.16847224533557892,0.15711204707622528,0.18337208032608032,0.20995044708251953,0.16806575655937195,0.290641725063324,0.7159956097602844,0.3166050910949707,0.1447652280330658
evergreen,0.18420377373695374,0.24034813046455383,0.17423048615455627,0.20532988011837006,0.20337800681591034,0.23144744336605072,0.26301637291908264,0.16495516896247864,0.18971706926822662,0.16498222947120667,0.2208714485168457,0.21066300570964813,0.1674140840768814,0.18694819509983063,0.4254113733768463,0.14600957930088043
forests,0.1412363499403,0.3053521513938904,0.1579052209854126,0.2109336405992508,0.2675515413284302,0.2789088487625122,0.28162404894828796,0.20549990236759186,0.22889985144138336,0.18543024361133575,0.14642594754695892,0.2721249461174011,0.27717307209968567,0.37655121088027954,0.7799500823020935,0.1166248619556427
account,0.24351319670677185,0.19808317720890045,0.22406499087810516,0.2201133668422699,0.19751501083374023,0.26575204730033875,0.2508987486362457,0.20713596045970917,0.2893601059913635,0.30907052755355835,0.26436546444892883,0.15171845257282257,0.21117976307868958,0.21434642374515533,0.1639665961265564,0.34417325258255005
for,0.3308170735836029,0.40972793102264404,0.248805433511734,0.17350202798843384,0.4185989499092102,0.2145283818244934,0.3895993232727051,0.212932750582695,0.4451248347759247,0.3801851272583008,0.27449387311935425,0.4322226941585541,0.4739971458911896,0.165912926197052,0.20533806085586548,0.264628142118454
about,0.44264400005340576,0.3800397515296936,0.2777864336967468,0.30342283844947815,0.40939709544181824,0.22196762263774872,0.36165615916252136,0.32789143919944763,0.391953706741333,0.26362910866737366,0.17892304062843323,0.39797019958496094,0.37995871901512146,0.20610886812210083,0.22346492111682892,0.302409827709198
10,0.09177426248788834,0.3056783974170685,-0.021872857585549355,-0.033436935395002365,0.2777891755104065,-0.008484630845487118,0.25480788946151733,0.28199607133865356,0.18753696978092194,0.13232901692390442,-0.07562710344791412,0.22690178453922272,0.2880653440952301,0.12681163847446442,0.11639054864645004,0.022911956533789635
%,0.1237400695681572,0.24948352575302124,0.16598576307296753,0.2579023540019989,0.19953428208827972,0.28227922320365906,0.21077655255794525,0.1267765611410141,0.18513022363185883,0.16802801191806793,0.11596816033124924,0.19465309381484985,0.21490740776062012,0.17626920342445374,0.18021099269390106,0.21441808342933655
of,0.2480744868516922,0.37253960967063904,0.21906468272209167,0.19702266156673431,1.0,0.22596238553524017,0.39081433415412903,0.2945859134197235,0.41548454761505127,0.33904364705085754,0.2396228164434433,0.5696388483047485,0.733189046382904,0.20143137872219086,0.2309139519929886,0.1826142966747284
the,0.33890387415885925,0.4335206151008606,0.21734559535980225,0.20730508863925934,0.733189046382904,0.23183570802211761,0.40399202704429626,0.324635773897171,0.535392165184021,0.4248143136501312,0.2634609043598175,0.6662389636039734,1.0,0.260541707277298,0.24134553968906403,0.22068053483963013
world,0.25969967246055603,0.3418862819671631,0.17645031213760376,0.20295991003513336,0.2828933000564575,0.17608599364757538,0.22463127970695496,0.24494338035583496,0.26213452219963074,0.2187124341726303,0.17320369184017181,0.3038199245929718,0.33604270219802856,0.22393567860126495,0.16128212213516235,0.17579582333564758
's,-0.026164190843701363,0.01698932610452175,0.02850743569433689,-0.04235353320837021,-0.03817026689648628,0.027439022436738014,-0.008927806280553341,0.059631526470184326,0.03782717138528824,0.025217169895768166,-0.035982899367809296,-0.037580832839012146,-0.01540423184633255,0.062328040599823,0.006216650828719139,-0.023395681753754616
terrestrial,0.12750597298145294,0.2635909616947174,0.22076107561588287,0.18758700788021088,0.23204152286052704,0.3621845245361328,0.254841148853302,0.20630398392677307,0.1738899201154709,0.22744520008563995,0.25773096084594727,0.20245018601417542,0.26007309556007385,0.3027835190296173,0.24220803380012512,0.09166651964187622
primary,0.15994705259799957,0.22016435861587524,0.16265907883644104,0.18311598896980286,0.23414276540279388,0.2073693871498108,0.24237659573554993,0.13940545916557312,0.27388349175453186,0.1876562237739563,0.20563247799873352,0.21150650084018707,0.25688621401786804,0.13352857530117035,0.18354292213916779,0.16286636888980865
productivity,0.3115248382091522,0.2579907476902008,0.3291357457637787,0.25978097319602966,0.2269303798675537,0.3602541983127594,0.26450344920158386,0.17611654102802277,0.24733573198318481,0.24603885412216187,0.308026522397995,0.18360760807991028,0.22987580299377441,0.21075543761253357,0.14346249401569366,0.23359106481075287
and,0.33647966384887695,0.5296266674995422,0.20336702466011047,0.24144142866134644,0.5116966962814331,0.23064753413200378,0.48576638102531433,0.280531644821167,0.48971283435821533,0.41766801476478577,0.23925133049488068,0.4954058527946472,0.5171257257461548,0.23464977741241455,0.26268187165260315,0.20544172823429108
10,0.09177426248788834,0.3056783974170685,-0.021872857585549355,-0.033436935395002365,0.2777891755104065,-0.008484630845487118,0.25480788946151733,0.28199607133865356,0.18753696978092194,0.13232901692390442,-0.07562710344791412,0.22690178453922272,0.2880653440952301,0.12681163847446442,0.11639054864645004,0.022911956533789635
%,0.1237400695681572,0.24948352575302124,0.16598576307296753,0.2579023540019989,0.19953428208827972,0.28227922320365906,0.21077655255794525,0.1267765611410141,0.18513022363185883,0.16802801191806793,0.11596816033124924,0.19465309381484985,0.21490740776062012,0.17626920342445374,0.18021099269390106,0.21441808342933655
