,some,of,the,combs,in,the,v,&,a,collection,of,south,east,asian,art,is,made,of,what,material,?
refined,0.2419462502002716,0.23328354954719543,0.20095133781433105,0.20560410618782043,0.2324686050415039,0.20095133781433105,0.09618376195430756,0.14019565284252167,0.19816763699054718,0.1528369039297104,0.23328354954719543,0.10987932235002518,0.15299935638904572,0.04740424081683159,0.15360841155052185,0.21779777109622955,0.28723666071891785,0.23328354954719543,0.17683129012584686,0.2311619073152542,0.15091994404792786
hindu,0.21960192918777466,0.26595473289489746,0.24637815356254578,0.037153203040361404,0.18382437527179718,0.24637815356254578,0.14462769031524658,0.07416827976703644,0.24803505837917328,0.13730476796627045,0.26595473289489746,0.1280478984117508,0.17568106949329376,0.306528776884079,0.1873684525489807,0.16499918699264526,0.12412402033805847,0.26595473289489746,0.20552411675453186,0.1259164959192276,0.14208142459392548
and,0.5337774157524109,0.5116966962814331,0.5171257257461548,0.34910082817077637,0.4954058527946472,0.5171257257461548,0.19040757417678833,0.34093084931373596,0.3739250600337982,0.2379438579082489,0.5116966962814331,0.3140619993209839,0.27633291482925415,0.20807486772537231,0.2631918787956238,0.3859752118587494,0.34954607486724854,0.5116966962814331,0.31309178471565247,0.2923409640789032,0.20544172823429108
buddhist,0.20998837053775787,0.27792954444885254,0.20901480317115784,0.0752422958612442,0.22351108491420746,0.20901480317115784,0.07940194010734558,0.038497257977724075,0.230187326669693,0.19171153008937836,0.27792954444885254,0.14334319531917572,0.15772226452827454,0.3481936454772949,0.23792000114917755,0.14551135897636414,0.13964642584323883,0.27792954444885254,0.16616633534431458,0.11395862698554993,0.15461066365242004
sculptures,0.336240291595459,0.2783608138561249,0.2478773295879364,0.2440810352563858,0.2280999720096588,0.2478773295879364,0.12533864378929138,0.058101896196603775,0.20175547897815704,0.3520832657814026,0.2783608138561249,0.1653907746076584,0.2009521871805191,0.22144466638565063,0.48366662859916687,0.2162380963563919,0.2875678837299347,0.2783608138561249,0.15105868875980377,0.2685020864009857,0.15626029670238495
reflect,0.31404823064804077,0.2477911114692688,0.279869943857193,0.1278584748506546,0.21958297491073608,0.279869943857193,0.061712246388196945,0.11426929384469986,0.21766093373298645,0.1801312267780304,0.2477911114692688,0.09720583260059357,0.10324856638908386,0.19358551502227783,0.12575551867485046,0.18374520540237427,0.24528110027313232,0.2477911114692688,0.3106124997138977,0.2693433165550232,0.1725967973470688
the,0.4566698372364044,0.733189046382904,1.0,0.2017894983291626,0.6662389636039734,1.0,0.18580520153045654,0.14992168545722961,0.5829201340675354,0.25281965732574463,0.733189046382904,0.3129390776157379,0.3383176326751709,0.2710895538330078,0.20297785103321075,0.5823672413825989,0.3885267674922943,0.733189046382904,0.42745697498321533,0.26762521266937256,0.22068053483963013
influence,0.31845390796661377,0.3608979284763336,0.3039984107017517,0.13148359954357147,0.26119694113731384,0.3039984107017517,0.13974621891975403,0.12731114029884338,0.23828014731407166,0.25918981432914734,0.3608979284763336,0.13848960399627686,0.21884384751319885,0.21652942895889282,0.2847062051296234,0.19989071786403656,0.20255766808986664,0.3608979284763336,0.2790174186229706,0.23676402866840363,0.14200882613658905
of,0.4300730526447296,1.0,0.733189046382904,0.18958649039268494,0.5696388483047485,0.733189046382904,0.1655031144618988,0.19900451600551605,0.5052502155303955,0.2915455996990204,1.0,0.33382371068000793,0.314786434173584,0.24605733156204224,0.22648051381111145,0.4854315221309662,0.33167365193367004,1.0,0.33290785551071167,0.27520954608917236,0.1826142966747284
india,0.22873042523860931,0.29747170209884644,0.3108653426170349,0.03617839515209198,0.27070173621177673,0.3108653426170349,0.12233041226863861,0.14275145530700684,0.22843793034553528,0.16427378356456757,0.29747170209884644,0.2918553948402405,0.31207379698753357,0.31720560789108276,0.16512785851955414,0.19284966588020325,0.18428827822208405,0.29747170209884644,0.23203566670417786,0.1800556629896164,0.10473668575286865
