,who,was,the,ruling,class,ahead,of,the,normans,?
the,0.3733934462070465,0.48711544275283813,1.0,0.31106188893318176,0.18034407496452332,0.21450060606002808,0.733189046382904,1.0,0.2781367897987366,0.22068053483963013
invading,0.28948137164115906,0.19386132061481476,0.3741975724697113,0.3302832841873169,0.08378370851278305,0.10236780345439911,0.294779509305954,0.3741975724697113,0.4145929515361786,0.17586950957775116
normans,0.20534200966358185,0.23244261741638184,0.2781367897987366,0.27158811688423157,0.111185722053051,0.13619008660316467,0.2173461765050888,0.2781367897987366,1.0,0.12354589998722076
and,0.41279885172843933,0.3740963041782379,0.5171257257461548,0.22433462738990784,0.20710228383541107,0.23561342060565948,0.5116966962814331,0.5171257257461548,0.23779046535491943,0.20544172823429108
their,0.3767721951007843,0.2396296262741089,0.516537070274353,0.2500053644180298,0.19463683664798737,0.194696843624115,0.4329940676689148,0.516537070274353,0.23518306016921997,0.1898253709077835
descendants,0.3279796242713928,0.24016273021697998,0.3091757893562317,0.4028877317905426,0.1601044237613678,0.10723214596509933,0.31403958797454834,0.3091757893562317,0.3000867962837219,0.10391592979431152
replaced,0.1576022207736969,0.34946855902671814,0.2645455598831177,0.1531914621591568,0.13182513415813446,0.1802864819765091,0.20067165791988373,0.2645455598831177,0.19168485701084137,0.14945141971111298
the,0.3733934462070465,0.48711544275283813,1.0,0.31106188893318176,0.18034407496452332,0.21450060606002808,0.733189046382904,1.0,0.2781367897987366,0.22068053483963013
anglo-saxons,0.2059466689825058,0.2181936502456665,0.31812089681625366,0.27006790041923523,0.14939191937446594,0.13577426970005035,0.28353777527809143,0.31812089681625366,0.5155293345451355,0.1998833566904068
as,0.3923053741455078,0.3677520453929901,0.48381632566452026,0.23282507061958313,0.22566811740398407,0.1847507208585739,0.3886612355709076,0.48381632566452026,0.14305062592029572,0.27043893933296204
the,0.3733934462070465,0.48711544275283813,1.0,0.31106188893318176,0.18034407496452332,0.21450060606002808,0.733189046382904,1.0,0.2781367897987366,0.22068053483963013
ruling,0.25958362221717834,0.2731495797634125,0.31106188893318176,1.0000001192092896,0.2268466055393219,0.15509583055973053,0.32411321997642517,0.31106188893318176,0.27158811688423157,0.18874719738960266
class,0.17484316229820251,0.12477036565542221,0.18034407496452332,0.2268466055393219,1.0,0.166330024600029,0.19740594923496246,0.18034407496452332,0.111185722053051,0.12778934836387634
of,0.2827862501144409,0.4069072902202606,0.733189046382904,0.32411321997642517,0.19740594923496246,0.2011367380619049,1.0,0.733189046382904,0.2173461765050888,0.1826142966747284
england,0.23733465373516083,0.2656741440296173,0.28280043601989746,0.18932458758354187,0.16329941153526306,0.1835978776216507,0.24624483287334442,0.28280043601989746,0.4284537136554718,0.13436897099018097
.,0.3541337847709656,0.40146201848983765,0.5934505462646484,0.2250068336725235,0.24688394367694855,0.2584618031978607,0.5352458953857422,0.5934505462646484,0.2287112921476364,0.4130953550338745
