,what,does,oxygen,the,basis,for,in,combustion,?
oxygen,0.16781960427761078,0.2380215972661972,0.9999999403953552,0.20428593456745148,0.19121520221233368,0.22718772292137146,0.1672476977109909,0.4784593880176544,0.16786395013332367
is,0.28837618231773376,0.4403602182865143,0.21825239062309265,0.5823672413825989,0.2811574637889862,0.43268078565597534,0.5394441485404968,0.27011600136756897,0.22961433231830597
the,0.42745697498321533,0.35928019881248474,0.20428593456745148,1.0,0.2758672833442688,0.4739971458911896,0.6662389636039734,0.2447446882724762,0.22068053483963013
oxidant,0.18022389709949493,0.19180956482887268,0.5967409014701843,0.11597110331058502,0.2198903113603592,0.16815060377120972,0.15387029945850372,0.5062301158905029,0.1495976597070694
",",0.3087472915649414,0.28617382049560547,0.21812842786312103,0.4933079481124878,0.23746788501739502,0.4464869201183319,0.5201468467712402,0.2079315334558487,0.31091248989105225
not,0.5449194312095642,0.6355478763580322,0.2703026235103607,0.4310511648654938,0.30971255898475647,0.39280617237091064,0.3403114080429077,0.2672426402568817,0.41942933201789856
the,0.42745697498321533,0.35928019881248474,0.20428593456745148,1.0,0.2758672833442688,0.4739971458911896,0.6662389636039734,0.2447446882724762,0.22068053483963013
fuel,0.1848171502351761,0.1973627209663391,0.4038860499858856,0.18534968793392181,0.24004311859607697,0.19778265058994293,0.17527905106544495,0.6050742268562317,0.10583324730396271
",",0.3087472915649414,0.28617382049560547,0.21812842786312103,0.4933079481124878,0.23746788501739502,0.4464869201183319,0.5201468467712402,0.2079315334558487,0.31091248989105225
but,0.5029441118240356,0.4353378415107727,0.262522429227829,0.4859698414802551,0.3452789783477783,0.45162561535835266,0.48674455285072327,0.2535974681377411,0.27921953797340393
nevertheless,0.3331672251224518,0.2767619490623474,0.11140132695436478,0.29583513736724854,0.33187147974967957,0.274604856967926,0.2971154749393463,0.2521827220916748,0.12207362055778503
the,0.42745697498321533,0.35928019881248474,0.20428593456745148,1.0,0.2758672833442688,0.4739971458911896,0.6662389636039734,0.2447446882724762,0.22068053483963013
source,0.2553733289241791,0.26390188932418823,0.18365855515003204,0.30258262157440186,0.2851256728172302,0.24517817795276642,0.24019475281238556,0.2858010232448578,0.2462312877178192
of,0.33290785551071167,0.3119818866252899,0.16848602890968323,0.733189046382904,0.282950758934021,0.4185989499092102,0.5696388483047485,0.25126782059669495,0.1826142966747284
most,0.3219912350177765,0.30044323205947876,0.21728017926216125,0.47635307908058167,0.31789836287498474,0.3906237483024597,0.41416558623313904,0.27073904871940613,0.2107497900724411
of,0.33290785551071167,0.3119818866252899,0.16848602890968323,0.733189046382904,0.282950758934021,0.4185989499092102,0.5696388483047485,0.25126782059669495,0.1826142966747284
the,0.42745697498321533,0.35928019881248474,0.20428593456745148,1.0,0.2758672833442688,0.4739971458911896,0.6662389636039734,0.2447446882724762,0.22068053483963013
chemical,0.26249468326568604,0.21786059439182281,0.46001601219177246,0.18641819059848785,0.20923253893852234,0.23266151547431946,0.23203688859939575,0.4644984006881714,0.2040288895368576
energy,0.190252885222435,0.23927782475948334,0.4261608421802521,0.26756542921066284,0.19727730751037598,0.21083484590053558,0.17693158984184265,0.4459593892097473,0.14860127866268158
released,0.20228935778141022,0.18354101479053497,0.17016007006168365,0.24578391015529633,0.12329868227243423,0.2211005687713623,0.2659924626350403,0.1855190396308899,0.20329579710960388
in,0.30808621644973755,0.214483380317688,0.1672476977109909,0.6662389636039734,0.24894960224628448,0.4322226941585541,1.0,0.2270977944135666,0.20430970191955566
combustion,0.2678600549697876,0.25344738364219666,0.4784593880176544,0.2447446882724762,0.24206897616386414,0.23782002925872803,0.2270977944135666,1.0,0.2177530825138092
.,0.3567904531955719,0.3022993505001068,0.2554275095462799,0.5934505462646484,0.2657107412815094,0.4726039469242096,0.5591574311256409,0.2124136984348297,0.4130953550338745
