,what,are,the,three,construction,subsectors,?
to,0.455847829580307,0.3504326641559601,0.535392165184021,0.3043823838233948,0.24810278415679932,0.29212185740470886,0.29463258385658264
recognize,0.32970860600471497,0.2827646732330322,0.32986918091773987,0.15799544751644135,0.1340692937374115,0.2419956922531128,0.24790367484092712
the,0.42745697498321533,0.40399202704429626,1.0,0.43452659249305725,0.2671978175640106,0.314790815114975,0.22068053483963013
differences,0.3500737249851227,0.4101492762565613,0.323578417301178,0.22565536201000214,0.1900167614221573,0.3539387881755829,0.20399115979671478
of,0.33290785551071167,0.39081433415412903,0.733189046382904,0.3844621181488037,0.2815735340118408,0.28727132081985474,0.1826142966747284
companies,0.20801754295825958,0.24720293283462524,0.26917189359664917,0.18126574158668518,0.25014862418174744,0.41333115100860596,0.14365637302398682
in,0.30808621644973755,0.3841303884983063,0.6662389636039734,0.34828072786331177,0.3031303882598877,0.20396636426448822,0.20430970191955566
this,0.5489566326141357,0.35762670636177063,0.6274310946464539,0.29207751154899597,0.2970173954963684,0.35669025778770447,0.3155723512172699
sector,0.18244388699531555,0.18541370332241058,0.27798449993133545,0.15983040630817413,0.34587493538856506,0.48403775691986084,0.06294605135917664
",",0.3087472915649414,0.4062570035457611,0.4933079481124878,0.3347506821155548,0.23704268038272858,0.23683901131153107,0.31091248989105225
it,0.45803478360176086,0.3617996573448181,0.6251175999641418,0.27537038922309875,0.22723008692264557,0.26822566986083984,0.25732165575027466
is,0.28837618231773376,0.5330929756164551,0.5823672413825989,0.23072560131549835,0.2135658711194992,0.2400996834039688,0.22961433231830597
divided,0.2138991504907608,0.2984093725681305,0.34601110219955444,0.4306248426437378,0.1394159495830536,0.32898053526878357,0.10190024226903915
into,0.2180619090795517,0.2930682599544525,0.39493247866630554,0.30367451906204224,0.11891017109155655,0.23595763742923737,0.15662476420402527
three,0.24888746440410614,0.38895705342292786,0.43452659249305725,1.0,0.15471899509429932,0.24413861334323883,0.20928427577018738
subsectors,0.29591843485832214,0.33475416898727417,0.314790815114975,0.24413861334323883,0.22587773203849792,0.9999999403953552,0.18428565561771393
:,-0.12022944539785385,-0.1189703419804573,-0.03403344005346298,0.07388566434383392,-0.0967889204621315,-0.07890164107084274,-0.07156077772378922
building,0.23529528081417084,0.1904018670320511,0.3159640431404114,0.17845050990581512,0.5609999895095825,0.20272590219974518,0.13549931347370148
construction,0.20329850912094116,0.18089833855628967,0.2671978175640106,0.15471899509429932,1.0,0.22587773203849792,0.13494056463241577
",",0.3087472915649414,0.4062570035457611,0.4933079481124878,0.3347506821155548,0.23704268038272858,0.23683901131153107,0.31091248989105225
heavy,0.19175288081169128,0.21976612508296967,0.2532151937484741,0.20963029563426971,0.32138577103614807,0.25202345848083496,0.16717074811458588
and,0.31309178471565247,0.48576638102531433,0.5171257257461548,0.3826501965522766,0.22762417793273926,0.24347223341464996,0.20544172823429108
civil,0.15091551840305328,0.12244163453578949,0.2477465271949768,0.13412731885910034,0.22060129046440125,0.2417866587638855,0.1494513899087906
engineering,0.1897483468055725,0.18530334532260895,0.23901307582855225,0.171395406126976,0.43152761459350586,0.3570226728916168,0.16555240750312805
construction,0.20329850912094116,0.18089833855628967,0.2671978175640106,0.15471899509429932,1.0,0.22587773203849792,0.13494056463241577
",",0.3087472915649414,0.4062570035457611,0.4933079481124878,0.3347506821155548,0.23704268038272858,0.23683901131153107,0.31091248989105225
and,0.31309178471565247,0.48576638102531433,0.5171257257461548,0.3826501965522766,0.22762417793273926,0.24347223341464996,0.20544172823429108
specialty,0.23895853757858276,0.30926746129989624,0.28149333596229553,0.19544169306755066,0.17136012017726898,0.2813904583454132,0.21990764141082764
trade,0.1555381417274475,0.18692101538181305,0.2681608200073242,0.11884748190641403,0.3208441734313965,0.20146840810775757,0.09336511790752411
contractors,0.23078002035617828,0.2130936235189438,0.2715458869934082,0.19653379917144775,0.42858943343162537,0.4716091454029083,0.10574613511562347
.,0.3567904531955719,0.3452940285205841,0.5934505462646484,0.34968629479408264,0.23682771623134613,0.20295757055282593,0.4130953550338745
