,who,was,the,espn,deportes,sideline,commentator,for,super,bowl,50,?
the,0.3733934462070465,0.48711544275283813,1.0,0.19345609843730927,0.19800831377506256,0.2606579065322876,0.2028171420097351,0.4739971458911896,0.21959073841571808,0.21576224267482758,0.03602437674999237,0.22068053483963013
game,0.2523840069770813,0.2568269371986389,0.285271555185318,0.3451416492462158,0.106756791472435,0.34350115060806274,0.3160465657711029,0.2608485519886017,0.3480181396007538,0.2413962334394455,0.012895043939352036,0.1829071193933487
was,0.3318818509578705,1.0000001192092896,0.48711544275283813,0.22374993562698364,0.23367711901664734,0.23175807297229767,0.2775099575519562,0.3863949179649353,0.21420986950397491,0.21915455162525177,-0.0011744623770937324,0.18412111699581146
called,0.3151143789291382,0.33927658200263977,0.489897221326828,0.1659700870513916,0.09565199166536331,0.1902214139699936,0.188234344124794,0.29870352149009705,0.23150385916233063,0.2441064715385437,0.12260814011096954,0.18963319063186646
by,0.39727845788002014,0.4752357602119446,0.4408751428127289,0.17316046357154846,0.1527092456817627,0.17284393310546875,0.20259597897529602,0.3248702883720398,0.15233319997787476,0.12992306053638458,0.03871260583400726,0.17966607213020325
espn,0.1444098949432373,0.22374993562698364,0.19345609843730927,1.0000001192092896,0.32324373722076416,0.6030219793319702,0.5355672240257263,0.26341113448143005,0.2034922093153,0.3075534701347351,-0.04705412685871124,0.1709517240524292
deportes,0.22150161862373352,0.23367711901664734,0.19800831377506256,0.32324373722076416,1.0,0.2749320864677429,0.2674099802970886,0.13191863894462585,0.1081145852804184,0.13978607952594757,0.025951029732823372,0.14327947795391083
',0.22534559667110443,0.33675912022590637,0.474788099527359,0.17692457139492035,0.13256627321243286,0.21540838479995728,0.19209368526935577,0.31184524297714233,0.17380782961845398,0.10706733912229538,0.017068088054656982,0.330942302942276
monday,0.11816827207803726,0.20968683063983917,0.2114151269197464,0.3335578143596649,0.2128833830356598,0.41877520084381104,0.34384381771087646,0.23415252566337585,0.17750458419322968,0.22726322710514069,-0.04788803681731224,0.21348176896572113
night,0.21137207746505737,0.21724213659763336,0.2817382514476776,0.22658604383468628,0.18213298916816711,0.36735108494758606,0.2416432648897171,0.16021959483623505,0.14823408424854279,0.19687917828559875,-0.028557976707816124,0.13794848322868347
football,0.17791859805583954,0.23601193726062775,0.18794101476669312,0.3977890610694885,0.3279736340045929,0.3784019351005554,0.3209906816482544,0.23134100437164307,0.295350581407547,0.3109349310398102,-0.06365623325109482,0.14957410097122192
commentary,0.2012261152267456,0.20984318852424622,0.2209595888853073,0.31577548384666443,0.12071069329977036,0.3704718053340912,0.5767859816551208,0.21193501353263855,0.13202881813049316,0.18282940983772278,-0.02810014970600605,0.20364898443222046
crew,0.28323259949684143,0.20329242944717407,0.25329816341400146,0.1919521689414978,0.2748790979385376,0.18590179085731506,0.12253245711326599,0.22704027593135834,0.2386656254529953,0.15636952221393585,-0.0017302676569670439,0.16586194932460785
of,0.2827862501144409,0.4069072902202606,0.733189046382904,0.12878696620464325,0.15270814299583435,0.11210323870182037,0.09964698553085327,0.4185989499092102,0.14718765020370483,0.2243070751428604,0.006577443331480026,0.1826142966747284
