,what,entity,began,producing,television,series,for,abc,in,1962,?
as,0.31749409437179565,0.26742884516716003,0.25156188011169434,0.27350014448165894,0.25070273876190186,0.2641415596008301,0.44774648547172546,0.2286096066236496,0.3887844979763031,-0.04405030980706215,0.27043893933296204
a,0.3320399522781372,0.2841722071170807,0.21651826798915863,0.2861628234386444,0.22552843391895294,0.23966510593891144,0.44038116931915283,0.21331243216991425,0.539380669593811,-0.10114685446023941,0.23916715383529663
result,0.19945499300956726,0.278510719537735,0.15436644852161407,0.24462594091892242,0.1309911459684372,0.19949765503406525,0.2445775717496872,0.14806517958641052,0.25670310854911804,0.012776048853993416,0.17218433320522308
",",0.3087472915649414,0.19129666686058044,0.2705576717853546,0.21877576410770416,0.27995240688323975,0.24060699343681335,0.4464869201183319,0.2097204476594925,0.5201468467712402,-0.05353415384888649,0.31091248989105225
television,0.19838058948516846,0.17642901837825775,0.2593882381916046,0.17523115873336792,1.0000001192092896,0.6111506819725037,0.27045196294784546,0.46871840953826904,0.2689782977104187,-0.15105846524238586,0.16825827956199646
series,0.17328087985515594,0.14701266586780548,0.2237756997346878,0.185525581240654,0.6111506819725037,1.0000001192092896,0.2715710699558258,0.38518208265304565,0.2914260923862457,-0.1470051258802414,0.1709602326154709
were,0.22298263013362885,0.10402822494506836,0.36624985933303833,0.1632479727268219,0.18070289492607117,0.264431357383728,0.33592689037323,0.09045279771089554,0.3815755248069763,0.01791749894618988,0.17890112102031708
produced,0.1393624097108841,0.10257035493850708,0.20682233572006226,0.591113269329071,0.2796446681022644,0.2875058650970459,0.16180217266082764,0.2414293736219406,0.2542861998081207,-0.05848090350627899,0.1623450517654419
by,0.2455483376979828,0.1859617531299591,0.2443893402814865,0.23361361026763916,0.23368048667907715,0.267352432012558,0.3248702883720398,0.17600902915000916,0.370934396982193,-0.02526031993329525,0.17966607213020325
abc,0.1317344456911087,0.1619563102722168,0.2686883211135864,0.16384410858154297,0.46871840953826904,0.38518208265304565,0.22510288655757904,1.0000001192092896,0.1697147786617279,-0.12502028048038483,0.19065172970294952
circle,0.13595280051231384,0.20570051670074463,0.10754717886447906,0.16974909603595734,0.060155823826789856,0.10540048032999039,0.22452794015407562,0.0819765031337738,0.17189548909664154,-0.07071694731712341,0.08528484404087067
films,0.19852851331233978,0.15132252871990204,0.19234049320220947,0.24469895660877228,0.4166643023490906,0.28754013776779175,0.22327518463134766,0.2945549488067627,0.19618625938892365,-0.019196245819330215,0.20618696510791779
beginning,0.3351518511772156,0.1828191876411438,0.4659745693206787,0.17669127881526947,0.22382263839244843,0.34058550000190735,0.2987837791442871,0.24296143651008606,0.3787442147731781,-0.06723945587873459,0.19413669407367706
in,0.30808621644973755,0.22507517039775848,0.34154343605041504,0.2826419174671173,0.2689782977104187,0.2914260923862457,0.4322226941585541,0.1697147786617279,1.0,-0.0651141032576561,0.20430970191955566
1962,-0.001027831924147904,0.052153076976537704,-0.08538282662630081,-0.08359947800636292,-0.15105846524238586,-0.1470051258802414,-0.07097548246383667,-0.12502028048038483,-0.0651141032576561,1.0000001192092896,-0.008269774727523327
and,0.31309178471565247,0.20907706022262573,0.3021392226219177,0.306022971868515,0.29514092206954956,0.26972857117652893,0.5064792633056641,0.16453155875205994,0.4954058527946472,-0.05160701274871826,0.20544172823429108
by,0.2455483376979828,0.1859617531299591,0.2443893402814865,0.23361361026763916,0.23368048667907715,0.267352432012558,0.3248702883720398,0.17600902915000916,0.370934396982193,-0.02526031993329525,0.17966607213020325
touchstone,0.2096727043390274,0.20719796419143677,0.14776337146759033,0.30919525027275085,0.40297678112983704,0.331481009721756,0.22482095658779144,0.32029807567596436,0.239172101020813,-0.18259109556674957,0.17248329520225525
television,0.19838058948516846,0.17642901837825775,0.2593882381916046,0.17523115873336792,1.0000001192092896,0.6111506819725037,0.27045196294784546,0.46871840953826904,0.2689782977104187,-0.15105846524238586,0.16825827956199646
beginning,0.3351518511772156,0.1828191876411438,0.4659745693206787,0.17669127881526947,0.22382263839244843,0.34058550000190735,0.2987837791442871,0.24296143651008606,0.3787442147731781,-0.06723945587873459,0.19413669407367706
in,0.30808621644973755,0.22507517039775848,0.34154343605041504,0.2826419174671173,0.2689782977104187,0.2914260923862457,0.4322226941585541,0.1697147786617279,1.0,-0.0651141032576561,0.20430970191955566
1985,0.07759413868188858,0.08392932265996933,0.08814319968223572,0.05956064537167549,0.023595254868268967,0.02899695560336113,0.010790123604238033,0.07137808203697205,0.015247007831931114,-0.10354048758745193,-0.03005216084420681
",",0.3087472915649414,0.19129666686058044,0.2705576717853546,0.21877576410770416,0.27995240688323975,0.24060699343681335,0.4464869201183319,0.2097204476594925,0.5201468467712402,-0.05353415384888649,0.31091248989105225
before,0.3801657259464264,0.1947881281375885,0.41076338291168213,0.18476633727550507,0.20853054523468018,0.21948973834514618,0.44347289204597473,0.15682047605514526,0.4155850410461426,-0.0882158949971199,0.2507109045982361
touchstone,0.2096727043390274,0.20719796419143677,0.14776337146759033,0.30919525027275085,0.40297678112983704,0.331481009721756,0.22482095658779144,0.32029807567596436,0.239172101020813,-0.18259109556674957,0.17248329520225525
was,0.22111038863658905,0.1461799293756485,0.4683617055416107,0.18193523585796356,0.2516675293445587,0.2261398285627365,0.3863949179649353,0.21565799415111542,0.45514053106307983,-0.03281155601143837,0.18412111699581146
reorganized,0.16093212366104126,0.20476652681827545,0.30374181270599365,0.10146113485097885,0.12050902843475342,0.16368821263313293,0.10565250366926193,0.04791448637843132,0.3032894730567932,-0.014795445837080479,0.07752341777086258
as,0.31749409437179565,0.26742884516716003,0.25156188011169434,0.27350014448165894,0.25070273876190186,0.2641415596008301,0.44774648547172546,0.2286096066236496,0.3887844979763031,-0.04405030980706215,0.27043893933296204
abc,0.1317344456911087,0.1619563102722168,0.2686883211135864,0.16384410858154297,0.46871840953826904,0.38518208265304565,0.22510288655757904,1.0000001192092896,0.1697147786617279,-0.12502028048038483,0.19065172970294952
studios,0.15965642035007477,0.12348120659589767,0.22788608074188232,0.284993052482605,0.33228906989097595,0.24180763959884644,0.14505156874656677,0.2829587459564209,0.24788589775562286,-0.06574647128582001,0.16383133828639984
in,0.30808621644973755,0.22507517039775848,0.34154343605041504,0.2826419174671173,0.2689782977104187,0.2914260923862457,0.4322226941585541,0.1697147786617279,1.0,-0.0651141032576561,0.20430970191955566
february,0.1913013905286789,0.1275632083415985,0.19717232882976532,0.14595995843410492,0.25889769196510315,0.16011425852775574,0.2791854739189148,0.19947807490825653,0.2990526556968689,-0.06770019233226776,0.29594847559928894
2007,-0.15549811720848083,-0.0717073306441307,-0.2296990156173706,0.0658503845334053,-0.10792902112007141,-0.07742132991552353,-0.15897968411445618,-0.09789758175611496,-0.2201838344335556,-0.08461283892393112,-0.1664225310087204
.,0.3567904531955719,0.24862751364707947,0.19236212968826294,0.21863511204719543,0.2806251645088196,0.3121925890445709,0.4726039469242096,0.2567209303379059,0.5591574311256409,-0.12549011409282684,0.4130953550338745
