,who,had,established,the,russian,empire,to,its,former,glory,prior,to,1921,?
bolshevik,0.25671499967575073,0.26841187477111816,0.22891245782375336,0.23436114192008972,0.6043968200683594,0.3120628297328949,0.23694610595703125,0.2596983015537262,0.171608567237854,0.2080618143081665,0.126332089304924,0.23694610595703125,0.0059448592364788055,0.15163575112819672
leaders,0.31705352663993835,0.2601015269756317,0.20945464074611664,0.3157886564731598,0.15862992405891418,0.2333848476409912,0.25293630361557007,0.1226489469408989,0.2610766887664795,0.16455423831939697,0.13653716444969177,0.25293630361557007,0.03960205987095833,0.13927052915096283
had,0.36173108220100403,0.9999999403953552,0.21295878291130066,0.3875846862792969,0.16428501904010773,0.21882809698581696,0.37984350323677063,0.32081788778305054,0.19759806990623474,0.16869306564331055,0.2676157057285309,0.37984350323677063,-0.011450202204287052,0.20728366076946259
effectively,0.2969565689563751,0.27405229210853577,0.21142028272151947,0.3534683883190155,0.1476706713438034,0.2390243262052536,0.3721640110015869,0.2691761255264282,0.1404825747013092,0.06385062634944916,0.28814896941185,0.3721640110015869,0.005215850193053484,0.21523159742355347
reestablished,0.24814192950725555,0.25935813784599304,0.9013214111328125,0.34247100353240967,0.1854451596736908,0.35673436522483826,0.17694348096847534,0.22416655719280243,0.25427019596099854,0.10993361473083496,0.23225723206996918,0.17694348096847534,0.015141951851546764,0.10556036978960037
a,0.36608949303627014,0.34897568821907043,0.23500119149684906,0.5829201340675354,0.2199280560016632,0.1900206059217453,0.45503583550453186,0.4424409866333008,0.2562483549118042,0.22412541508674622,0.22647660970687866,0.45503583550453186,-0.08466403186321259,0.23916715383529663
polity,0.2101958692073822,0.15597029030323029,0.20494090020656586,0.17758417129516602,0.2063782811164856,0.21538445353507996,0.1843252331018448,0.14997826516628265,0.20788533985614777,0.20404554903507233,0.19027651846408844,0.1843252331018448,0.07015789300203323,0.23169586062431335
with,0.3282766342163086,0.4739086329936981,0.18355850875377655,0.4223487675189972,0.15076157450675964,0.16165103018283844,0.4239959120750427,0.3087116777896881,0.16752652823925018,0.07833276689052582,0.22178436815738678,0.4239959120750427,0.000599438906647265,0.2433311939239502
roughly,0.22008536756038666,0.17784883081912994,0.10147753357887268,0.3095499873161316,0.05495063588023186,0.15229235589504242,0.2705877423286438,0.3254585564136505,0.1350199580192566,0.07776644825935364,0.25524452328681946,0.2705877423286438,-0.1337164044380188,0.09299357235431671
the,0.3733934462070465,0.3875846862792969,0.33092597126960754,1.0,0.24014991521835327,0.32532164454460144,0.535392165184021,0.559237003326416,0.2251449078321457,0.22985881567001343,0.33782097697257996,0.535392165184021,-0.0336032435297966,0.22068053483963013
same,0.26448050141334534,0.2788434326648712,0.20070983469486237,0.4583131968975067,0.1565473973751068,0.11036799848079681,0.3205692768096924,0.34730350971221924,0.09798699617385864,0.17837825417518616,0.25829625129699707,0.3205692768096924,-0.08297421038150787,0.22649677097797394
extent,0.18034863471984863,0.20018531382083893,0.24474404752254486,0.2727625370025635,0.16359274089336395,0.2770567238330841,0.26711156964302063,0.32733362913131714,0.07262347638607025,0.12819339334964752,0.2670857012271881,0.26711156964302063,-0.0854557454586029,0.1940663903951645
as,0.3923053741455078,0.3393979072570801,0.26194092631340027,0.48381632566452026,0.1797592043876648,0.21108263731002808,0.42092081904411316,0.31874480843544006,0.21401739120483398,0.15982067584991455,0.2475208342075348,0.42092081904411316,-0.012642834335565567,0.27043893933296204
that,0.45444270968437195,0.4407361149787903,0.2216063141822815,0.5473989248275757,0.19759522378444672,0.1784069836139679,0.5436353087425232,0.416561484336853,0.138786181807518,0.2364126443862915,0.23541377484798431,0.5436353087425232,-0.023639123886823654,0.32716336846351624
empire,0.18977859616279602,0.21882809698581696,0.30176958441734314,0.32532164454460144,0.29350045323371887,1.0000001192092896,0.21448755264282227,0.22907911241054535,0.1895119696855545,0.19813849031925201,0.2143896520137787,0.21448755264282227,0.0649753138422966,0.14909450709819794
by,0.39727845788002014,0.37294110655784607,0.21138796210289001,0.4408751428127289,0.17003436386585236,0.19236046075820923,0.33534231781959534,0.24398943781852722,0.18490687012672424,0.14141692221164703,0.2645944356918335,0.33534231781959534,-0.025013716891407967,0.17966607213020325
1921,0.2322237491607666,-0.011450202204287052,-0.03438861295580864,-0.0336032435297966,0.021358296275138855,0.0649753138422966,0.02946479804813862,-0.15813758969306946,-0.022989867255091667,0.061067622154951096,-0.023000769317150116,0.02946479804813862,1.0,0.11329333484172821
",",0.3365725874900818,0.35487717390060425,0.22739723324775696,0.4933079481124878,0.27755245566368103,0.27646857500076294,0.44245919585227966,0.33157986402511597,0.2738454341888428,0.20700685679912567,0.27105793356895447,0.44245919585227966,0.09549165517091751,0.31091248989105225
however,0.4020770490169525,0.5096299052238464,0.18788868188858032,0.49814513325691223,0.1788773536682129,0.22600525617599487,0.5474119186401367,0.43564918637275696,0.14503313601016998,0.14953544735908508,0.3257932960987091,0.5474119186401367,-0.09294368326663971,0.2152075469493866
with,0.3282766342163086,0.4739086329936981,0.18355850875377655,0.4223487675189972,0.15076157450675964,0.16165103018283844,0.4239959120750427,0.3087116777896881,0.16752652823925018,0.07833276689052582,0.22178436815738678,0.4239959120750427,0.000599438906647265,0.2433311939239502
an,0.2848317325115204,0.22327841818332672,0.1547301560640335,0.4207492768764496,0.19326917827129364,0.16588738560676575,0.3138085603713989,0.28139030933380127,0.128716379404068,0.07733128219842911,0.1465315967798233,0.3138085603713989,0.009302168153226376,0.19793890416622162
internationalist,0.26541867852211,0.1937624216079712,0.2522166669368744,0.2320435345172882,0.25483939051628113,0.2592819035053253,0.18750987946987152,0.1950862556695938,0.21390369534492493,0.1992878019809723,0.17290395498275757,0.18750987946987152,-0.006789950653910637,0.1624792516231537
ideology,0.24626760184764862,0.13395842909812927,0.22158034145832062,0.17914913594722748,0.18153300881385803,0.24821151793003082,0.2050238847732544,0.21142007410526276,0.1831756830215454,0.16560938954353333,0.15545211732387543,0.2050238847732544,0.06291434913873672,0.14344371855258942
:,-0.0025186005514115095,-0.06820519268512726,-0.03430310636758804,-0.03403344005346298,0.17507846653461456,-0.054095908999443054,-0.09243495017290115,-0.09279701858758926,0.06454182416200638,-0.06963497400283813,-0.00271669402718544,-0.09243495017290115,0.02640220895409584,-0.07156077772378922
lenin,0.18347111344337463,0.22273379564285278,0.15772764384746552,0.1991400122642517,0.5273454189300537,0.26279738545417786,0.21408319473266602,0.20845432579517365,0.16349981725215912,0.2416660040616989,0.15076419711112976,0.21408319473266602,-0.018496807664632797,0.13449633121490479
in,0.2792111933231354,0.385026752948761,0.3118882477283478,0.6662389636039734,0.2035142034292221,0.24110576510429382,0.45010748505592346,0.3793783485889435,0.2668642997741699,0.17027869820594788,0.24521231651306152,0.45010748505592346,-0.05345742404460907,0.20430970191955566
