,what,is,the,primary,mission,of,the,daleks,?
their,0.35142919421195984,0.2101074606180191,0.516537070274353,0.2395368069410324,0.15849071741104126,0.4329940676689148,0.516537070274353,0.2663559913635254,0.1898253709077835
chief,0.1647547483444214,0.17735815048217773,0.2586921751499176,0.14574022591114044,0.16321220993995667,0.26361605525016785,0.2586921751499176,0.12946438789367676,0.09466830641031265
role,0.22614215314388275,0.20847192406654358,0.26607486605644226,0.10765475034713745,0.1936098337173462,0.1797693818807602,0.26607486605644226,0.16550984978675842,0.18676944077014923
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.21150650084018707,0.2224319875240326,0.5696388483047485,0.6662389636039734,0.2037806212902069,0.20430970191955566
the,0.42745697498321533,0.5823672413825989,1.0,0.25688621401786804,0.22673439979553223,0.733189046382904,1.0,0.3154934346675873,0.22068053483963013
series,0.17328087985515594,0.20355552434921265,0.31376904249191284,0.12975922226905823,0.22185610234737396,0.22268271446228027,0.31376904249191284,0.37795311212539673,0.1709602326154709
plot,0.27055343985557556,0.1588977873325348,0.22070206701755524,0.08104881644248962,0.18637411296367645,0.2079721987247467,0.22070206701755524,0.2713031470775604,0.1946352869272232
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.2565748989582062,0.21226151287555695,0.4946078956127167,0.4933079481124878,0.14506761729717255,0.31091248989105225
as,0.31749409437179565,0.43216490745544434,0.48381632566452026,0.2169201374053955,0.1715000569820404,0.3886612355709076,0.48381632566452026,0.2079153060913086,0.27043893933296204
they,0.4431931674480438,0.330102801322937,0.49925389885902405,0.2192593365907669,0.1754726767539978,0.3426007330417633,0.49925389885902405,0.27496951818466187,0.2753053903579712
frequently,0.2888586223125458,0.24406132102012634,0.2643548250198364,0.1729241907596588,0.08901086449623108,0.22709041833877563,0.2643548250198364,0.21834075450897217,0.21401989459991455
remark,0.3699202239513397,0.15860438346862793,0.20953193306922913,0.11562321335077286,0.14357009530067444,0.1712455004453659,0.20953193306922913,0.23874258995056152,0.24355345964431763
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.21150650084018707,0.2224319875240326,0.5696388483047485,0.6662389636039734,0.2037806212902069,0.20430970191955566
their,0.35142919421195984,0.2101074606180191,0.516537070274353,0.2395368069410324,0.15849071741104126,0.4329940676689148,0.516537070274353,0.2663559913635254,0.1898253709077835
instantly,0.35572806000709534,0.12364917993545532,0.2605641186237335,0.15612874925136566,0.06555762141942978,0.17691448330879211,0.2605641186237335,0.25990912318229675,0.2039671391248703
recognisable,0.25736936926841736,0.27803099155426025,0.3054547607898712,0.2251589298248291,0.11799199879169464,0.296909362077713,0.3054547607898712,0.1609298139810562,0.2608448565006256
metallic,0.14668674767017365,0.25578948855400085,0.17841583490371704,0.21070264279842377,0.14839936792850494,0.18912212550640106,0.17841583490371704,0.25617292523384094,0.15447993576526642
voices,0.18235455453395844,0.1384505182504654,0.18117383122444153,0.10226064175367355,0.14530223608016968,0.1430465579032898,0.18117383122444153,0.2914232313632965,0.2117644101381302
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.2565748989582062,0.21226151287555695,0.4946078956127167,0.4933079481124878,0.14506761729717255,0.31091248989105225
is,0.28837618231773376,1.0,0.5823672413825989,0.23824772238731384,0.1684449464082718,0.4854315221309662,0.5823672413825989,0.1489412784576416,0.22961433231830597
to,0.455847829580307,0.42745086550712585,0.535392165184021,0.27388349175453186,0.26700642704963684,0.41548454761505127,0.535392165184021,0.24700160324573517,0.29463258385658264
``,0.008517155423760414,0.058766357600688934,0.029072100296616554,0.037765562534332275,-0.054287295788526535,0.06780257821083069,0.029072100296616554,-0.004147364292293787,0.0685480609536171
exterminate,0.2723129093647003,0.10993950068950653,0.2440374791622162,0.15754124522209167,0.2186097800731659,0.20507733523845673,0.2440374791622162,0.3083608150482178,0.1565769910812378
'',0.08143015950918198,0.0793738141655922,0.041273195296525955,0.10388161242008209,-0.059466686099767685,0.13035868108272552,0.041273195296525955,0.03566073253750801,0.018684765323996544
all,0.41981086134910583,0.2553904056549072,0.4860881567001343,0.20207180082798004,0.11677316576242447,0.42798417806625366,0.4860881567001343,0.2280925214290619,0.29575422406196594
non-dalek,0.2577001750469208,0.23315395414829254,0.3281618058681488,0.19744805991649628,0.2731199264526367,0.2503911554813385,0.3281618058681488,0.6818467378616333,0.27559560537338257
beings,0.2935854196548462,0.2377370297908783,0.26719751954078674,0.14398051798343658,0.22948382794857025,0.28097766637802124,0.26719751954078674,0.45447292923927307,0.21276918053627014
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.22422198951244354,0.2227463275194168,0.5352458953857422,0.5934505462646484,0.23017093539237976,0.4130953550338745
