,what,did,the,uk,parliment,hear,that,a,subscription,to,bskyb,was,?
in,0.30808621644973755,0.2593238651752472,0.6662389636039734,0.2261405885219574,0.29110464453697205,0.19166339933872223,0.435920387506485,0.539380669593811,0.2119540274143219,0.45010748505592346,0.22606848180294037,0.45514053106307983,0.20430970191955566
december,0.19304980337619781,0.2542226016521454,0.23266014456748962,0.18730899691581726,0.24957884848117828,0.12902498245239258,0.19844987988471985,0.24493688344955444,0.2401721328496933,0.21181435883045197,0.23603735864162445,0.41127854585647583,0.2480352818965912
",",0.3087472915649414,0.3015086054801941,0.4933079481124878,0.2632971405982971,0.32835251092910767,0.26677975058555603,0.4137537479400635,0.427140474319458,0.252554714679718,0.44245919585227966,0.2852807641029358,0.45456063747406006,0.31091248989105225
the,0.42745697498321533,0.34736719727516174,1.0,0.2143084555864334,0.2795068323612213,0.26127317547798157,0.5473989248275757,0.5829201340675354,0.26760369539260864,0.535392165184021,0.20915858447551727,0.48711544275283813,0.22068053483963013
uk,0.17163191735744476,0.128135547041893,0.2143084555864334,1.0,0.24350473284721375,0.16225053369998932,0.1688336580991745,0.19665123522281647,0.1866791993379593,0.18409153819084167,0.21248479187488556,0.206756129860878,0.20222434401512146
’,-0.01733604073524475,0.04859831556677818,-0.04090067744255066,0.04297477751970291,-0.09157559275627136,0.011735627427697182,0.026145601645112038,-0.04976731166243553,0.00556142907589674,0.00253736088052392,0.03498328477144241,0.023636873811483383,0.045561522245407104
s,0.3634900748729706,0.33910059928894043,0.46610721945762634,0.20246411859989166,0.2379225343465805,0.22949904203414917,0.36097484827041626,0.37089070677757263,0.24310758709907532,0.35941416025161743,0.21529710292816162,0.3674983084201813,0.25130221247673035
parliament,0.21650300920009613,0.20460043847560883,0.26521381735801697,0.31670740246772766,0.6398967504501343,0.17032498121261597,0.17629513144493103,0.22951169312000275,0.17402812838554382,0.20290622115135193,0.19768311083316803,0.24742799997329712,0.1586504578590393
heard,0.31528279185295105,0.315571129322052,0.2628673017024994,0.08875707536935806,0.25206485390663147,0.7164130806922913,0.3227028548717499,0.22351115942001343,0.14745140075683594,0.21589848399162292,0.17804089188575745,0.21897302567958832,0.2273091822862625
a,0.3320399522781372,0.2552328109741211,0.5829201340675354,0.19665123522281647,0.2944844961166382,0.21156004071235657,0.47537946701049805,1.0,0.27930477261543274,0.45503583550453186,0.21951700747013092,0.4508470594882965,0.23916715383529663
claim,0.30214840173721313,0.30867162346839905,0.25873351097106934,0.0925545021891594,0.2118307650089264,0.23184730112552643,0.39801377058029175,0.19074557721614838,0.1580364853143692,0.324158638715744,0.10475696623325348,0.15881295502185822,0.2665664851665497
that,0.6297725439071655,0.47518548369407654,0.5473989248275757,0.1688336580991745,0.3077041208744049,0.3400898873806,1.0,0.47537946701049805,0.2499164193868637,0.5436353087425232,0.13467830419540405,0.33670201897621155,0.32716336846351624
a,0.3320399522781372,0.2552328109741211,0.5829201340675354,0.19665123522281647,0.2944844961166382,0.21156004071235657,0.47537946701049805,1.0,0.27930477261543274,0.45503583550453186,0.21951700747013092,0.4508470594882965,0.23916715383529663
