,what,series,years,are,available,on,blu-ray,?
only,0.41415658593177795,0.23628194630146027,0.3296830952167511,0.4533037543296814,0.39105403423309326,0.38586410880088806,0.2596012055873871,0.2767370045185089
the,0.42745697498321533,0.31376904249191284,0.2912273406982422,0.40399202704429626,0.26723232865333557,0.5107308030128479,0.27405279874801636,0.22068053483963013
series,0.17328087985515594,1.0000001192092896,0.23415371775627136,0.2139665186405182,0.19387713074684143,0.23828625679016113,0.20375871658325195,0.1709602326154709
from,0.2737620174884796,0.20279763638973236,0.31063511967658997,0.2674213647842407,0.21971632540225983,0.36926645040512085,0.1766229271888733,0.19969791173934937
2009,-0.2519478499889374,-0.025968510657548904,-0.2070862203836441,-0.20873703062534332,-0.16184990108013153,-0.13349726796150208,-0.14250950515270233,-0.2287932187318802
onwards,0.24720242619514465,0.2840236723423004,0.2942112386226654,0.24440337717533112,0.23964865505695343,0.22928816080093384,0.08102580904960632,0.17025373876094818
are,0.29724663496017456,0.2139665186405182,0.17491404712200165,1.0,0.31910744309425354,0.268924742937088,0.24381257593631744,0.24591213464736938
available,0.22032985091209412,0.19387713074684143,0.1209745854139328,0.31910744309425354,1.0000001192092896,0.3133032023906708,0.21463419497013092,0.2501629889011383
on,0.34226128458976746,0.23828625679016113,0.2152649462223053,0.268924742937088,0.3133032023906708,0.9999999403953552,0.29260632395744324,0.2714994251728058
blu-ray,0.32003891468048096,0.20375871658325195,0.191777765750885,0.24381257593631744,0.21463419497013092,0.29260632395744324,1.0,0.3474884033203125
",",0.3087472915649414,0.24060699343681335,0.2589467465877533,0.4062570035457611,0.2614012062549591,0.49057599902153015,0.3448532223701477,0.31091248989105225
except,0.2278055101633072,0.1625402867794037,0.17533192038536072,0.3738170266151428,0.22945986688137054,0.26777827739715576,0.16987383365631104,0.16405975818634033
for,0.3017193675041199,0.2715710699558258,0.2878222167491913,0.3895993232727051,0.3672940731048584,0.36199691891670227,0.2702693045139313,0.264628142118454
the,0.42745697498321533,0.31376904249191284,0.2912273406982422,0.40399202704429626,0.26723232865333557,0.5107308030128479,0.27405279874801636,0.22068053483963013
1970,-0.04533620923757553,-0.10197562724351883,0.04817329719662666,0.03564959391951561,0.00944888312369585,-0.04453150928020477,-0.04256577789783478,-0.007446378003805876
story,0.3410749137401581,0.33172938227653503,0.20349712669849396,0.1738368421792984,0.15851041674613953,0.20766423642635345,0.20803867280483246,0.2304346114397049
spearhead,0.16578556597232819,0.2068982720375061,0.14780347049236298,0.27219268679618835,0.20547135174274445,0.23472382128238678,0.3391939103603363,0.12561731040477753
from,0.2737620174884796,0.20279763638973236,0.31063511967658997,0.2674213647842407,0.21971632540225983,0.36926645040512085,0.1766229271888733,0.19969791173934937
space,0.20525942742824554,0.20527920126914978,0.1764809489250183,0.18112362921237946,0.19821085035800934,0.15890881419181824,0.19799423217773438,0.1885536164045334
",",0.3087472915649414,0.24060699343681335,0.2589467465877533,0.4062570035457611,0.2614012062549591,0.49057599902153015,0.3448532223701477,0.31091248989105225
released,0.20228935778141022,0.29918766021728516,0.17769335210323334,0.17719070613384247,0.30250266194343567,0.31313204765319824,0.3088025748729706,0.20329579710960388
in,0.30808621644973755,0.2914260923862457,0.33554986119270325,0.3841303884983063,0.1939793825149536,0.46853652596473694,0.28905805945396423,0.20430970191955566
july,0.22688010334968567,0.14323323965072632,0.2534412741661072,0.08278952538967133,0.14984524250030518,0.36770564317703247,0.2361987680196762,0.2897891402244568
2013,-0.3886653184890747,-0.1826438158750534,-0.18907862901687622,-0.4373913109302521,-0.30619898438453674,-0.3310580551624298,-0.2632600665092468,-0.2969330847263336
.,0.3567904531955719,0.3121925890445709,0.31919315457344055,0.3452940285205841,0.3383464217185974,0.49257001280784607,0.308779776096344,0.4130953550338745
