,what,is,violating,a,law,which,is,not,the,goal,of,the,protest,called,?
courts,0.22651629149913788,0.19366668164730072,0.3338482081890106,0.23228667676448822,0.4104453921318054,0.24834851920604706,0.19366668164730072,0.2508201599121094,0.2453746348619461,0.18627741932868958,0.24972429871559143,0.2453746348619461,0.21064509451389313,0.24259218573570251,0.17759139835834503
have,0.39808809757232666,0.3613572418689728,0.2721295952796936,0.338716596364975,0.18623127043247223,0.49652695655822754,0.3613572418689728,0.5619372129440308,0.40389683842658997,0.14024123549461365,0.3802283704280853,0.40389683842658997,0.1995134800672531,0.34887513518333435,0.32991164922714233
distinguished,0.1610289216041565,0.14144428074359894,0.20983630418777466,0.21404969692230225,0.202377051115036,0.23721866309642792,0.14144428074359894,0.1377544403076172,0.23548999428749084,0.10355903953313828,0.2957158386707306,0.23548999428749084,0.0705762580037117,0.2561506927013397,0.08062640577554703
between,0.2462156116962433,0.26809602975845337,0.17172671854496002,0.29385313391685486,0.15484747290611267,0.395174115896225,0.26809602975845337,0.18732105195522308,0.39067012071609497,0.19565463066101074,0.3737983703613281,0.39067012071609497,0.11805763095617294,0.33096179366111755,0.12887074053287506
two,0.23363454639911652,0.2315155267715454,0.17833933234214783,0.3289857804775238,0.18560174107551575,0.4674137234687805,0.2315155267715454,0.2686237692832947,0.43858039379119873,0.13808752596378326,0.37726253271102905,0.43858039379119873,0.17177730798721313,0.3555888831615448,0.19645625352859497
types,0.25706279277801514,0.21496213972568512,0.1427888125181198,0.27099108695983887,0.10360459983348846,0.4006623923778534,0.21496213972568512,0.25921928882598877,0.23509301245212555,0.10719607025384903,0.2447618544101715,0.23509301245212555,0.07668951898813248,0.3257555365562439,0.1285012811422348
of,0.33290785551071167,0.4854315221309662,0.23101533949375153,0.5052502155303955,0.2816956341266632,0.5011631846427917,0.4854315221309662,0.3307090103626251,0.733189046382904,0.1838325709104538,1.0,0.733189046382904,0.24564224481582642,0.4222904443740845,0.1826142966747284
civil,0.15091551840305328,0.16941262781620026,0.28089675307273865,0.21693918108940125,0.31305259466171265,0.13459211587905884,0.16941262781620026,0.18740713596343994,0.2477465271949768,0.17077134549617767,0.24698495864868164,0.2477465271949768,0.29364001750946045,0.1720334142446518,0.1494513899087906
disobedience,0.3298627436161041,0.21453623473644257,0.4958089590072632,0.25352153182029724,0.3980846405029297,0.3121037483215332,0.21453623473644257,0.38157403469085693,0.30963727831840515,0.21402046084403992,0.31932318210601807,0.30963727831840515,0.5334797501564026,0.2320696860551834,0.19890835881233215
:,-0.12022944539785385,-0.07222653180360794,-0.0707654058933258,-0.0007584693375974894,-0.0783696174621582,-0.11049769818782806,-0.07222653180360794,-0.09143596887588501,-0.03403344005346298,0.053203023970127106,-0.08807745575904846,-0.03403344005346298,-0.09381874650716782,-0.08732113987207413,-0.07156077772378922
``,0.008517155423760414,0.058766357600688934,0.03774676471948624,0.07272057235240936,0.005725041963160038,0.05178012326359749,0.058766357600688934,0.09406080842018127,0.029072100296616554,0.01941765658557415,0.06780257821083069,0.029072100296616554,-0.009539873339235783,0.00907047651708126,0.0685480609536171
indirect,0.27479690313339233,0.23689647018909454,0.2928583025932312,0.2769288420677185,0.23277056217193604,0.36058932542800903,0.23689647018909454,0.3242684006690979,0.29687994718551636,0.22007045149803162,0.3016951382160187,0.29687994718551636,0.15539592504501343,0.21927595138549805,0.20991046726703644
civil,0.15091551840305328,0.16941262781620026,0.28089675307273865,0.21693918108940125,0.31305259466171265,0.13459211587905884,0.16941262781620026,0.18740713596343994,0.2477465271949768,0.17077134549617767,0.24698495864868164,0.2477465271949768,0.29364001750946045,0.1720334142446518,0.1494513899087906
