,how,many,years,must,a,local,pastor,attend,a,course,of,study,at,united,methodist,approved,seminary,?
local,0.1895620971918106,0.24487940967082977,0.1401423066854477,0.18212547898292542,0.2435571700334549,1.0,0.18587452173233032,0.1479244977235794,0.2435571700334549,0.14268414676189423,0.20668989419937134,0.13282443583011627,0.1697770059108734,0.13152821362018585,0.1888398975133896,0.20309694111347198,0.20925915241241455,0.15022775530815125
pastors,0.17207401990890503,0.28289884328842163,0.20073692500591278,0.19577816128730774,0.15536180138587952,0.1923130750656128,0.7728760838508606,0.28663063049316406,0.15536180138587952,0.1495218575000763,0.22573843598365784,0.12116996198892593,0.16656360030174255,0.20296211540699005,0.44685056805610657,0.16276012361049652,0.42368096113204956,0.17702129483222961
are,0.311818927526474,0.5655534863471985,0.17491404712200165,0.3923934996128082,0.265255331993103,0.19665704667568207,0.14280065894126892,0.24206116795539856,0.265255331993103,0.2734511196613312,0.39081433415412903,0.22810009121894836,0.2074895054101944,0.16919764876365662,0.14794334769248962,0.16716939210891724,0.13906270265579224,0.24591213464736938
not,0.4869767427444458,0.4369727373123169,0.2464347630739212,0.48002883791923523,0.3791346549987793,0.23462523519992828,0.17903611063957214,0.2851789593696594,0.3791346549987793,0.35158511996269226,0.3307090103626251,0.24789275228977203,0.22025953233242035,0.20884482562541962,0.18699541687965393,0.31022709608078003,0.1518584042787552,0.41942933201789856
required,0.2999895513057709,0.24403242766857147,0.1512276977300644,0.5655253529548645,0.2891559302806854,0.2064954936504364,0.12284737825393677,0.2659684121608734,0.2891559302806854,0.27119696140289307,0.26183071732521057,0.1106967106461525,0.21554028987884521,0.16768597066402435,0.15710864961147308,0.3918822407722473,0.14376556873321533,0.24962718784809113
to,0.44169697165489197,0.40243685245513916,0.23891852796077728,0.43356871604919434,0.45503583550453186,0.2207600325345993,0.1851397007703781,0.3481958508491516,0.45503583550453186,0.30525898933410645,0.41548454761505127,0.3326032757759094,0.36524343490600586,0.2715383470058441,0.21503986418247223,0.2687867283821106,0.21910998225212097,0.29463258385658264
have,0.4370637536048889,0.5841760635375977,0.31441381573677063,0.4243750274181366,0.338716596364975,0.21113677322864532,0.11718092858791351,0.3020971119403839,0.338716596364975,0.3402734100818634,0.3802283704280853,0.262853741645813,0.29004791378974915,0.17950676381587982,0.17623618245124817,0.2661166787147522,0.12862281501293182,0.32991164922714233
advanced,0.1992558091878891,0.2530747354030609,0.19491736590862274,0.14007532596588135,0.2437601238489151,0.08061698824167252,0.06068291515111923,0.1384614259004593,0.2437601238489151,0.23639678955078125,0.2752973437309265,0.3280044198036194,0.2457534521818161,0.09672387689352036,0.15253852307796478,0.21447671949863434,0.19747687876224518,0.1806638389825821
degrees,0.18475523591041565,0.2114371955394745,0.21566477417945862,0.2641269266605377,0.21313712000846863,0.11430764943361282,0.1490144580602646,0.20700645446777344,0.21313712000846863,0.23018702864646912,0.22668468952178955,0.19099409878253937,0.24875715374946594,0.1563284993171692,0.2068374752998352,0.14071175456047058,0.2542257308959961,0.1299446076154709
but,0.43101516366004944,0.46599987149238586,0.29745155572891235,0.36824145913124084,0.44750767946243286,0.17902648448944092,0.14844849705696106,0.27506303787231445,0.44750767946243286,0.37885788083076477,0.39942997694015503,0.2077558934688568,0.33498162031173706,0.2124049812555313,0.18792220950126648,0.29430055618286133,0.17407652735710144,0.27921953797340393
are,0.311818927526474,0.5655534863471985,0.17491404712200165,0.3923934996128082,0.265255331993103,0.19665704667568207,0.14280065894126892,0.24206116795539856,0.265255331993103,0.2734511196613312,0.39081433415412903,0.22810009121894836,0.2074895054101944,0.16919764876365662,0.14794334769248962,0.16716939210891724,0.13906270265579224,0.24591213464736938
required,0.2999895513057709,0.24403242766857147,0.1512276977300644,0.5655253529548645,0.2891559302806854,0.2064954936504364,0.12284737825393677,0.2659684121608734,0.2891559302806854,0.27119696140289307,0.26183071732521057,0.1106967106461525,0.21554028987884521,0.16768597066402435,0.15710864961147308,0.3918822407722473,0.14376556873321533,0.24962718784809113
to,0.44169697165489197,0.40243685245513916,0.23891852796077728,0.43356871604919434,0.45503583550453186,0.2207600325345993,0.1851397007703781,0.3481958508491516,0.45503583550453186,0.30525898933410645,0.41548454761505127,0.3326032757759094,0.36524343490600586,0.2715383470058441,0.21503986418247223,0.2687867283821106,0.21910998225212097,0.29463258385658264
attend,0.13591940701007843,0.24217776954174042,0.21537712216377258,0.18852096796035767,0.18028175830841064,0.1479244977235794,0.24281232059001923,1.0,0.18028175830841064,0.27026036381721497,0.2297111451625824,0.27965226769447327,0.3939802646636963,0.19858714938163757,0.2827739119529724,0.26488015055656433,0.405963659286499,0.14932334423065186
licensing,0.22058209776878357,0.2380695790052414,0.1377098560333252,0.28975608944892883,0.1533125936985016,0.22868435084819794,0.13707411289215088,0.2243693619966507,0.1533125936985016,0.3407425284385681,0.1692100167274475,0.16686199605464935,0.14042387902736664,0.20360681414604187,0.10115168243646622,0.34612441062927246,0.12407820671796799,0.23048727214336395
school,0.11585085093975067,0.20931920409202576,0.24115975201129913,0.12960760295391083,0.2245093584060669,0.15286096930503845,0.2119062840938568,0.5228912830352783,0.2245093584060669,0.29188272356987,0.2391800880432129,0.3538699746131897,0.3177914023399353,0.2464505136013031,0.34623828530311584,0.203142911195755,0.4638853669166565,0.15091250836849213
and,0.33647966384887695,0.5296266674995422,0.300204873085022,0.33253467082977295,0.3739250600337982,0.2468787580728531,0.19818736612796783,0.26535022258758545,0.3739250600337982,0.30755242705345154,0.5116966962814331,0.300253301858902,0.3571503460407257,0.28213179111480713,0.2376793771982193,0.19026720523834229,0.2530673146247864,0.20544172823429108
attend,0.13591940701007843,0.24217776954174042,0.21537712216377258,0.18852096796035767,0.18028175830841064,0.1479244977235794,0.24281232059001923,1.0,0.18028175830841064,0.27026036381721497,0.2297111451625824,0.27965226769447327,0.3939802646636963,0.19858714938163757,0.2827739119529724,0.26488015055656433,0.405963659286499,0.14932334423065186
and,0.33647966384887695,0.5296266674995422,0.300204873085022,0.33253467082977295,0.3739250600337982,0.2468787580728531,0.19818736612796783,0.26535022258758545,0.3739250600337982,0.30755242705345154,0.5116966962814331,0.300253301858902,0.3571503460407257,0.28213179111480713,0.2376793771982193,0.19026720523834229,0.2530673146247864,0.20544172823429108
pass,0.23911701142787933,0.16345158219337463,0.139994278550148,0.2337220311164856,0.19894953072071075,0.05771845579147339,0.16756145656108856,0.24354086816310883,0.19894953072071075,0.23188157379627228,0.18302802741527557,0.1460394263267517,0.20175953209400177,0.08224939554929733,0.16038894653320312,0.23234966397285461,0.12596073746681213,0.09478675574064255
an,0.2520636022090912,0.2465583086013794,0.17872706055641174,0.2022276371717453,0.44552403688430786,0.13838523626327515,0.09635242819786072,0.11989043653011322,0.44552403688430786,0.22722481191158295,0.32280945777893066,0.19130633771419525,0.2446778565645218,0.15972375869750977,0.12909115850925446,0.1935945749282837,0.14123545587062836,0.19793890416622162
approved,0.2169949859380722,0.17794480919837952,0.1987781822681427,0.22498925030231476,0.272470086812973,0.20309694111347198,0.12416094541549683,0.26488015055656433,0.272470086812973,0.20374231040477753,0.3106788992881775,0.1661786139011383,0.21304191648960114,0.2726132273674011,0.20215922594070435,1.0,0.13249996304512024,0.25914356112480164
five-year,0.16657744348049164,0.17961053550243378,0.46734747290611267,0.29424819350242615,0.2326931208372116,0.24821627140045166,0.18539875745773315,0.22397495806217194,0.2326931208372116,0.2184678167104721,0.2888520061969757,0.1849045306444168,0.3240468204021454,0.3257903456687927,0.21723976731300354,0.28687959909439087,0.20359686017036438,0.3214563727378845
course,0.33582279086112976,0.3058081567287445,0.21518555283546448,0.3032977879047394,0.2895289659500122,0.14268414676189423,0.1609775573015213,0.27026036381721497,0.2895289659500122,1.0000001192092896,0.2579863667488098,0.2607570290565491,0.28257861733436584,0.1253364533185959,0.1744185835123062,0.20374231040477753,0.2605639100074768,0.28826573491096497
of,0.2480744868516922,0.37253960967063904,0.2904134690761566,0.24322323501110077,0.5052502155303955,0.20668989419937134,0.173655703663826,0.2297111451625824,0.5052502155303955,0.2579863667488098,1.0,0.29377859830856323,0.42558613419532776,0.3187655806541443,0.28458893299102783,0.3106788992881775,0.28827744722366333,0.1826142966747284
study,0.2640102803707123,0.30255988240242004,0.2741253674030304,0.13762857019901276,0.2268155962228775,0.13282443583011627,0.11647959798574448,0.27965226769447327,0.2268155962228775,0.2607570290565491,0.29377859830856323,1.0,0.19215846061706543,0.18590544164180756,0.20435425639152527,0.1661786139011383,0.3593199849128723,0.15902167558670044
at,0.2154216170310974,0.2716965675354004,0.2851444482803345,0.19656646251678467,0.3095070421695709,0.1697770059108734,0.17026837170124054,0.3939802646636963,0.3095070421695709,0.28257861733436584,0.42558613419532776,0.19215846061706543,1.0,0.2064037322998047,0.20030651986598969,0.21304191648960114,0.2569217383861542,0.21978627145290375
an,0.2520636022090912,0.2465583086013794,0.17872706055641174,0.2022276371717453,0.44552403688430786,0.13838523626327515,0.09635242819786072,0.11989043653011322,0.44552403688430786,0.22722481191158295,0.32280945777893066,0.19130633771419525,0.2446778565645218,0.15972375869750977,0.12909115850925446,0.1935945749282837,0.14123545587062836,0.19793890416622162
approved,0.2169949859380722,0.17794480919837952,0.1987781822681427,0.22498925030231476,0.272470086812973,0.20309694111347198,0.12416094541549683,0.26488015055656433,0.272470086812973,0.20374231040477753,0.3106788992881775,0.1661786139011383,0.21304191648960114,0.2726132273674011,0.20215922594070435,1.0,0.13249996304512024,0.25914356112480164
united,0.19034643471240997,0.2670816481113434,0.2736840844154358,0.16656838357448578,0.2732578217983246,0.13152821362018585,0.18753020465373993,0.19858714938163757,0.2732578217983246,0.1253364533185959,0.3187655806541443,0.18590544164180756,0.2064037322998047,1.0000001192092896,0.3283560872077942,0.2726132273674011,0.2524890601634979,0.17266890406608582
methodist,0.13229183852672577,0.21092453598976135,0.19249923527240753,0.10566575080156326,0.24651029706001282,0.1888398975133896,0.5000805258750916,0.2827739119529724,0.24651029706001282,0.1744185835123062,0.28458893299102783,0.20435425639152527,0.20030651986598969,0.3283560872077942,1.0,0.20215922594070435,0.4929388165473938,0.1436992734670639
seminary,0.12310438603162766,0.2448204904794693,0.23345303535461426,0.12470930069684982,0.22142621874809265,0.20925915241241455,0.4525865614414215,0.405963659286499,0.22142621874809265,0.2605639100074768,0.28827744722366333,0.3593199849128723,0.2569217383861542,0.2524890601634979,0.4929388165473938,0.13249996304512024,0.9999998807907104,0.138591006398201
or,0.3378981947898865,0.36905089020729065,0.1433926820755005,0.43512776494026184,0.48853766918182373,0.24451059103012085,0.16736099123954773,0.15073806047439575,0.48853766918182373,0.3016602396965027,0.3792596757411957,0.22420622408390045,0.21026140451431274,0.21771858632564545,0.16661396622657776,0.193837970495224,0.1010873094201088,0.32389625906944275
course,0.33582279086112976,0.3058081567287445,0.21518555283546448,0.3032977879047394,0.2895289659500122,0.14268414676189423,0.1609775573015213,0.27026036381721497,0.2895289659500122,1.0000001192092896,0.2579863667488098,0.2607570290565491,0.28257861733436584,0.1253364533185959,0.1744185835123062,0.20374231040477753,0.2605639100074768,0.28826573491096497
of,0.2480744868516922,0.37253960967063904,0.2904134690761566,0.24322323501110077,0.5052502155303955,0.20668989419937134,0.173655703663826,0.2297111451625824,0.5052502155303955,0.2579863667488098,1.0,0.29377859830856323,0.42558613419532776,0.3187655806541443,0.28458893299102783,0.3106788992881775,0.28827744722366333,0.1826142966747284
study,0.2640102803707123,0.30255988240242004,0.2741253674030304,0.13762857019901276,0.2268155962228775,0.13282443583011627,0.11647959798574448,0.27965226769447327,0.2268155962228775,0.2607570290565491,0.29377859830856323,1.0,0.19215846061706543,0.18590544164180756,0.20435425639152527,0.1661786139011383,0.3593199849128723,0.15902167558670044
school,0.11585085093975067,0.20931920409202576,0.24115975201129913,0.12960760295391083,0.2245093584060669,0.15286096930503845,0.2119062840938568,0.5228912830352783,0.2245093584060669,0.29188272356987,0.2391800880432129,0.3538699746131897,0.3177914023399353,0.2464505136013031,0.34623828530311584,0.203142911195755,0.4638853669166565,0.15091250836849213
