,how,was,luther,'s,health,for,the,years,of,1531,to,1546,?
from,0.22939439117908478,0.31171464920043945,0.10716932266950607,-0.01936490088701248,0.17037683725357056,0.314039945602417,0.40150508284568787,0.31063511967658997,0.4249346852302551,0.057437848299741745,0.4069952368736267,0.12979866564273834,0.19969791173934937
1531,0.12390489876270294,0.09950234740972519,0.07502570003271103,-0.015610885806381702,0.16829530894756317,0.17339029908180237,0.03810441493988037,0.05712824687361717,0.04753910005092621,1.0000001192092896,0.00896170549094677,0.19296643137931824,0.32660937309265137
to,0.44169697165489197,0.3636345863342285,0.18029534816741943,0.03782717138528824,0.29985085129737854,0.4451248347759247,0.535392165184021,0.23891852796077728,0.41548454761505127,0.00896170549094677,1.0,0.04448734596371651,0.29463258385658264
1546,-0.00996746402233839,0.15838901698589325,0.03921762481331825,-0.013147372752428055,0.27175313234329224,0.14892472326755524,0.1649978905916214,0.08780176192522049,0.30783918499946594,0.19296643137931824,0.04448734596371651,1.0,-0.004786801990121603
",",0.22659391164779663,0.45456063747406006,0.23255878686904907,-0.0016132977325469255,0.2331448197364807,0.4464869201183319,0.4933079481124878,0.2589467465877533,0.4946078956127167,0.1654025912284851,0.44245919585227966,0.14478033781051636,0.31091248989105225
his,0.24614305794239044,0.4405253231525421,0.27093374729156494,0.047556519508361816,0.25097307562828064,0.39312878251075745,0.4394008219242096,0.3523389995098114,0.38364991545677185,-0.008184432052075863,0.3715193271636963,0.02623273991048336,0.18075084686279297
health,0.24691897630691528,0.2006305307149887,0.17949983477592468,0.018505536019802094,1.0000001192092896,0.31610164046287537,0.2340974360704422,0.17987096309661865,0.28076469898223877,0.16829530894756317,0.29985085129737854,0.27175313234329224,0.16094304621219635
deteriorated,0.21271342039108276,0.3079599440097809,0.12842576205730438,-0.10852832347154617,0.399430513381958,0.2523227035999298,0.3087010085582733,0.23323246836662292,0.3613165020942688,-0.003930608741939068,0.26383188366889954,0.25749215483665466,0.09551439434289932
further,0.3163740038871765,0.16107149422168732,0.09241766482591629,-0.0077023254707455635,0.18020351231098175,0.26543480157852173,0.32531118392944336,0.17538131773471832,0.24797867238521576,0.04049036279320717,0.4001762866973877,0.045449309051036835,0.20960763096809387
.,0.3287222981452942,0.40146201848983765,0.24907569587230682,-0.003708066651597619,0.25832483172416687,0.4726039469242096,0.5934505462646484,0.31919315457344055,0.5352458953857422,0.26431307196617126,0.4645031690597534,0.1443537175655365,0.4130953550338745
