,how,many,seats,does,victoria,have,in,the,senate,?
politically,0.19193656742572784,0.2878550887107849,0.22173438966274261,0.16723810136318207,0.10681725293397903,0.2767956554889679,0.21497145295143127,0.2379349023103714,0.2833291292190552,0.14733245968818665
",",0.22659391164779663,0.40610817074775696,0.22755272686481476,0.28617382049560547,0.2279360294342041,0.3541618287563324,0.5201468467712402,0.4933079481124878,0.22473450005054474,0.31091248989105225
victoria,0.09004101157188416,0.1926158368587494,0.0854765996336937,0.09501408785581589,1.0,0.16480252146720886,0.20823122560977936,0.2204313427209854,0.14518283307552338,0.12246892601251602
has,0.26820555329322815,0.4266262650489807,0.2280421257019043,0.42885294556617737,0.12203460186719894,0.6353569626808167,0.4173259735107422,0.4177538752555847,0.14387774467468262,0.15994466841220856
37,0.0667102113366127,0.14107336103916168,0.093177430331707,0.003233077470213175,-0.0552450567483902,0.06892101466655731,0.0036892909556627274,0.03583221137523651,0.20377986133098602,0.08108238875865936
seats,0.08405140787363052,0.1988271325826645,1.0,0.17345929145812988,0.0854765996336937,0.2330983728170395,0.26510122418403625,0.25880131125450134,0.40193456411361694,0.10678832978010178
in,0.2601168751716614,0.41474202275276184,0.26510122418403625,0.214483380317688,0.20823122560977936,0.36843645572662354,1.0,0.6662389636039734,0.1815723329782486,0.20430970191955566
the,0.33890387415885925,0.4335206151008606,0.25880131125450134,0.35928019881248474,0.2204313427209854,0.40389683842658997,0.6662389636039734,1.0,0.23380520939826965,0.22068053483963013
australian,0.21116776764392853,0.20046275854110718,0.07592182606458664,0.13278554379940033,0.42558738589286804,0.21324211359024048,0.1796053647994995,0.23527215421199799,0.16175507009029388,0.10848008096218109
house,0.19348092377185822,0.1727023720741272,0.3674323558807373,0.17214885354042053,0.19547563791275024,0.14039002358913422,0.20026938617229462,0.2847244441509247,0.4474140703678131,0.13736455142498016
of,0.2480744868516922,0.37253960967063904,0.22482673823833466,0.3119818866252899,0.2505437433719635,0.3802283704280853,0.5696388483047485,0.733189046382904,0.2684692442417145,0.1826142966747284
representatives,0.1742788553237915,0.1986415535211563,0.4262622892856598,0.17351844906806946,0.1830836981534958,0.21157918870449066,0.2394939363002777,0.2691882848739624,0.6815740466117859,0.14079871773719788
and,0.33647966384887695,0.5296266674995422,0.2413434535264969,0.3461615741252899,0.24507255852222443,0.4711785912513733,0.4954058527946472,0.5171257257461548,0.20134705305099487,0.20544172823429108
12,0.10959922522306442,0.1780882626771927,0.037518393248319626,0.167842298746109,0.12902314960956573,0.20622025430202484,0.18516430258750916,0.28907760977745056,-0.030012352392077446,0.10021790862083435
seats,0.08405140787363052,0.1988271325826645,1.0,0.17345929145812988,0.0854765996336937,0.2330983728170395,0.26510122418403625,0.25880131125450134,0.40193456411361694,0.10678832978010178
in,0.2601168751716614,0.41474202275276184,0.26510122418403625,0.214483380317688,0.20823122560977936,0.36843645572662354,1.0,0.6662389636039734,0.1815723329782486,0.20430970191955566
the,0.33890387415885925,0.4335206151008606,0.25880131125450134,0.35928019881248474,0.2204313427209854,0.40389683842658997,0.6662389636039734,1.0,0.23380520939826965,0.22068053483963013
australian,0.21116776764392853,0.20046275854110718,0.07592182606458664,0.13278554379940033,0.42558738589286804,0.21324211359024048,0.1796053647994995,0.23527215421199799,0.16175507009029388,0.10848008096218109
senate,0.12895625829696655,0.12012884020805359,0.40193456411361694,0.1342141181230545,0.14518283307552338,0.15370967984199524,0.1815723329782486,0.23380520939826965,1.0000001192092896,0.18454359471797943
.,0.3287222981452942,0.3974229395389557,0.2494688183069229,0.3022993505001068,0.23069117963314056,0.41614407300949097,0.5591574311256409,0.5934505462646484,0.26619550585746765,0.4130953550338745
