,who,runs,the,university,of,chicago,?
the,0.3733934462070465,0.30832576751708984,1.0,0.263973206281662,0.733189046382904,0.27360326051712036,0.22068053483963013
university,0.2115909904241562,0.15604981780052185,0.263973206281662,1.0,0.30646374821662903,0.29005804657936096,0.11887256056070328
of,0.2827862501144409,0.22292760014533997,0.733189046382904,0.30646374821662903,1.0,0.18391016125679016,0.1826142966747284
chicago,0.2047077715396881,0.16284847259521484,0.27360326051712036,0.29005804657936096,0.18391016125679016,1.0,0.16446958482265472
is,0.24293622374534607,0.30176323652267456,0.5823672413825989,0.20346471667289734,0.4854315221309662,0.12146236002445221,0.22961433231830597
governed,0.2344985008239746,0.1908777505159378,0.3389590084552765,0.2578970193862915,0.4198022782802582,0.08251558989286423,0.12964454293251038
by,0.39727845788002014,0.14847011864185333,0.4408751428127289,0.1929011344909668,0.3646814823150635,0.18057090044021606,0.17966607213020325
a,0.36608949303627014,0.23921579122543335,0.5829201340675354,0.20256656408309937,0.5052502155303955,0.17899899184703827,0.23916715383529663
board,0.15408030152320862,0.1951877921819687,0.2871673107147217,0.21278244256973267,0.23488809168338776,0.1850597858428955,0.1261475533246994
of,0.2827862501144409,0.22292760014533997,0.733189046382904,0.30646374821662903,1.0,0.18391016125679016,0.1826142966747284
trustees,0.2708134353160858,0.17573946714401245,0.2802223861217499,0.3692660927772522,0.3031838834285736,0.280592679977417,0.12247486412525177
.,0.3541337847709656,0.2379940003156662,0.5934505462646484,0.290679007768631,0.5352458953857422,0.2771213948726654,0.4130953550338745
