,what,did,this,affair,cause,to,luther,'s,reputation,?
the,0.42745697498321533,0.34736719727516174,0.6274310946464539,0.16921383142471313,0.2551237642765045,0.535392165184021,0.1759674996137619,-0.01540423184633255,0.21946515142917633,0.22068053483963013
affair,0.13801561295986176,0.21723335981369019,0.20820161700248718,1.0,0.19493499398231506,0.13814547657966614,0.17901162803173065,-0.10597231239080429,0.2781773507595062,0.11589475721120834
caused,0.22264783084392548,0.2858860194683075,0.2965903580188751,0.25184088945388794,0.7314810156822205,0.2414499819278717,0.08839946240186691,-0.0389891043305397,0.23694026470184326,0.20679491758346558
lasting,0.22853052616119385,0.16321644186973572,0.37007322907447815,0.17216165363788605,0.3110687732696533,0.2581788897514343,0.14008595049381256,0.060765963047742844,0.2073800414800644,0.16289150714874268
damage,0.2590121924877167,0.24770227074623108,0.3061329424381256,0.14383196830749512,0.5174788236618042,0.23714354634284973,0.13094523549079895,-0.042449116706848145,0.3250252902507782,0.2121051400899887
to,0.455847829580307,0.4452643394470215,0.5759071707725525,0.13814547657966614,0.3172815442085266,1.0,0.18029534816741943,0.03782717138528824,0.20996540784835815,0.29463258385658264
luther,0.2134782373905182,0.23667675256729126,0.17328955233097076,0.17901162803173065,0.08742541074752808,0.18029534816741943,1.0,-0.009990512393414974,0.1503753513097763,0.1732746809720993
's,0.02692362666130066,0.05069678649306297,0.02106832154095173,-0.10597231239080429,-0.04770376905798912,0.03782717138528824,-0.009990512393414974,0.9999999403953552,0.049814119935035706,-0.023395681753754616
reputation,0.24973461031913757,0.3224841058254242,0.28158533573150635,0.2781773507595062,0.28462332487106323,0.20996540784835815,0.1503753513097763,0.049814119935035706,1.0000001192092896,0.14395901560783386
.,0.3567904531955719,0.35288307070732117,0.500583827495575,0.20129987597465515,0.267557293176651,0.4645031690597534,0.24907569587230682,-0.003708066651597619,0.2323891669511795,0.4130953550338745
