,how,many,pieces,of,legislation,has,the,social,charter,become,the,basis,for,?
the,0.33890387415885925,0.4335206151008606,0.2676405906677246,0.733189046382904,0.2839483618736267,0.4177538752555847,1.0,0.21797899901866913,0.26436546444892883,0.31731709837913513,1.0,0.2758672833442688,0.4739971458911896,0.22068053483963013
social,0.2205141931772232,0.2721116840839386,0.03711584955453873,0.2605111300945282,0.2642394006252289,0.13508737087249756,0.21797899901866913,1.0,0.22358788549900055,0.11733108013868332,0.21797899901866913,0.2561687231063843,0.2460131198167801,0.1615191102027893
charter,0.11218208819627762,0.17963452637195587,0.07801765948534012,0.2438247799873352,0.3939962089061737,0.15449199080467224,0.26436546444892883,0.22358788549900055,1.0000001192092896,0.19530536234378815,0.26436546444892883,0.2695966362953186,0.2007191777229309,0.14220231771469116
became,0.10954522341489792,0.25642040371894836,0.18839235603809357,0.3638904094696045,0.13252463936805725,0.2400304079055786,0.36325156688690186,0.1991615742444992,0.20534390211105347,0.6258460283279419,0.36325156688690186,0.16799432039260864,0.3017078936100006,0.11374033987522125
the,0.33890387415885925,0.4335206151008606,0.2676405906677246,0.733189046382904,0.2839483618736267,0.4177538752555847,1.0,0.21797899901866913,0.26436546444892883,0.31731709837913513,1.0,0.2758672833442688,0.4739971458911896,0.22068053483963013
basis,0.24530459940433502,0.2630174458026886,0.19004838168621063,0.282950758934021,0.32338738441467285,0.23770175874233246,0.2758672833442688,0.2561687231063843,0.2695966362953186,0.20126435160636902,0.2758672833442688,1.0000001192092896,0.34436357021331787,0.14255106449127197
for,0.3308170735836029,0.40972793102264404,0.23890019953250885,0.4185989499092102,0.21200993657112122,0.450642853975296,0.4739971458911896,0.2460131198167801,0.2007191777229309,0.3047906458377838,0.4739971458911896,0.34436357021331787,0.9999999403953552,0.264628142118454
european,0.123964823782444,0.24996337294578552,0.05977509915828705,0.2507138252258301,0.18848587572574615,0.1917828619480133,0.3423081040382385,0.27265316247940063,0.334158331155777,0.18499349057674408,0.3423081040382385,0.1877344846725464,0.2838500738143921,0.14560863375663757
community,0.24500365555286407,0.2554699182510376,0.09976553171873093,0.2367410808801651,0.28273630142211914,0.2515353262424469,0.2601400911808014,0.2593977153301239,0.2360733300447464,0.2417866587638855,0.2601400911808014,0.19382977485656738,0.24596118927001953,0.2380419820547104
legislation,0.2266223430633545,0.19878235459327698,0.1252281665802002,0.3114430606365204,0.9999998807907104,0.15808652341365814,0.2839483618736267,0.2642394006252289,0.3939962089061737,0.16316165030002594,0.2839483618736267,0.32338738441467285,0.21200993657112122,0.21123437583446503
on,0.32655060291290283,0.32520127296447754,0.21964214742183685,0.3966929316520691,0.19267718493938446,0.34604379534721375,0.5107308030128479,0.24255602061748505,0.22432076930999756,0.17756444215774536,0.5107308030128479,0.3159703016281128,0.36199691891670227,0.2714994251728058
these,0.41104358434677124,0.7077717185020447,0.3322354853153229,0.42684608697891235,0.27502205967903137,0.32906898856163025,0.49086877703666687,0.27152371406555176,0.1990262120962143,0.2707001268863678,0.49086877703666687,0.34156927466392517,0.41566818952560425,0.2571668326854706
issues,0.3156745731830597,0.26340171694755554,0.17023007571697235,0.2288406491279602,0.40872251987457275,0.2341945469379425,0.2638932764530182,0.3227478265762329,0.2065976858139038,0.18067312240600586,0.2638932764530182,0.2658235430717468,0.27617812156677246,0.320565789937973
in,0.2601168751716614,0.41474202275276184,0.19380393624305725,0.5696388483047485,0.2219952940940857,0.4173259735107422,0.6662389636039734,0.23382627964019775,0.20881880819797516,0.23238378763198853,0.6662389636039734,0.24894960224628448,0.4322226941585541,0.20430970191955566
40,0.03806556016206741,0.023672861978411674,-0.023263707756996155,-0.03308193385601044,0.035123810172080994,0.07547257840633392,-0.09923846274614334,-0.011240599676966667,-0.014967898838222027,0.06729459017515182,-0.09923846274614334,-0.013478360138833523,-0.02182970941066742,0.010195288807153702
pieces,0.29012906551361084,0.28690189123153687,0.9999998807907104,0.2685854732990265,0.1252281665802002,0.21121692657470703,0.2676405906677246,0.03711584955453873,0.07801765948534012,0.22546103596687317,0.2676405906677246,0.19004838168621063,0.23890019953250885,0.12758022546768188
of,0.2480744868516922,0.37253960967063904,0.2685854732990265,1.0,0.3114430606365204,0.3909035325050354,0.733189046382904,0.2605111300945282,0.2438247799873352,0.31678006052970886,0.733189046382904,0.282950758934021,0.4185989499092102,0.1826142966747284
legislation,0.2266223430633545,0.19878235459327698,0.1252281665802002,0.3114430606365204,0.9999998807907104,0.15808652341365814,0.2839483618736267,0.2642394006252289,0.3939962089061737,0.16316165030002594,0.2839483618736267,0.32338738441467285,0.21200993657112122,0.21123437583446503
.,0.3287222981452942,0.3974229395389557,0.23539015650749207,0.5352458953857422,0.23787342011928558,0.4105546176433563,0.5934505462646484,0.2614770531654358,0.17250345647335052,0.32859939336776733,0.5934505462646484,0.2657107412815094,0.4726039469242096,0.4130953550338745
