,in,which,year,was,the,salting,bequest,made,?
a,0.539380669593811,0.56894451379776,0.29350247979164124,0.4508470594882965,0.5829201340675354,0.29165178537368774,0.24805915355682373,0.3180864453315735,0.23916715383529663
major,0.3249945342540741,0.31470122933387756,0.17671433091163635,0.20676274597644806,0.31775903701782227,0.15327411890029907,0.18282045423984528,0.18156227469444275,0.19788557291030884
boost,0.219753697514534,0.3113580048084259,0.17842118442058563,0.15720723569393158,0.2371932715177536,0.1542614847421646,0.21604804694652557,0.24943508207798004,0.19418038427829742
to,0.45010748505592346,0.5345056653022766,0.23523004353046417,0.3636345863342285,0.535392165184021,0.2779283821582794,0.3401663601398468,0.3377571105957031,0.29463258385658264
the,0.6662389636039734,0.6521818041801453,0.3609684407711029,0.48711544275283813,1.0,0.29557669162750244,0.27512025833129883,0.3885267674922943,0.22068053483963013
collections,0.2719179093837738,0.319350928068161,0.15668193995952606,0.17861895263195038,0.27174001932144165,0.09939377009868622,0.29953306913375854,0.2466989904642105,0.1873358190059662
was,0.45514053106307983,0.2830964922904968,0.3209837079048157,1.0000001192092896,0.48711544275283813,0.18129965662956238,0.3015955984592438,0.3433256447315216,0.18412111699581146
the,0.6662389636039734,0.6521818041801453,0.3609684407711029,0.48711544275283813,1.0,0.29557669162750244,0.27512025833129883,0.3885267674922943,0.22068053483963013
salting,0.238237664103508,0.3380662202835083,0.1318628489971161,0.18129965662956238,0.29557669162750244,1.0,0.18132686614990234,0.23343844711780548,0.2930932641029358
bequest,0.2849925756454468,0.22139106690883636,0.2051294893026352,0.3015955984592438,0.27512025833129883,0.18132686614990234,1.0,0.24450980126857758,0.22906942665576935
made,0.25271502137184143,0.3407467305660248,0.13611415028572083,0.3433256447315216,0.3885267674922943,0.23343844711780548,0.24450980126857758,1.0,0.17218779027462006
in,1.0,0.4840516746044159,0.3359307050704956,0.45514053106307983,0.6662389636039734,0.238237664103508,0.2849925756454468,0.25271502137184143,0.20430970191955566
1909,0.12368474900722504,0.11006590723991394,0.1447696089744568,0.2503795623779297,0.21335244178771973,0.09199449419975281,0.21892863512039185,0.12665848433971405,0.057647012174129486
",",0.5201468467712402,0.3658004403114319,0.28560417890548706,0.45456063747406006,0.4933079481124878,0.3588552474975586,0.3688803017139435,0.32507219910621643,0.31091248989105225
which,0.4840516746044159,1.0,0.242343008518219,0.2830964922904968,0.6521818041801453,0.3380662202835083,0.22139106690883636,0.3407467305660248,0.25814583897590637
enriched,0.2204398214817047,0.3429083824157715,0.14150908589363098,0.12955011427402496,0.2503047585487366,0.27154433727264404,0.12398657202720642,0.2726961672306061,0.0692734569311142
the,0.6662389636039734,0.6521818041801453,0.3609684407711029,0.48711544275283813,1.0,0.29557669162750244,0.27512025833129883,0.3885267674922943,0.22068053483963013
museum,0.2407650351524353,0.22731433808803558,0.1009267270565033,0.21266788244247437,0.24861779808998108,0.04093917831778526,0.3421292304992676,0.16088193655014038,0.14128351211547852
's,-0.037580832839012146,0.03856118768453598,-0.04087831452488899,0.008974763564765453,-0.01540423184633255,-0.005290144123136997,0.03663630038499832,0.08483956009149551,-0.023395681753754616
stock,0.20128266513347626,0.22003258764743805,0.14691710472106934,0.19506287574768066,0.21356552839279175,0.2158488780260086,0.1604447066783905,0.12460537254810333,0.14784406125545502
of,0.5696388483047485,0.5011631846427917,0.2578314542770386,0.4069072902202606,0.733189046382904,0.2864784300327301,0.30752936005592346,0.33167365193367004,0.1826142966747284
chinese,0.20821347832679749,0.21241894364356995,0.21294957399368286,0.21259073913097382,0.2785343527793884,0.13215182721614838,0.18348398804664612,0.13898862898349762,0.20843194425106049
and,0.4954058527946472,0.506277859210968,0.2506658732891083,0.3740963041782379,0.5171257257461548,0.2457580715417862,0.29343608021736145,0.34954607486724854,0.20544172823429108
japanese,0.1623581349849701,0.19711120426654816,0.19384442269802094,0.21891649067401886,0.21599429845809937,0.052622485905885696,0.13854575157165527,0.20634685456752777,0.12021756172180176
ceramics,0.23126716911792755,0.22145546972751617,0.12135583907365799,0.1772516667842865,0.2034795880317688,0.28696250915527344,0.1857360601425171,0.30438661575317383,0.13330718874931335
.,0.5591574311256409,0.45942068099975586,0.32538118958473206,0.40146201848983765,0.5934505462646484,0.29941055178642273,0.26005375385284424,0.4032190144062042,0.4130953550338745
