,what,was,his,belief,as,to,what,nature,was,supposed,to,be,?
his,0.26976513862609863,0.4405253231525421,0.9999998807907104,0.24156975746154785,0.3146366477012634,0.3715193271636963,0.26976513862609863,0.1647808998823166,0.4405253231525421,0.30516424775123596,0.3715193271636963,0.21738691627979279,0.18075084686279297
opinion,0.41087794303894043,0.23842191696166992,0.26037362217903137,0.39641812443733215,0.2600947618484497,0.3052038252353668,0.41087794303894043,0.23944678902626038,0.23842191696166992,0.2836383581161499,0.3052038252353668,0.3106502294540405,0.38472914695739746
stemmed,0.22896930575370789,0.2456214278936386,0.290875643491745,0.23399433493614197,0.20771268010139465,0.24032779037952423,0.22896930575370789,0.1794612854719162,0.2456214278936386,0.23469777405261993,0.24032779037952423,0.27439817786216736,0.14464761316776276
from,0.2737620174884796,0.31171464920043945,0.3195365369319916,0.2067188024520874,0.3251767158508301,0.4069952368736267,0.2737620174884796,0.10150755941867828,0.31171464920043945,0.21575838327407837,0.4069952368736267,0.3107333183288574,0.19969791173934937
the,0.42745697498321533,0.48711544275283813,0.4394008219242096,0.22474968433380127,0.48381632566452026,0.535392165184021,0.42745697498321533,0.19596898555755615,0.48711544275283813,0.33562925457954407,0.535392165184021,0.4248143136501312,0.22068053483963013
belief,0.3523470163345337,0.2201409488916397,0.24156975746154785,1.0,0.20016999542713165,0.28712236881256104,0.3523470163345337,0.3781110346317291,0.2201409488916397,0.3271220326423645,0.28712236881256104,0.27456197142601013,0.20175790786743164
that,0.6297725439071655,0.33670201897621155,0.3173833191394806,0.42884793877601624,0.4735107421875,0.5436353087425232,0.6297725439071655,0.3041963577270508,0.33670201897621155,0.4945879280567169,0.5436353087425232,0.6036020517349243,0.32716336846351624
humans,0.28355827927589417,0.1322101354598999,0.19663292169570923,0.32564568519592285,0.24042272567749023,0.3031579256057739,0.28355827927589417,0.38393691182136536,0.1322101354598999,0.2513272166252136,0.3031579256057739,0.3337162137031555,0.20141740143299103
',0.3245812654495239,0.33675912022590637,0.2791537940502167,0.16639667749404907,0.41391023993492126,0.34544456005096436,0.3245812654495239,0.13049769401550293,0.33675912022590637,0.2771987020969391,0.34544456005096436,0.2717236876487732,0.330942302942276
``,0.008517155423760414,-0.012679691426455975,0.008275155909359455,0.025099093094468117,0.03910288214683533,0.06720756739377975,0.008517155423760414,-0.029082365334033966,-0.012679691426455975,0.007399421650916338,0.06720756739377975,0.07670000940561295,0.0685480609536171
pity,0.33851879835128784,0.1720099151134491,0.3334929049015045,0.42572444677352905,0.23113186657428741,0.2602074444293976,0.33851879835128784,0.36257871985435486,0.1720099151134491,0.2494661659002304,0.2602074444293976,0.267465204000473,0.3059987425804138
'',0.08143015950918198,0.04456103965640068,0.016508836299180984,-0.09213719516992569,0.006628023460507393,-0.009905828163027763,0.08143015950918198,0.015975749120116234,0.04456103965640068,0.024381136521697044,-0.009905828163027763,0.08835477381944656,0.018684765323996544
