,what,city,was,the,media,event,held,for,super,bowl,50,?
the,0.42745697498321533,0.35769423842430115,0.48711544275283813,1.0,0.19221965968608856,0.2960145175457001,0.32185450196266174,0.4739971458911896,0.21959073841571808,0.21576224267482758,0.03602437674999237,0.22068053483963013
event,0.26981404423713684,0.13720391690731049,0.28341150283813477,0.2960145175457001,0.20931358635425568,0.9999998807907104,0.45807647705078125,0.21648059785366058,0.20683135092258453,0.22903870046138763,-0.05163390934467316,0.16076280176639557
was,0.22111038863658905,0.3188765048980713,1.0000001192092896,0.48711544275283813,0.17841780185699463,0.28341150283813477,0.30231067538261414,0.3863949179649353,0.21420986950397491,0.21915455162525177,-0.0011744623770937324,0.18412111699581146
held,0.0974166989326477,0.21825216710567474,0.30231067538261414,0.32185450196266174,0.16542178392410278,0.45807647705078125,1.0,0.2495253086090088,0.1602509617805481,0.1913566142320633,0.018389368429780006,0.14103956520557404
on,0.34226128458976746,0.2549738585948944,0.3909217119216919,0.5107308030128479,0.19591841101646423,0.21758322417736053,0.2410694807767868,0.36199691891670227,0.1569211632013321,0.1334993690252304,0.05590687692165375,0.2714994251728058
february,0.1913013905286789,0.23219485580921173,0.446986585855484,0.26483774185180664,0.15828314423561096,0.23116043210029602,0.19389818608760834,0.2791854739189148,0.11098520457744598,0.14879822731018066,-0.03776301443576813,0.29594847559928894
1,-0.21266892552375793,0.04870324209332466,-0.2275921255350113,-0.1554475575685501,-0.22595520317554474,-0.11616207659244537,-0.07817155867815018,-0.31088897585868835,-0.20172525942325592,-0.14906248450279236,-0.07848919183015823,-0.249979168176651
",",0.3087472915649414,0.35839709639549255,0.45456063747406006,0.4933079481124878,0.23135341703891754,0.22701776027679443,0.2880980372428894,0.4464869201183319,0.22322475910186768,0.1810409277677536,-0.025195008143782616,0.31091248989105225
2016,0.10915659368038177,0.05289103463292122,-0.009529631584882736,0.11571308970451355,0.1286695897579193,0.10204517096281052,0.048715416342020035,0.054391246289014816,-0.016256341710686684,0.014497322961688042,-0.04264228418469429,-0.12147852033376694
at,0.2838611304759979,0.2310783565044403,0.36707764863967896,0.457212895154953,0.10818776488304138,0.3039053678512573,0.3822793960571289,0.34237727522850037,0.11449114978313446,0.2709662914276123,-0.018447641283273697,0.21978627145290375
sap,0.18864130973815918,0.12814036011695862,0.16645340621471405,0.20211225748062134,0.10441591590642929,0.08666995167732239,0.1299058347940445,0.1569693386554718,0.16322582960128784,0.2455243170261383,-0.02831096760928631,0.11318067461252213
center,0.1908310204744339,0.32096901535987854,0.19517986476421356,0.29064592719078064,0.2353142648935318,0.2341412752866745,0.2514551877975464,0.1980270892381668,0.10317984968423843,0.10079877823591232,0.03478327393531799,0.12538520991802216
in,0.30808621644973755,0.3911624252796173,0.45514053106307983,0.6662389636039734,0.19773486256599426,0.27304479479789734,0.3127288818359375,0.4322226941585541,0.18576006591320038,0.17236235737800598,0.021892361342906952,0.20430970191955566
san,0.19375550746917725,0.32193511724472046,0.2675222158432007,0.2858080565929413,0.11130241304636002,0.15872716903686523,0.1226641833782196,0.21004900336265564,0.15279507637023926,0.18508543074131012,0.02022494748234749,0.10952327400445938
jose,0.14773352444171906,0.15809156000614166,0.2613803744316101,0.19788163900375366,0.10487508773803711,0.16613297164440155,0.0878242701292038,0.17781013250350952,0.14319683611392975,0.1370301991701126,0.02933165431022644,0.06250977516174316
.,0.3567904531955719,0.29856356978416443,0.40146201848983765,0.5934505462646484,0.2313707321882248,0.2068977802991867,0.2628571093082428,0.4726039469242096,0.2757420241832733,0.21516893804073334,0.04325474053621292,0.4130953550338745
