,who,was,the,head,of,the,company,?
in,0.2792111933231354,0.45514053106307983,0.6662389636039734,0.21927717328071594,0.5696388483047485,0.6662389636039734,0.22141718864440918,0.20430970191955566
1893,0.1112329438328743,0.04229336231946945,0.10564703494310379,0.0824965387582779,0.04443042352795601,0.10564703494310379,0.09944730997085571,0.0544506311416626
richard,0.27835920453071594,0.26966050267219543,0.2087954580783844,0.14780642092227936,0.2227524220943451,0.2087954580783844,0.1630045771598816,0.15003317594528198
dean,0.21395713090896606,0.21749737858772278,0.20016886293888092,0.2145814746618271,0.18306459486484528,0.20016886293888092,0.09054067730903625,0.13287632167339325
adams,0.18634244799613953,0.2270916998386383,0.22482158243656158,0.04986485466361046,0.20551997423171997,0.22482158243656158,0.17578409612178802,0.11037187278270721
",",0.3365725874900818,0.45456063747406006,0.4933079481124878,0.2711189091205597,0.4946078956127167,0.4933079481124878,0.2697763442993164,0.31091248989105225
who,0.9999998807907104,0.3318818509578705,0.3733934462070465,0.20998527109622955,0.2827862501144409,0.3733934462070465,0.2383776307106018,0.26220351457595825
headed,0.23283647000789642,0.23560331761837006,0.256571888923645,0.500693678855896,0.2459140568971634,0.256571888923645,0.12667152285575867,0.1387181431055069
up,0.26056501269340515,0.24070115387439728,0.38423117995262146,0.21799947321414948,0.32945773005485535,0.38423117995262146,0.19307924807071686,0.1819818764925003
the,0.3733934462070465,0.48711544275283813,1.0,0.3079071640968323,0.733189046382904,1.0,0.26591673493385315,0.22068053483963013
niagara,0.16163556277751923,0.1924375295639038,0.27139943838119507,0.21532699465751648,0.17922548949718475,0.27139943838119507,0.17887718975543976,0.1411852240562439
falls,0.1526177078485489,0.1706530600786209,0.2708098292350769,0.21773964166641235,0.23047612607479095,0.2708098292350769,0.10471650958061218,0.15918700397014618
cataract,0.21831496059894562,0.2338118851184845,0.36011776328086853,0.18513932824134827,0.2748173773288727,0.36011776328086853,0.1043146550655365,0.15514707565307617
construction,0.08125896006822586,0.224521666765213,0.2671978175640106,0.1341477483510971,0.2815735340118408,0.2671978175640106,0.23296286165714264,0.13494056463241577
company,0.2383776307106018,0.2293137013912201,0.26591673493385315,0.1117217093706131,0.20467796921730042,0.26591673493385315,1.0,0.12195809185504913
sought,0.31337496638298035,0.2759144902229309,0.2821049392223358,0.10824797302484512,0.33104926347732544,0.2821049392223358,0.2090018093585968,0.1753331869840622
tesla,0.1520961970090866,0.16455206274986267,0.1324402391910553,0.07052404433488846,0.18837453424930573,0.1324402391910553,0.23045730590820312,0.10250775516033173
's,0.05599616840481758,0.008974763564765453,-0.01540423184633255,-0.041913021355867386,-0.03817026689648628,-0.01540423184633255,0.003266559913754463,-0.023395681753754616
opinion,0.2775997519493103,0.23842191696166992,0.22474613785743713,0.2299741953611374,0.20495454967021942,0.22474613785743713,0.1138223335146904,0.38472914695739746
on,0.2340552806854248,0.3909217119216919,0.5107308030128479,0.22092439234256744,0.3966929316520691,0.5107308030128479,0.23664942383766174,0.2714994251728058
what,0.40942975878715515,0.22111038863658905,0.42745697498321533,0.18919230997562408,0.33290785551071167,0.42745697498321533,0.2333769053220749,0.5051238536834717
system,0.1550477296113968,0.2147521674633026,0.3233085572719574,0.08456007391214371,0.25597915053367615,0.3233085572719574,0.18630766868591309,0.15556083619594574
would,0.3632977604866028,0.41663143038749695,0.4133751392364502,0.16175611317157745,0.3353942930698395,0.4133751392364502,0.2073281854391098,0.37178951501846313
be,0.3371641933917999,0.42228707671165466,0.4248143136501312,0.1369733065366745,0.33904364705085754,0.4248143136501312,0.1454060822725296,0.3324260413646698
best,0.266329824924469,0.2817839980125427,0.3134109377861023,0.13796359300613403,0.23660683631896973,0.3134109377861023,0.15458343923091888,0.2799045741558075
to,0.42656609416007996,0.3636345863342285,0.535392165184021,0.2177244871854782,0.41548454761505127,0.535392165184021,0.24903783202171326,0.29463258385658264
transmit,0.2030460089445114,0.09623531252145767,0.2503734529018402,0.176099494099617,0.20769038796424866,0.2503734529018402,0.10500265657901764,0.16771046817302704
power,0.25855374336242676,0.1794997751712799,0.2647338807582855,0.24883127212524414,0.25273123383522034,0.2647338807582855,0.16094139218330383,0.15304024517536163
generated,0.08967408537864685,0.13891242444515228,0.27684199810028076,0.10340328514575958,0.27549460530281067,0.27684199810028076,0.15670032799243927,0.28358349204063416
at,0.22096660733222961,0.36707764863967896,0.457212895154953,0.18011631071567535,0.42558613419532776,0.457212895154953,0.17487694323062897,0.21978627145290375
the,0.3733934462070465,0.48711544275283813,1.0,0.3079071640968323,0.733189046382904,1.0,0.26591673493385315,0.22068053483963013
falls,0.1526177078485489,0.1706530600786209,0.2708098292350769,0.21773964166641235,0.23047612607479095,0.2708098292350769,0.10471650958061218,0.15918700397014618
.,0.3541337847709656,0.40146201848983765,0.5934505462646484,0.2515932321548462,0.5352458953857422,0.5934505462646484,0.266353577375412,0.4130953550338745
