,in,what,year,did,savery,patent,his,steam,pump,?
in,1.0,0.30808621644973755,0.3359307050704956,0.2593238651752472,0.3151136636734009,0.18244080245494843,0.3598145842552185,0.19852672517299652,0.14753441512584686,0.20430970191955566
1698,-0.044392529875040054,-0.009659199975430965,0.04189909249544144,-0.03976116701960564,-0.03268392011523247,-0.12668544054031372,0.022904181852936745,-0.05998658388853073,0.007384960539638996,-0.010501213371753693
thomas,0.21133768558502197,0.1806955188512802,0.1567562371492386,0.20728807151317596,0.22169677913188934,0.23652134835720062,0.20028819143772125,0.1875210702419281,0.008246990852057934,0.16133050620555878
savery,0.3151136636734009,0.3273344337940216,0.1923653483390808,0.22408901154994965,0.9999999403953552,0.14227110147476196,0.32606714963912964,0.21627888083457947,0.16597431898117065,0.2684193551540375
patented,0.1809646189212799,0.1101711094379425,0.0879555344581604,0.17659124732017517,0.14443734288215637,0.8313168883323669,0.14803577959537506,0.32921862602233887,0.2224743664264679,0.08803384751081467
a,0.539380669593811,0.3320399522781372,0.29350247979164124,0.2552328109741211,0.2876123785972595,0.23810072243213654,0.3497250974178314,0.2141898274421692,0.25026795268058777,0.23916715383529663
steam,0.19852672517299652,0.15672586858272552,0.12807929515838623,0.19902050495147705,0.21627888083457947,0.2789400815963745,0.13870766758918762,1.0000001192092896,0.47990959882736206,0.113324373960495
pump,0.14753441512584686,0.2035713642835617,0.07374399900436401,0.12282761186361313,0.16597431898117065,0.1952090710401535,0.1128750666975975,0.47990959882736206,0.9999999403953552,0.24768272042274475
that,0.435920387506485,0.6297725439071655,0.2826407253742218,0.47518548369407654,0.34388548135757446,0.25033146142959595,0.3173833191394806,0.24386391043663025,0.2511250674724579,0.32716336846351624
used,0.3090210556983948,0.27546408772468567,0.1307803839445114,0.30443844199180603,0.194514662027359,0.25178027153015137,0.20492680370807648,0.2604328691959381,0.2589336335659027,0.22430120408535004
steam,0.19852672517299652,0.15672586858272552,0.12807929515838623,0.19902050495147705,0.21627888083457947,0.2789400815963745,0.13870766758918762,1.0000001192092896,0.47990959882736206,0.113324373960495
in,1.0,0.30808621644973755,0.3359307050704956,0.2593238651752472,0.3151136636734009,0.18244080245494843,0.3598145842552185,0.19852672517299652,0.14753441512584686,0.20430970191955566
direct,0.1965816169977188,0.26271191239356995,0.13735882937908173,0.25516921281814575,0.21665149927139282,0.16981278359889984,0.205237478017807,0.22078190743923187,0.25369906425476074,0.18476411700248718
contact,0.163491353392601,0.2598453462123871,0.11663863807916641,0.20494778454303741,0.1649024933576584,0.21619553864002228,0.17817486822605133,0.18596729636192322,0.25632429122924805,0.2231319397687912
with,0.4080928862094879,0.2464839518070221,0.3220449686050415,0.25472134351730347,0.3065451383590698,0.16866575181484222,0.33836179971694946,0.21801024675369263,0.15998581051826477,0.2433311939239502
the,0.6662389636039734,0.42745697498321533,0.3609684407711029,0.34736719727516174,0.3600737154483795,0.1728275567293167,0.4394008219242096,0.23105813562870026,0.21872945129871368,0.22068053483963013
water,0.23966141045093536,0.17456887662410736,0.14500844478607178,0.1909485161304474,0.1931677907705307,0.1501534879207611,0.1462479829788208,0.43059393763542175,0.41148945689201355,0.14731885492801666
being,0.33162933588027954,0.3760843276977539,0.2561481297016144,0.27905046939849854,0.3053799867630005,0.11872069537639618,0.34421810507774353,0.18737007677555084,0.16320431232452393,0.26743772625923157
pumped,0.21496321260929108,0.1794596165418625,0.1261768937110901,0.15338949859142303,0.22037702798843384,0.21800725162029266,0.14268384873867035,0.4177832007408142,0.6801161766052246,0.19499695301055908
.,0.5591574311256409,0.3567904531955719,0.32538118958473206,0.35288307070732117,0.3226619362831116,0.19082264602184296,0.3119256794452667,0.22855372726917267,0.2474096715450287,0.4130953550338745
