,what,type,of,forested,areas,can,be,found,on,the,highest,terrace,?
these,0.4164220690727234,0.26445475220680237,0.42684608697891235,0.22975380718708038,0.4205722212791443,0.4833051562309265,0.4507283866405487,0.30648550391197205,0.32800400257110596,0.49086877703666687,0.1972586214542389,0.1513456553220749,0.2571668326854706
are,0.29724663496017456,0.24155041575431824,0.39081433415412903,0.25222790241241455,0.4082777500152588,0.5408529043197632,0.5556803941726685,0.2740558087825775,0.268924742937088,0.40399202704429626,0.16502201557159424,0.13342805206775665,0.24591213464736938
mainly,0.29325804114341736,0.28857725858688354,0.3325652480125427,0.3128226101398468,0.42486944794654846,0.28568047285079956,0.2596750557422638,0.2909460663795471,0.37579700350761414,0.3790479004383087,0.21104617416858673,0.18828566372394562,0.07608037441968918
forested,0.1903628557920456,0.10234139859676361,0.29406365752220154,1.0,0.3795916438102722,0.1420281082391739,0.18253184854984283,0.3704186975955963,0.19520415365695953,0.28944146633148193,0.25523635745048523,0.3284405767917633,0.1228533685207367
areas,0.23739881813526154,0.17178712785243988,0.2803763747215271,0.3795916438102722,0.9999999403953552,0.3059823513031006,0.3040323853492737,0.20614445209503174,0.25179940462112427,0.3311663568019867,0.16119110584259033,0.2861920893192291,0.1273590475320816
(,0.2411840260028839,0.1677488386631012,0.35032153129577637,0.13313481211662292,0.19302652776241302,0.22726960480213165,0.2349044382572174,0.1583331823348999,0.28656116127967834,0.33289089798927307,0.17115482687950134,0.13889938592910767,0.40561532974243164
pine,0.15102633833885193,0.08820296078920364,0.24656888842582703,0.45805174112319946,0.24115560948848724,0.11601478606462479,0.1729418784379959,0.2061627060174942,0.1900990754365921,0.26929566264152527,0.20328262448310852,0.3387615382671356,0.16388832032680511
forest,0.15328429639339447,0.05597252398729324,0.2309139519929886,0.8093406558036804,0.2940410077571869,0.1357303112745285,0.1282939463853836,0.19032862782478333,0.1691717803478241,0.24134553968906403,0.22959871590137482,0.3283363878726959,0.1214437186717987
),0.26259949803352356,0.18612703680992126,0.3680361211299896,0.13890258967876434,0.1629660278558731,0.23216170072555542,0.24578070640563965,0.16750772297382355,0.29937487840652466,0.3456730246543884,0.20505082607269287,0.13586565852165222,0.42300865054130554
.,0.3567904531955719,0.23195341229438782,0.5352458953857422,0.2736458480358124,0.23760369420051575,0.35783761739730835,0.4383580684661865,0.3618174195289612,0.49257001280784607,0.5934505462646484,0.2254713773727417,0.16055145859718323,0.4130953550338745
