,who,leads,the,national,and,public,library,servies,?
other,0.3612329661846161,0.16365554928779602,0.44152235984802246,0.1963898241519928,0.5504306554794312,0.23259668052196503,0.15870825946331024,0.2911253571510315,0.24682199954986572
than,0.24983921647071838,0.20208421349525452,0.3227543234825134,0.14825581014156342,0.39361441135406494,0.15035578608512878,0.10215247422456741,0.27046701312065125,0.24917294085025787
the,0.3733934462070465,0.3400644361972809,1.0,0.32739606499671936,0.5171257257461548,0.22857438027858734,0.19920319318771362,0.2669248580932617,0.22068053483963013
curriculum,0.19057515263557434,0.1597161740064621,0.21278034150600433,0.215867280960083,0.2189425677061081,0.25315120816230774,0.26342490315437317,0.3262101411819458,0.24092517793178558
led,0.2450801581144333,0.4701138138771057,0.3267505168914795,0.16768357157707214,0.2780643701553345,0.17358890175819397,0.020894652232527733,0.2668193578720093,0.09273858368396759
learning,0.25985077023506165,0.23562727868556976,0.2504628002643585,0.14844119548797607,0.2687397301197052,0.2429395616054535,0.2800264358520508,0.2013353407382965,0.25810256600379944
",",0.3365725874900818,0.22268962860107422,0.4933079481124878,0.23933029174804688,0.6633074283599854,0.2588968276977539,0.16805633902549744,0.2837682068347931,0.31091248989105225
there,0.2844357192516327,0.23330914974212646,0.47025805711746216,0.18458983302116394,0.4242868423461914,0.21001549065113068,0.18282757699489594,0.1990920901298523,0.29405656456947327
are,0.27294138073921204,0.2164822369813919,0.40399202704429626,0.17082279920578003,0.48576638102531433,0.18111367523670197,0.13147571682929993,0.26285839080810547,0.24591213464736938
also,0.47919341921806335,0.21825218200683594,0.6021018624305725,0.33713406324386597,0.5755972862243652,0.3308127224445343,0.20494800806045532,0.3229903280735016,0.21848613023757935
national,0.18105065822601318,0.12207131087779999,0.32739606499671936,1.0000001192092896,0.2608908712863922,0.29573312401771545,0.3433544933795929,0.28285738825798035,0.15643028914928436
and,0.41279885172843933,0.28972697257995605,0.5171257257461548,0.2608908712863922,1.0,0.3227643668651581,0.18451033532619476,0.3073540925979614,0.20544172823429108
public,0.18950407207012177,0.16682465374469757,0.22857438027858734,0.29573312401771545,0.3227643668651581,1.0000001192092896,0.333901047706604,0.3054370880126953,0.19872993230819702
library,0.15864916145801544,0.11795452237129211,0.19920319318771362,0.3433544933795929,0.18451033532619476,0.333901047706604,0.9999999403953552,0.28407248854637146,0.18938742578029633
services,0.24612601101398468,0.20510074496269226,0.2381475418806076,0.21445021033287048,0.30811867117881775,0.34685155749320984,0.22401390969753265,0.625723659992218,0.1328447163105011
led,0.2450801581144333,0.4701138138771057,0.3267505168914795,0.16768357157707214,0.2780643701553345,0.17358890175819397,0.020894652232527733,0.2668193578720093,0.09273858368396759
by,0.39727845788002014,0.23493564128875732,0.4408751428127289,0.19307640194892883,0.4289871156215668,0.23323717713356018,0.17569513618946075,0.18409083783626556,0.17966607213020325
the,0.3733934462070465,0.3400644361972809,1.0,0.32739606499671936,0.5171257257461548,0.22857438027858734,0.19920319318771362,0.2669248580932617,0.22068053483963013
kenya,0.168242946267128,0.11994266510009766,0.21657514572143555,0.3120550811290741,0.20742860436439514,0.12837323546409607,0.06532032787799835,0.19381074607372284,0.17197901010513306
national,0.18105065822601318,0.12207131087779999,0.32739606499671936,1.0000001192092896,0.2608908712863922,0.29573312401771545,0.3433544933795929,0.28285738825798035,0.15643028914928436
library,0.15864916145801544,0.11795452237129211,0.19920319318771362,0.3433544933795929,0.18451033532619476,0.333901047706604,0.9999999403953552,0.28407248854637146,0.18938742578029633
service,0.21098247170448303,0.15389861166477203,0.22661015391349792,0.28096842765808105,0.24532052874565125,0.3096100091934204,0.22922269999980927,0.6049807667732239,0.1676298975944519
(,0.2443375140428543,0.18776999413967133,0.33289089798927307,0.24475820362567902,0.4862271547317505,0.1609111875295639,0.18725703656673431,0.19625385105609894,0.40561532974243164
knls,0.238085076212883,0.19354084134101868,0.21831898391246796,0.08982513844966888,0.30008620023727417,0.1736929565668106,0.15128210186958313,0.21280129253864288,0.1644486039876938
),0.2457384318113327,0.17387604713439941,0.3456730246543884,0.25379422307014465,0.4961937665939331,0.15635275840759277,0.18188947439193726,0.2014915496110916,0.42300865054130554
.,0.3541337847709656,0.2178809642791748,0.5934505462646484,0.29436907172203064,0.588965117931366,0.21888655424118042,0.23675528168678284,0.23757314682006836,0.4130953550338745
