,what,major,crop,was,brought,to,china,from,the,west,?
contacts,0.25490984320640564,0.1885167956352234,0.06149828061461449,0.18599632382392883,0.2851603329181671,0.2764323651790619,0.20063798129558563,0.1897016316652298,0.26310673356056213,0.1578032672405243,0.1579383909702301
with,0.2464839518070221,0.21643421053886414,0.14166250824928284,0.27411898970603943,0.327576220035553,0.4239959120750427,0.19833041727542877,0.26272761821746826,0.4223487675189972,0.16849102079868317,0.2433311939239502
the,0.42745697498321533,0.31775903701782227,0.2355663925409317,0.48711544275283813,0.32700833678245544,0.535392165184021,0.3110525608062744,0.40150508284568787,1.0,0.32918402552604675,0.22068053483963013
west,0.1946573108434677,0.21044398844242096,0.14560753107070923,0.25970903038978577,0.17106908559799194,0.24611181020736694,0.2276773601770401,0.2389117330312729,0.32918402552604675,1.0,0.12088293582201004
also,0.42747777700424194,0.3074300289154053,0.25493124127388,0.4032125174999237,0.3197643458843231,0.5348826050758362,0.27718913555145264,0.33783096075057983,0.6021018624305725,0.25940629839897156,0.21848613023757935
brought,0.26212388277053833,0.2687340974807739,0.23163163661956787,0.35886916518211365,0.9999999403953552,0.35361579060554504,0.18591943383216858,0.3001497685909271,0.32700833678245544,0.17106908559799194,0.2339296191930771
the,0.42745697498321533,0.31775903701782227,0.2355663925409317,0.48711544275283813,0.32700833678245544,0.535392165184021,0.3110525608062744,0.40150508284568787,1.0,0.32918402552604675,0.22068053483963013
introduction,0.2245079129934311,0.22876258194446564,0.23453287780284882,0.22391968965530396,0.278536319732666,0.24349944293498993,0.1721700131893158,0.12810887396335602,0.2808631956577301,0.12383252382278442,0.27021539211273193
to,0.455847829580307,0.19240309298038483,0.25057145953178406,0.3636345863342285,0.35361579060554504,1.0,0.1938052773475647,0.4069952368736267,0.535392165184021,0.24611181020736694,0.29463258385658264
china,0.13832437992095947,0.16094514727592468,0.22241657972335815,0.20567192137241364,0.18591943383216858,0.1938052773475647,1.0000001192092896,0.17287437617778778,0.3110525608062744,0.2276773601770401,0.18007943034172058
of,0.33290785551071167,0.2641255557537079,0.22728197276592255,0.4069072902202606,0.3339962065219879,0.41548454761505127,0.27699828147888184,0.4249346852302551,0.733189046382904,0.2891985774040222,0.1826142966747284
a,0.3320399522781372,0.22990699112415314,0.22518964111804962,0.4508470594882965,0.2422461211681366,0.45503583550453186,0.17720326781272888,0.322764128446579,0.5829201340675354,0.2258862406015396,0.23916715383529663
major,0.21026742458343506,0.9999998807907104,0.20893627405166626,0.20676274597644806,0.2687340974807739,0.19240309298038483,0.16094514727592468,0.1417090892791748,0.31775903701782227,0.21044398844242096,0.19788557291030884
food,0.23540689051151276,0.1521664261817932,0.39968761801719666,0.17583929002285004,0.24254082143306732,0.2816076874732971,0.2093294858932495,0.17272236943244934,0.3025728166103363,0.07084774971008301,0.15376032888889313
