,who,is,subject,to,vetting,?
from,0.27839982509613037,0.27355384826660156,0.17748963832855225,0.4069952368736267,0.2523796260356903,0.19969791173934937
2006,-0.026890208944678307,0.07398132234811783,0.0856361985206604,0.012056082487106323,0.08907809853553772,-0.1194092258810997
garda,0.1590806096792221,0.15773122012615204,0.17441727221012115,0.23961642384529114,0.21058757603168488,0.08806223422288895
vetting,0.277040034532547,0.2657490074634552,0.3196204900741577,0.36598238348960876,0.9999998807907104,0.3237486779689789
has,0.2558172643184662,0.5668748617172241,0.23694247007369995,0.3619994819164276,0.2422984391450882,0.15994466841220856
been,0.3295723795890808,0.39566612243652344,0.25330328941345215,0.34945759177207947,0.2501937448978424,0.24354910850524902
introduced,0.18349657952785492,0.18314895033836365,0.15932011604309082,0.22615164518356323,0.2034643441438675,0.16386865079402924
for,0.37110671401023865,0.43268078565597534,0.28390559554100037,0.4451248347759247,0.3704317808151245,0.264628142118454
new,0.2378052920103073,0.2208656519651413,0.11190926283597946,0.33159172534942627,0.2331470102071762,0.14782847464084625
entrants,0.31299617886543274,0.23455940186977386,0.2267591506242752,0.2920874059200287,0.34996071457862854,0.1562976837158203
to,0.42656609416007996,0.42745086550712585,0.3198980987071991,1.0,0.36598238348960876,0.29463258385658264
the,0.3733934462070465,0.5823672413825989,0.2387523651123047,0.535392165184021,0.3796067237854004,0.22068053483963013
teaching,0.2535073459148407,0.16213442385196686,0.2041931301355362,0.2762126624584198,0.33428701758384705,0.20424684882164001
profession,0.3416728973388672,0.24903449416160583,0.3097984790802002,0.2364424616098404,0.28943362832069397,0.13789935410022736
.,0.3541337847709656,0.4569662809371948,0.2536076307296753,0.4645031690597534,0.3335171341896057,0.4130953550338745
