,how,did,the,nixon,administration,negotiate,with,the,uncooperative,countries,?
to,0.44169697165489197,0.4452643394470215,0.535392165184021,0.21478617191314697,0.2658160626888275,0.36356520652770996,0.4239959120750427,0.535392165184021,0.32131972908973694,0.3111797273159027,0.29463258385658264
address,0.2478216588497162,0.16834665834903717,0.24438561499118805,0.14013031125068665,0.24134646356105804,0.21037046611309052,0.16250135004520416,0.24438561499118805,0.21745754778385162,0.17513501644134521,0.2784976661205292
this,0.45272302627563477,0.3609912693500519,0.6274310946464539,0.1911357194185257,0.23687085509300232,0.23232196271419525,0.36358317732810974,0.6274310946464539,0.2937643527984619,0.3181088864803314,0.3155723512172699
",",0.22659391164779663,0.3015086054801941,0.4933079481124878,0.22192354500293732,0.25292783975601196,0.16973349452018738,0.4120737314224243,0.4933079481124878,0.2629798650741577,0.2966555655002594,0.31091248989105225
the,0.33890387415885925,0.34736719727516174,1.0,0.19296984374523163,0.3083578944206238,0.23700475692749023,0.4223487675189972,1.0,0.22063320875167847,0.33290645480155945,0.22068053483963013
nixon,0.18224826455116272,0.27418097853660583,0.19296984374523163,1.0,0.3219211995601654,0.2906241714954376,0.13202603161334991,0.19296984374523163,0.23389245569705963,0.22808581590652466,0.18047039210796356
administration,0.202886164188385,0.20127087831497192,0.3083578944206238,0.3219211995601654,1.0000001192092896,0.2584048807621002,0.19140571355819702,0.3083578944206238,0.31168779730796814,0.24145203828811646,0.14283715188503265
began,0.2146909385919571,0.4415510594844818,0.3059147596359253,0.209776371717453,0.17208480834960938,0.26607459783554077,0.23196780681610107,0.3059147596359253,0.19418689608573914,0.2313717007637024,0.1370266228914261
multilateral,0.13655829429626465,0.19742721319198608,0.23789429664611816,0.16417135298252106,0.27870139479637146,0.33768510818481445,0.215971902012825,0.23789429664611816,0.5250339508056641,0.297960489988327,0.16645047068595886
negotiations,0.15717235207557678,0.2745211124420166,0.28858432173728943,0.30933812260627747,0.34065330028533936,0.8277145028114319,0.25227272510528564,0.28858432173728943,0.3865406811237335,0.32466429471969604,0.12190581113100052
with,0.3525622487068176,0.25472134351730347,0.4223487675189972,0.13202603161334991,0.19140571355819702,0.28250715136528015,0.9999999403953552,0.4223487675189972,0.29449862241744995,0.33792537450790405,0.2433311939239502
the,0.33890387415885925,0.34736719727516174,1.0,0.19296984374523163,0.3083578944206238,0.23700475692749023,0.4223487675189972,1.0,0.22063320875167847,0.33290645480155945,0.22068053483963013
combatants,0.17150245606899261,0.2659376561641693,0.3344290256500244,0.1643984615802765,0.2843257784843445,0.38208630681037903,0.24710306525230408,0.3344290256500244,0.3460072875022888,0.38890424370765686,0.18965759873390198
.,0.3287222981452942,0.35288307070732117,0.5934505462646484,0.23251378536224365,0.28375473618507385,0.1784079372882843,0.4446153938770294,0.5934505462646484,0.23902253806591034,0.27938392758369446,0.4130953550338745
