,what,is,included,in,medication,therapy,management,?
in,0.30808621644973755,0.5394441485404968,0.32433560490608215,1.0,0.18923917412757874,0.21068020164966583,0.2783967852592468,0.20430970191955566
particular,0.4548671245574951,0.3500361442565918,0.30536988377571106,0.3090636432170868,0.292650431394577,0.23435594141483307,0.25624409317970276,0.2741454839706421
",",0.3087472915649414,0.4691906273365021,0.3679811954498291,0.5201468467712402,0.20128920674324036,0.15234890580177307,0.24724458158016205,0.31091248989105225
medication,0.28847256302833557,0.2604193687438965,0.10441252589225769,0.18923917412757874,1.0000001192092896,0.6134744882583618,0.2870273292064667,0.2275196760892868
therapy,0.23743373155593872,0.19175049662590027,0.1290576457977295,0.21068020164966583,0.6134744882583618,1.0000001192092896,0.31677788496017456,0.18962311744689941
management,0.180610790848732,0.24706420302391052,0.2072967141866684,0.2783967852592468,0.2870273292064667,0.31677788496017456,1.0,0.15866325795650482
(,0.2411840260028839,0.35393038392066956,0.20944266021251678,0.3087427020072937,0.16416773200035095,0.10863378643989563,0.19692523777484894,0.40561532974243164
mtm,0.3011176288127899,0.25458240509033203,0.23847705125808716,0.28086328506469727,0.2663499712944031,0.2611650228500366,0.2989030182361603,0.28880611062049866
),0.26259949803352356,0.37732169032096863,0.20644870400428772,0.3326910734176636,0.16424161195755005,0.1093178391456604,0.20966209471225739,0.42300865054130554
includes,0.17138352990150452,0.4033885896205902,0.6611447930335999,0.32460328936576843,0.1389170140028,0.16179576516151428,0.29439887404441833,0.14011523127555847
the,0.42745697498321533,0.5823672413825989,0.3825419843196869,0.6662389636039734,0.24671530723571777,0.1722976714372635,0.26673808693885803,0.22068053483963013
clinical,0.2278289943933487,0.17214488983154297,0.2069404423236847,0.25644800066947937,0.5376577377319336,0.578259289264679,0.3748771548271179,0.1678651124238968
services,0.16048473119735718,0.2128378003835678,0.1918845772743225,0.22287973761558533,0.24515584111213684,0.1725461781024933,0.386542409658432,0.1328447163105011
that,0.6297725439071655,0.3995479643344879,0.2736181616783142,0.435920387506485,0.3175073564052582,0.22756196558475494,0.22770491242408752,0.32716336846351624
pharmacists,0.28274545073509216,0.20884303748607635,0.13128656148910522,0.22358480095863342,0.44281280040740967,0.40964940190315247,0.14553464949131012,0.1797308325767517
can,0.34502777457237244,0.44256699085235596,0.10446970164775848,0.26527702808380127,0.423816055059433,0.276579350233078,0.2134663164615631,0.3226337134838104
provide,0.27049049735069275,0.23050084710121155,0.25635966658592224,0.1910654902458191,0.30613893270492554,0.2573698163032532,0.31435152888298035,0.22704634070396423
for,0.3017193675041199,0.43268078565597534,0.3889397978782654,0.4322226941585541,0.30139926075935364,0.2319498360157013,0.25923067331314087,0.264628142118454
their,0.35142919421195984,0.2101074606180191,0.2875930070877075,0.34976133704185486,0.27381330728530884,0.22352370619773865,0.1943938434123993,0.1898253709077835
patients,0.28700166940689087,0.16825053095817566,0.14634162187576294,0.21461397409439087,0.6124111413955688,0.6055893301963806,0.28152796626091003,0.17145128548145294
.,0.3567904531955719,0.4569662809371948,0.25865867733955383,0.5591574311256409,0.22485388815402985,0.21034516394138336,0.20125426352024078,0.4130953550338745
