,the,initial,lm,weighed,how,much,in,kgs,?
the,1.0,0.29837024211883545,0.25534775853157043,0.17468127608299255,0.33890387415885925,0.35023224353790283,0.6662389636039734,0.1704915165901184,0.22068053483963013
initial,0.29837024211883545,1.0,0.255047470331192,0.19101662933826447,0.21066758036613464,0.20319980382919312,0.22201098501682281,0.20186978578567505,0.16868601739406586
lm,0.25534775853157043,0.255047470331192,1.0000001192092896,0.28429165482521057,0.21407321095466614,0.17549239099025726,0.14918769896030426,0.24543200433254242,0.2270602136850357
model,0.14028635621070862,0.1477988362312317,0.1508120894432068,0.16519278287887573,0.19876523315906525,0.21029283106327057,0.2267826348543167,0.13774272799491882,0.14843042194843292
weighed,0.17468127608299255,0.19101662933826447,0.28429165482521057,0.9999999403953552,0.2749890387058258,0.290673166513443,0.13698893785476685,0.44664210081100464,0.1759321093559265
approximately,0.33137547969818115,0.2646138072013855,0.22391504049301147,0.2778362035751343,0.17167454957962036,0.24894006550312042,0.3145860731601715,0.18857836723327637,0.10237617790699005
"33,300",0.07946839183568954,-0.11099375039339066,-0.08229610323905945,-0.0018088982906192541,-0.02216237224638462,-0.080689437687397,0.14056693017482758,-0.0700574517250061,0.016071142628788948
pounds,0.18430368602275848,0.15085332095623016,0.19081290066242218,0.591770350933075,0.2724916338920593,0.28722459077835083,0.1508542150259018,0.5103718042373657,0.1807934194803238
(,0.33289089798927307,0.18073397874832153,0.13334642350673676,0.1314382255077362,0.1676948219537735,0.21788647770881653,0.3087427020072937,0.23376066982746124,0.40561532974243164
"15,100",0.2294473797082901,0.10275256633758545,0.1438578963279724,0.10052040964365005,0.043902505189180374,0.09661342948675156,0.19033001363277435,0.09842617064714432,0.09679855406284332
kg,0.14337459206581116,0.1099403128027916,0.18526554107666016,0.5814366340637207,0.14154522120952606,0.17589454352855682,0.1480094939470291,0.5949434041976929,0.14374905824661255
),0.3456730246543884,0.17818975448608398,0.14235086739063263,0.1386478692293167,0.17939934134483337,0.22256317734718323,0.3326910734176636,0.2437777817249298,0.42300865054130554
",",0.4933079481124878,0.1954146921634674,0.15934062004089355,0.21580643951892853,0.22659391164779663,0.36182254552841187,0.5201468467712402,0.23367854952812195,0.31091248989105225
and,0.5171257257461548,0.2253544181585312,0.15283863246440887,0.20178212225437164,0.33647966384887695,0.38395699858665466,0.4954058527946472,0.21791909635066986,0.20544172823429108
allowed,0.2985120713710785,0.28355932235717773,0.17538069188594818,0.1904447376728058,0.29753124713897705,0.2546635568141937,0.23683252930641174,0.18592208623886108,0.2309964895248413
surface,0.2555135488510132,0.2824688255786896,0.26098427176475525,0.17012538015842438,0.25213223695755005,0.2521628141403198,0.20246390998363495,0.27699753642082214,0.14613434672355652
stays,0.3163088858127594,0.20661816000938416,0.1156194880604744,0.21244803071022034,0.2247701734304428,0.2821335792541504,0.18590523302555084,0.20425955951213837,0.1379946619272232
up,0.38423117995262146,0.2414545714855194,0.17096450924873352,0.3253938853740692,0.2819872200489044,0.310188889503479,0.3120773434638977,0.24621419608592987,0.1819818764925003
to,0.535392165184021,0.2564111649990082,0.17625956237316132,0.17466172575950623,0.44169697165489197,0.40610215067863464,0.45010748505592346,0.16559407114982605,0.29463258385658264
around,0.40085816383361816,0.2245730757713318,0.18446537852287292,0.24433016777038574,0.3297552764415741,0.3766762316226959,0.41294145584106445,0.2074679285287857,0.14729668200016022
34,0.0011487285373732448,0.009925001300871372,0.03077678568661213,0.12722298502922058,0.02601894736289978,0.02021707035601139,0.03443729504942894,0.053853075951337814,-0.004250505939126015
hours,0.18919475376605988,0.25043317675590515,0.22889727354049683,0.23801127076148987,0.20131175220012665,0.30790960788726807,0.2001713663339615,0.15655353665351868,0.21755769848823547
.,0.5934505462646484,0.24195235967636108,0.22923575341701508,0.23440112173557281,0.3287222981452942,0.3374604284763336,0.5591574311256409,0.24533171951770782,0.4130953550338745
