,what,is,the,united,states,at,risk,for,because,of,the,recession,of,2008,?
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.3938477039337158,0.3977442979812622,0.4374977946281433,0.15674413740634918,0.4322226941585541,0.37423941493034363,0.5696388483047485,0.6662389636039734,0.24036027491092682,0.5696388483047485,-0.0422978475689888,0.20430970191955566
2014,0.041483160108327866,0.16745887696743011,0.059490643441677094,0.017224879935383797,0.0091150663793087,-0.021243147552013397,-0.018548527732491493,-0.029771532863378525,0.05210630223155022,0.0493064783513546,0.059490643441677094,0.03784564137458801,0.0493064783513546,0.15260031819343567,0.058127544820308685
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.3053959608078003,0.3315127193927765,0.38314947485923767,0.2123156040906906,0.4464869201183319,0.372031033039093,0.4946078956127167,0.4933079481124878,0.22229382395744324,0.4946078956127167,-0.008566685020923615,0.31091248989105225
economists,0.26094529032707214,0.2185990959405899,0.20146530866622925,0.17516833543777466,0.1909768432378769,0.1847120225429535,0.23379667103290558,0.19284267723560333,0.3044160306453705,0.18642286956310272,0.20146530866622925,0.30663371086120605,0.18642286956310272,0.015597174875438213,0.1671878695487976
with,0.2464839518070221,0.3250955045223236,0.4223487675189972,0.19869105517864227,0.21424104273319244,0.29126521944999695,0.25507304072380066,0.39140474796295166,0.3967972993850708,0.41827285289764404,0.4223487675189972,0.1850132793188095,0.41827285289764404,-0.05873776227235794,0.2433311939239502
the,0.42745697498321533,0.5823672413825989,1.0,0.34367692470550537,0.3463578522205353,0.457212895154953,0.2011675238609314,0.4739971458911896,0.44596394896507263,0.733189046382904,1.0,0.3396528363227844,0.733189046382904,-0.06530369818210602,0.22068053483963013
standard,0.22809998691082,0.23514990508556366,0.29008856415748596,0.1998797059059143,0.20632316172122955,0.2197922319173813,0.2362854778766632,0.3173719346523285,0.2327098846435547,0.2296806275844574,0.29008856415748596,0.10092688351869583,0.2296806275844574,-0.08282984048128128,0.17029257118701935
&,0.11141876131296158,0.08384179323911667,0.14992168545722961,0.1228547915816307,0.14243322610855103,0.12151119112968445,0.10209626704454422,0.15479104220867157,0.14712879061698914,0.19900451600551605,0.14992168545722961,0.12355957180261612,0.19900451600551605,0.04548105224967003,0.12596383690834045
poor,0.2570318877696991,0.18218109011650085,0.21093174815177917,0.1813960075378418,0.1940978765487671,0.1376163810491562,0.27814754843711853,0.2900572121143341,0.3994849920272827,0.23458099365234375,0.21093174815177917,0.27354955673217773,0.23458099365234375,-0.09222561866044998,0.12937016785144806
's,0.02692362666130066,0.02396530658006668,-0.01540423184633255,-0.03853745758533478,-0.004298824816942215,-0.08481216430664062,-0.0686824843287468,-0.07241261005401611,0.05210670828819275,-0.03817026689648628,-0.01540423184633255,-0.03721453249454498,-0.03817026689648628,0.0007017355528660119,-0.023395681753754616
rating,0.20312486588954926,0.16900229454040527,0.24654440581798553,0.26448488235473633,0.26035943627357483,0.17404744029045105,0.2923036217689514,0.26534613966941833,0.1874442845582962,0.20229244232177734,0.24654440581798553,0.23686543107032776,0.20229244232177734,-0.005310493055731058,0.18754872679710388
agency,0.1771060973405838,0.1915283501148224,0.24253644049167633,0.25955063104629517,0.2558881938457489,0.1662321239709854,0.20903992652893066,0.2340606451034546,0.179005965590477,0.21890796720981598,0.24253644049167633,0.17606329917907715,0.21890796720981598,-0.061711762100458145,0.18185843527317047
